genes	orthology
KMXK_0A02940	Multi-Core
KMXK_0A04840	Multi-Core
KMXK_0A08350	Multi-Core
KMXK_0G03730	Multi-Core
KMXK_0C00210	Multi-Core
KMXK_0C00200	Multi-Core
KMXK_0F05620	Multi-Core
KMXK_0B04700	Multi-Core
KMXK_0E03710	Multi-Core
KMXK_0E04700	Multi-Core
KMXK_0D02690	Multi-Core
KMXK_0F04540	Multi-Core
KMXK_0E05350	Multi-Core
KMXK_0B01990	Multi-Core
KMXK_0D06540	Multi-Core
KMXK_0A08300	Multi-Core
KMXK_0B01120	Multi-Core
KMXK_0D00840	Multi-Core
KMXK_0B03110	Multi-Core
KMXK_0A03640	Multi-Core
KMXK_0F00170	Multi-Core
KMXK_0G02050	Multi-Core
KMXK_0D05440	Multi-Core
KMXK_0C01510	Multi-Core
KMXK_0H03590	Multi-Core
KMXK_0A01000	Multi-Core
KMXK_0G03270	Multi-Core
KMXK_0F04530	Multi-Core
KMXK_0E04070	Multi-Core
KMXK_0C03220	Multi-Core
KMXK_0D02680	Multi-Core
KMXK_0F03480	Multi-Core
KMXK_0A02040	Multi-Core
KMXK_0G01260	Multi-Core
KMXK_0D04040	Multi-Core
KMXK_0A02920	Multi-Core
KMXK_0A00970	Multi-Core
KMXK_0G01050	Multi-Core
KMXK_0C06710	Multi-Core
KMXK_0A04820	Multi-Core
KMXK_0G01270	Multi-Core
KMXK_0F02860	Multi-Core
KMXK_0C05980	Multi-Core
KMXK_0A05680	Multi-Core
KMXK_0B08410	Multi-Core
KMXK_0D02730	Multi-Core
KMXK_0A07980	Multi-Core
KMXK_0D02550	Multi-Core
KMXK_0E00550	Multi-Core
KMXK_0A04510	Multi-Core
KMXK_0E05360	Multi-Core
KMXK_0A00110	Multi-Core
KMXK_0F03950	Multi-Core
KMXK_0E02570	Multi-Core
KMXK_0D02670	Multi-Core
KMXK_0F04480	Multi-Core
KMXK_0A02470	Multi-Core
KMXK_0D02260	Multi-Core
KMXK_0C03560	Multi-Core
KMXK_0F05590	Multi-Core
KMXK_0D06610	Multi-Core
KMXK_0E01570	Multi-Core
KMXK_0B00520	Multi-Core
KMXK_0A06960	Multi-Core
KMXK_0B08440	Multi-Core
KMXK_0E02740	Multi-Core
KMXK_0F03820	Multi-Core
KMXK_0C01430	Multi-Core
KMXK_0H03800	Multi-Core
KMXK_0B00180	Multi-Core
KMXK_0G03930	Multi-Core
KMXK_0G01840	Multi-Core
KMXK_0A00810	Multi-Core
KMXK_0D03700	Multi-Core
KMXK_0A03790	Multi-Core
KMXK_0C06020	Multi-Core
KMXK_0G02070	Multi-Core
KMXK_0E05050	Multi-Core
KMXK_0F05020	Multi-Core
KMXK_0A02410	Multi-Core
KMXK_0D02420	Multi-Core
KMXK_0A01850	Multi-Core
KMXK_0E00890	Multi-Core
KMXK_0C00540	Multi-Core
KMXK_0E03320	Multi-Core
KMXK_0E03000	Multi-Core
KMXK_0G02330	Multi-Core
KMXK_0B06870	Multi-Core
KMXK_0C06870	Multi-Core
KMXK_0G02780	Multi-Core
KMXK_0F00980	Multi-Core
KMXK_0B05490	Multi-Core
KMXK_0F01150	Multi-Core
KMXK_0E03060	Multi-Core
KMXK_0G00680	Multi-Core
KMXK_0F00320	Multi-Core
KMXK_0B03200	Multi-Core
KMXK_0E01400	Multi-Core
KMXK_0H04340	Multi-Core
KMXK_0B02590	Multi-Core
KMXK_0A00680	Multi-Core
KMXK_0A07000	Multi-Core
KMXK_0A07110	Multi-Core
KMXK_0C00320	Multi-Core
KMXK_0D02810	Multi-Core
KMXK_0G02010	Multi-Core
KMXK_0G01900	Multi-Core
KMXK_0F01420	Multi-Core
KMXK_0H02420	Multi-Core
KMXK_0E05230	Multi-Core
KMXK_0A01640	Multi-Core
KMXK_0B06500	Multi-Core
KMXK_0B02190	Multi-Core
KMXK_0B08300	Multi-Core
KMXK_0B02730	Multi-Core
KMXK_0A04670	Multi-Core
KMXK_0B02330	Multi-Core
KMXK_0A03420	Multi-Core
KMXK_0C03170	Multi-Core
KMXK_0D03360	Multi-Core
KMXK_0B08380	Multi-Core
KMXK_0D00200	Multi-Core
KMXK_0B00170	Multi-Core
KMXK_0D04260	Multi-Core
KMXK_0C03180	Multi-Core
KMXK_0G00560	Multi-Core
KMXK_0A03730	Multi-Core
KMXK_0G00140	Multi-Core
KMXK_0B03410	Multi-Core
KMXK_0A04930	Multi-Core
KMXK_0H00810	Multi-Core
KMXK_0D00320	Multi-Core
KMXK_0H03100	Multi-Core
KMXK_0C00560	Multi-Core
KMXK_0E00540	Multi-Core
KMXK_0D03710	Multi-Core
KMXK_0G00700	Multi-Core
KMXK_0D05690	Multi-Core
KMXK_0A01860	Multi-Core
KMXK_0E02800	Multi-Core
KMXK_0G03480	Multi-Core
KMXK_0B07070	Multi-Core
KMXK_0E00260	Multi-Core
KMXK_0E00380	Multi-Core
KMXK_0H03770	Multi-Core
KMXK_0F03030	Multi-Core
KMXK_0H01020	Multi-Core
KMXK_0E01460	Multi-Core
KMXK_0F02700	Multi-Core
KMXK_0H03750	Multi-Core
KMXK_0B01810	Multi-Core
KMXK_0E01790	Multi-Core
KMXK_0F04790	Multi-Core
KMXK_0D04410	Multi-Core
KMXK_0C02620	Multi-Core
KMXK_0D01240	Multi-Core
KMXK_0F00280	Multi-Core
KMXK_0E01430	Multi-Core
KMXK_0F04340	Multi-Core
KMXK_0F04410	Multi-Core
KMXK_0E03690	Multi-Core
KMXK_0E02510	Multi-Core
KMXK_0F04490	Multi-Core
KMXK_0E01440	Multi-Core
KMXK_0D05450	Multi-Core
KMXK_0C01660	Multi-Core
KMXK_0C04220	Multi-Core
KMXK_0B01710	Multi-Core
KMXK_0G03150	Multi-Core
KMXK_0H04080	Multi-Core
KMXK_0E01450	Multi-Core
KMXK_0H00480	Multi-Core
KMXK_0D05630	Multi-Core
KMXK_0C06380	Multi-Core
KMXK_0D06130	Multi-Core
KMXK_0F00710	Multi-Core
KMXK_0E02560	Multi-Core
KMXK_0D00140	Multi-Core
KMXK_0G00640	Multi-Core
KMXK_0H00490	Multi-Core
KMXK_0G02060	Multi-Core
KMXK_0G01830	Multi-Core
KMXK_0A05530	Multi-Core
KMXK_0G00520	Multi-Core
KMXK_0C00180	Multi-Core
KMXK_0F03780	Multi-Core
KMXK_0B05330	Multi-Core
KMXK_0D01770	Multi-Core
KMXK_0E02020	Multi-Core
KMXK_0A01910	Multi-Core
KMXK_0D00210	Multi-Core
KMXK_0A05540	Multi-Core
KMXK_0F00460	Multi-Core
KMXK_0G00290	Multi-Core
KMXK_0B07060	Multi-Core
KMXK_0F02910	Multi-Core
KMXK_0B01820	Multi-Core
KMXK_0D06270	Multi-Core
KMXK_0C04710	Multi-Core
KMXK_0A06310	Multi-Core
KMXK_0D00620	Multi-Core
KMXK_0B01320	Multi-Core
KMXK_0B00790	Multi-Core
KMXK_0E01420	Multi-Core
KMXK_0C05970	Multi-Core
KMXK_0B04220	Multi-Core
KMXK_0A01870	Multi-Core
KMXK_0D02040	Multi-Core
KMXK_0G03390	Multi-Core
KMXK_0H01860	Multi-Core
KMXK_0C01650	Multi-Core
KMXK_0A01620	Multi-Core
KMXK_0D06500	Multi-Core
KMXK_0H00670	Multi-Core
KMXK_0E05470	Multi-Core
KMXK_0D01350	Multi-Core
KMXK_0B00760	Multi-Core
KMXK_0B01630	Multi-Core
KMXK_0F04390	Multi-Core
KMXK_0B06880	Multi-Core
KMXK_0E00190	Multi-Core
KMXK_0A01040	Multi-Core
KMXK_0F00270	Multi-Core
KMXK_0C03050	Multi-Core
