OrthoGroups	Sce_pIDs	Kma_pIDs	Yli_pIDs
OG0000650	P20049	W0T6M2	Q6C1B7
OG0000654	P33755	W0T8M3	Q6C619
OG0000655	P33754	W0T5W0	Q6C620
OG0000658	P15179	W0T8M0	Q6C0A5
OG0000659	P38122	W0T6K8	Q6CE35
OG0000663	Q02889	W0T4U7	Q6C043
OG0000664	P48527	W0T8L0	Q6C474
OG0000668	P21825	W0T4U2	Q99161
OG0000669	Q02892	W0T5U4	Q6CG44
OG0000671	P41921	W0T8K0	Q6C5H4
OG0000672	P38128	W0T6J1	Q6C168
OG0000676	P38300	W0T4S8	Q6CE08
OG0000677	P48582	W0T8J3	Q6CGJ5
OG0000679	P38301	W0T6I2	Q6CCR1
OG0000680	P32333	W0T8I7	Q6BZT4
OG0000681	P38127	W0T4S0	Q6C2S7
OG0000683	P05626	W0T470	Q6C105
OG0000684	P12709	W0T4R5	Q6C2I1
OG0000686	P38129	W0T5R7	Q6CEN7
OG0000688	P29366	W0T461	F2Z6H1
OG0000692	P38132	W0T4Q4	Q6CE42
OG0000694	Q02776	W0T6F8	Q6CDV7
OG0000698	P18562	W0T443	Q6BZS4
OG0000700	P53904	W0T4P3	Q6C047
OG0000702	P03962	W0T5N9	Q12724
OG0000708	P08067	W0T4N4	Q6CI02
OG0000710	P39990	W0T5N0	Q6C0I0
OG0000713	P46673	W0T4N1	F2Z686
OG0000715	P39988	W0T6D2	Q6CHH8
OG0000717	P39986	W0T427	Q6C0T2
OG0000718	P24279	W0T6C7	Q6C0T3
OG0000720	P32626	W0T423	Q6C8V1
OG0000722	Q07478	W0T4L3	Q6CH90
OG0000723	P38930	W0T6B2	Q6C552
OG0000724	P04803	W0T8B7	Q6CBI6
OG0000726	Q05583	W0T411	Q6CBI8
OG0000730	P38715	W0T4K1	Q6C9X2
OG0000731	P32457	W0T401	Q6C816
OG0000732	P06106	W0T8A1	Q6C7U9
OG0000735	P38738	W0T5H7	Q6CDH5
OG0000736	P04802	W0T3Y8	Q6C868
OG0000737	P23369	W0T688	Q6C834
OG0000738	Q02260	W0T884	Q6CHU2
OG0000739	P36010	W0T4F5	Q6C2B5
OG0000741	P23833	W0T3V4	Q6C4X1
OG0000742	P29465	W0T5D7	Q6CAU0
OG0000748	P53163	W0T4D2	Q6C1C1
OG0000749	P29295	W0T5C4	Q6C2F7
OG0000751	Q06697	W0T4C7	Q6CHW0
OG0000752	P25296	W0T5B9	Q6CGE6
OG0000754	P20051	W0T4C3	Q6C0P7
OG0000756	Q06409	W0T3S4	Q6CDN9
OG0000757	P36047	W0T4B5	Q6CEN2
OG0000759	P07236	W0T5B1	Q6CHF9
OG0000762	P36046	W0T4B1	Q6C535
OG0000763	P36015	W0T823	Q6C537
OG0000765	Q04969	W0T4A5	Q6CGG8
OG0000767	Q06440	W0T5A2	Q6CGG9
OG0000768	Q12487	W0T3Q6	Q6C9L9
OG0000769	Q12404	W0T602	Q6BZZ7
OG0000770	Q12012	W0T4A0	Q6C587
OG0000771	P06105	W0T3Q1	Q6CDS1
OG0000772	P36112	W0T807	Q6C060
OG0000777	P40970	W0T5Y3	Q6C1K9
OG0000779	Q12522	W0T3N3	Q6C4C3
OG0000784	P48510	W0T3M4	Q6C7B6
OG0000785	P49017	W0T570	Q6CBJ6
OG0000787	Q03529	W0T7X4	Q6C1X0
OG0000789	Q03254	W0T3L1	Q6C770
OG0000791	P27929	W0T460	Q6CF39
OG0000792	P17555	W0T7W9	Q6CF38
OG0000794	P53552	W0T5V1	Q6CGS6
OG0000800	P25378	W0T7V5	Q6C400
OG0000801	P39998	W0T544	Q6C942
OG0000802	P39968	W0T440	Q6C5Y8
OG0000805	P32775	W0T5T0	Q6CCT1
OG0000806	P25618	W0T436	Q6C3N0
OG0000807	P25617	W0T432	Q6C8I3
OG0000810	P00560	W0T3H5	P29407
OG0000813	P43535	W0T5R3	Q6C754
OG0000814	Q08162	W0T421	Q6C755
OG0000815	P43593	W0T519	Q6CAG8
OG0000818	P07284	W0T5Q1	Q6C350
OG0000819	P38230	W0T7R5	Q6CEW4
OG0000820	P36087	W0T3F6	Q6C0F7
OG0000823	P40098	W0T7Q5	Q6C0C2
OG0000828	P40302	W0T7P8	Q6CBM3
OG0000829	P40416	W0T4Z5	Q6C6N0
OG0000830	P04046	W0T3E2	Q6CEI8
OG0000833	P25045	W0T3Y7	Q6CD74
OG0000835	P53327	W0T3D3	Q6CEQ3
OG0000837	Q03557	W0T3Y2	Q6C0M4
