OrthoGroups	Sce_genes	Kma_genes	Yli_genes
OG0000648	YPL109C	KLMA_10822	YALI1_E38896g
OG0000649	YBR164C	KLMA_10821	YALI1_F38670g
OG0000650	YBR166C	KLMA_10819	YALI1_F23441g
OG0000651	YIR032C	KLMA_10818	YALI1_F09856g
OG0000652	YBR167C	KLMA_10816	YALI1_A02561g
OG0000653	YPL107W	KLMA_10814	YALI1_A19549g
OG0000654	YBR170C	KLMA_10812	YALI1_E16174g
OG0000655	YBR171W	KLMA_10811	YALI1_E16164g
OG0000656	YBR173C	KLMA_10809	YALI1_E16076g
OG0000657	YBR175W	KLMA_10808	YALI1_F33791g
OG0000658	YPL104W	KLMA_10807	YALI1_F33819g
OG0000659	YBR176W	KLMA_10804	YALI1_B24638g
OG0000660	YPL103C	KLMA_10803	YALI1_B24606g
OG0000661	YPL101W	KLMA_10802	YALI1_F28943g
OG0000662	YPL099C	KLMA_10799	YALI1_F28934g
OG0000663	YPL098C	KLMA_10798	YALI1_F35591g
OG0000664	YPL097W	KLMA_10797	YALI1_E34408g
OG0000665	YPL096W	KLMA_10796	YALI1_C32496g
OG0000667	YBR179C	KLMA_10794	YALI1_F12434g
OG0000668	YPL094C	KLMA_10793	YALI1_B22697g
OG0000669	YPL093W	KLMA_10791	YALI1_B01698g
OG0000670	YPL092W	KLMA_10788	YALI1_E28779g
OG0000671	YPL091W	KLMA_10787	YALI1_E21406g
OG0000672	YBR182C	KLMA_10784	YALI1_F25035g
OG0000674	YPL086C	KLMA_10780	YALI1_B16687g
OG0000675	YPL085W	KLMA_10779	YALI1_B16735g
OG0000676	YBR185C	KLMA_10778	YALI1_B25744g
OG0000677	YPL084W	KLMA_10777	YALI1_A19725g
OG0000678	YPL083C	KLMA_10776	YALI1_A18805g
OG0000679	YBR187W	KLMA_10774	YALI1_C09696g
OG0000680	YPL082C	KLMA_10772	YALI1_F38756g
OG0000681	YBR192W	KLMA_10768	YALI1_F08225g
OG0000682	YBR193C	KLMA_10767	YALI1_B03043g
OG0000683	YPL078C	KLMA_10765	YALI1_F26967g
OG0000684	YBR196C	KLMA_10763	YALI1_F11049g
OG0000685	YPL076W	KLMA_10762	YALI1_B18764g
OG0000686	YBR198C	KLMA_10761	YALI1_B18798g
OG0000687	YPL072W	KLMA_10756	YALI1_C16305g
OG0000688	YBR200W	KLMA_10755	YALI1_F35061g
OG0000689	YPL070W	KLMA_10753	YALI1_F35003g
OG0000690	YPL069C	KLMA_10752	YALI1_D21022g
OG0000691	YPL067C	KLMA_10749	YALI1_F06896g
