Orthogroup	gene	Stratum	type
OG0000372	P11154	1	Dupl
OG0000395	Q06665	2	Dupl
OG0000305	P25454	4	Dupl
OG0000412	P10622	2	Dupl
OG0000867	P21651	0	Dupl
OG0000301	P02400	4	Dupl
OG0000473	Q06709	2	Dupl
OG0000056	P40348	4	Dupl
OG0000081	P38234	2	Dupl
OG0000110	P40475	1	Dupl
OG0003550	P40043	1	Dupl
OG0000594	P16664	2	Dupl
OG0001877	P38212	1	Dupl
OG0000403	Q08742	2	Dupl
OG0000298	P53972	4	Dupl
OG0001941	P32862	2	Dupl
OG0000271	P21672	1	Dupl
OG0001606	Q12672	0	Dupl
OG0000203	P39677	4	Dupl
OG0000554	P0C2H8	1	Dupl
OG0003297	Q06108	1	Dupl
OG0000360	P38339	2	Dupl
OG0000793	Q06407	1	Dupl
OG0001159	P05739	1	Dupl
OG0000411	P05738	1	Dupl
OG0001199	P0C2H7	0	Dupl
OG0000696	P05743	1	Dupl
OG0000475	P26784	1	Dupl
OG0000947	Q12216	1	Dupl
OG0000129	P38778	2	Dupl
OG0000404	P53823	0	Dupl
OG0000834	Q06091	1	Dupl
OG0000384	P22082	3	Dupl
OG0000127	P14359	2	Dupl
OG0000012	P32568	1	Dupl
OG0000213	P53315	1	Dupl
OG0000962	Q12153	1	Dupl
OG0000590	P39926	1	Dupl
OG0000712	P38960	1	Dupl
OG0000279	P38198	4	Dupl
OG0000266	P38688	4	Dupl
OG0000387	P37296	2	Dupl
OG0000334	P50875	2	Dupl
OG0001311	P01098	1	Dupl
OG0000996	P16965	1	Dupl
OG0000220	P38704	2	Dupl
OG0001140	P46679	1	Dupl
OG0000796	Q12038	1	Dupl
OG0000008	P11484	1	Dupl
OG0000682	P25390	1	Dupl
OG0000172	P53101	4	Dupl
OG0003336	Q06524	2	Dupl
OG0000270	Q12325	1	Dupl
OG0000247	P38123	2	Dupl
OG0000699	Q12034	1	Dupl
OG0000955	Q08817	2	Dupl
OG0000152	P08459	1	Dupl
OG0000362	Q12455	3	Dupl
OG0002021	Q02794	1	Dupl
OG0001393	Q07351	1	Dupl
OG0000468	P54003	2	Dupl
OG0000515	P01120	1	Dupl
OG0000518	P30402	1	Dupl
OG0000304	P43122	4	Dupl
OG0000930	P0CX84	1	Dupl
OG0000548	Q12161	2	Dupl
OG0000879	Q12369	2	Dupl
OG0000827	P53438	1	Dupl
OG0000182	P53327	4	Dupl
OG0000453	P53824	0	Dupl
OG0000413	P39955	2	Dupl
OG0000794	P38072	1	Dupl
OG0000255	P32855	2	Dupl
OG0000263	Q06315	2	Dupl
OG0000958	Q12469	1	Dupl
OG0001172	P32364	1	Dupl
OG0000841	P31109	1	Dupl
OG0000326	Q04902	0	Dupl
OG0000398	P39000	2	Dupl
OG0000913	P06700	1	Dupl
OG0000829	P32909	1	Dupl
OG0000957	P34164	1	Dupl
OG0000710	Q04658	2	Dupl
OG0000676	P33336	1	Dupl
OG0003650	P03878	2	Dupl
OG0001191	P32564	1	Dupl
OG0000350	P48415	2	Dupl
OG0000392	P40054	1	Dupl
OG0001078	P25365	1	Dupl
OG0003254	P20840	2	Dupl
OG0005477	P03877	0	Dupl
OG0000318	P38164	4	Dupl
OG0000442	P47052	1	Dupl
OG0000205	Q12464	4	Dupl
OG0001231	P52870	2	Dupl
OG0000997	Q6Q595	0	Dupl
OG0000792	Q04951	1	Dupl
OG0000728	Q06058	2	Dupl
OG0001024	P42948	1	Dupl
OG0000688	P53172	1	Dupl
OG0000826	P53953	2	Dupl
OG0001030	Q04487	1	Dupl
OG0000565	P53135	4	Dupl
OG0000213	P37262	1	Dupl
OG0000956	P35210	1	Dupl
OG0000295	Q03175	3	Dupl
OG0000512	P33894	2	Dupl
OG0000931	P53955	1	Dupl
OG0000297	P18480	4	Dupl
OG0000207	P10870	1	Dupl
OG0000448	Q06688	2	Dupl
OG0000153	P32916	5	Dupl
OG0003504	P13130	1	Dupl
OG0001077	P32572	1	Dupl
OG0004189	P09007	1	Dupl
OG0001122	P38200	2	Dupl
OG0000188	P25345	4	Dupl
OG0000123	Q03750	1	Dupl
OG0000787	Q06466	1	Dupl
OG0000010	P47079	4	Dupl
OG0000000	Q06417	4	Dupl
OG0000116	Q12104	1	Dupl
OG0000496	P53228	1	Dupl
OG0000177	P32048	4	Dupl
OG0000478	Q08921	4	Dupl
OG0000039	P09734	0	Dupl
OG0000160	P53616	1	Dupl
OG0000149	P07236	4	Dupl
OG0000469	P38714	3	Dupl
OG0003731	Q04083	1	Dupl
OG0000010	P12612	4	Dupl
OG0000262	P53038	4	Dupl
OG0000429	P47183	0	Dupl
OG0000746	P38756	1	Dupl
OG0000905	Q12415	1	Dupl
OG0000429	P42883	0	Dupl
OG0000547	P38114	1	Dupl
OG0000221	Q6B2U8	0	Dupl
OG0000235	P46678	2	Dupl
OG0000077	P47988	2	Dupl
OG0000229	Q06490	1	Dupl
OG0000034	P38967	2	Dupl
OG0000773	P24784	1	Dupl
OG0005137	P43595	0	Dupl
OG0000014	P25719	3	Dupl
OG0000192	Q05080	2	Dupl
OG0000492	P43550	4	Dupl
OG0000645	Q08558	2	Dupl
OG0000014	P35176	2	Dupl
OG0000062	P53206	5	Dupl
OG0000805	P16521	1	Dupl
OG0000784	P25334	1	Dupl
OG0000094	P47179	0	Dupl
OG0000836	P32328	1	Dupl
OG0001488	P47977	1	Dupl
OG0000804	P00045	1	Dupl
OG0000483	P25628	1	Dupl
OG0000549	Q12675	1	Dupl
OG0000672	Q12128	2	Dupl
OG0000278	P38891	2	Dupl
OG0000025	P39714	1	Dupl
OG0000137	Q06702	1	Dupl
OG0000261	P38934	4	Dupl
OG0000622	P38813	3	Dupl
OG0003507	P38084	1	Dupl
OG0000445	P29311	1	Dupl
OG0002899	Q12140	1	Dupl
OG0000223	P38696	4	Dupl
OG0000505	P27895	3	Dupl
OG0000273	P38170	4	Dupl
OG0000558	P53865	1	Dupl
OG0000595	Q07442	1	Dupl
OG0000118	P38360	4	Dupl
OG0000075	P13090	1	Dupl
OG0000866	P38176	1	Dupl
OG0000650	P38287	1	Dupl
OG0003695	P47050	2	Dupl
OG0001124	Q04201	2	Dupl
OG0000037	Q04895	1	Dupl
OG0000243	P08004	4	Dupl
OG0000543	P53280	2	Dupl
OG0000649	P24871	1	Dupl
OG0000185	P08679	1	Dupl
OG0000141	P06115	4	Dupl
OG0000175	P36012	4	Dupl
OG0003217	P32943	1	Dupl
OG0000065	P35201	2	Dupl
OG0000756	P36130	1	Dupl
OG0001203	Q06675	2	Dupl
OG0003283	P20437	1	Dupl
OG0003573	P40955	1	Dupl
OG0000658	P24868	1	Dupl
OG0000709	P32448	2	Dupl
OG0001094	P36038	1	Dupl
OG0000102	P38840	4	Dupl
OG0000257	P14843	4	Dupl
OG0000022	P38724	2	Dupl
OG0001047	P24813	1	Dupl
OG0000427	P36973	1	Dupl
OG0000640	P0CD90	1	Dupl
OG0000964	P32454	2	Dupl
OG0000788	Q08683	2	Dupl
OG0000612	P47041	1	Dupl
OG0000759	P38041	1	Dupl
OG0003215	P48524	1	Dupl
OG0000314	P07245	2	Dupl
OG0000684	P53727	2	Dupl
OG0000422	P39101	2	Dupl
OG0000245	P43568	4	Dupl
OG0000611	P40580	1	Dupl
OG0000319	Q12748	2	Dupl
OG0000706	Q08492	1	Dupl
OG0000789	Q08754	1	Dupl
OG0000436	Q06604	1	Dupl
OG0000722	P35203	2	Dupl
OG0000249	P14772	4	Dupl
OG0000131	P03965	5	Dupl
OG0001714	P11927	1	Dupl
OG0000663	P10659	1	Dupl
OG0000776	P50090	1	Dupl
OG0005182	P34166	0	Dupl
OG0000096	P40309	5	Dupl
OG0000232	P23292	1	Dupl
