genes	orthology
YALI1_C06222g	Multi-Core
YALI1_C04925g	Multi-Core
YALI1_F26427g	Multi-Core
YALI1_C24850g	Multi-Core
YALI1_E20794g	Multi-Core
YALI1_D11256g	Multi-Core
YALI1_A12772g	Multi-Core
YALI1_D01234g	Multi-Core
YALI1_B21381g	Multi-Core
YALI1_B03910g	Multi-Core
YALI1_A16292g	Multi-Core
YALI1_C04553g	Multi-Core
YALI1_B16239g	Multi-Core
YALI1_F31215g	Multi-Core
YALI1_B04228g	Multi-Core
YALI1_B25676g	Multi-Core
YALI1_D18890g	Multi-Core
YALI1_E41251g	Multi-Core
YALI1_F32287g	Multi-Core
YALI1_F03992g	Multi-Core
YALI1_F08885g	Multi-Core
YALI1_F23922g	Multi-Core
YALI1_C29538g	Multi-Core
YALI1_D26666g	Multi-Core
YALI1_F19106g	Multi-Core
YALI1_D34353g	Multi-Core
YALI1_F04379g	Multi-Core
YALI1_C07028g	Multi-Core
YALI1_A04261g	Multi-Core
YALI1_E23961g	Multi-Core
YALI1_B12781g	Multi-Core
YALI1_F01755g	Multi-Core
YALI1_D34232g	Multi-Core
YALI1_E14619g	Multi-Core
YALI1_B02283g	Multi-Core
YALI1_E32776g	Multi-Core
YALI1_F13268g	Multi-Core
YALI1_C24262g	Multi-Core
YALI1_C19151g	Multi-Core
YALI1_C33444g	Multi-Core
YALI1_D01378g	Multi-Core
YALI1_F36094g	Multi-Core
YALI1_D19187g	Multi-Core
YALI1_B21493g	Multi-Core
YALI1_F38386g	Multi-Core
YALI1_D19721g	Multi-Core
YALI1_B02604g	Multi-Core
YALI1_A20370g	Multi-Core
YALI1_F19169g	Multi-Core
YALI1_E32423g	Multi-Core
YALI1_F21875g	Multi-Core
YALI1_F24228g	Multi-Core
YALI1_F21989g	Multi-Core
YALI1_F32948g	Multi-Core
YALI1_E29481g	Multi-Core
YALI1_E27600g	Multi-Core
YALI1_C353g	Multi-Core
YALI1_F00616g	Multi-Core
YALI1_B25553g	Multi-Core
YALI1_B01464g	Multi-Core
YALI1_B10525g	Multi-Core
YALI1_E23854g	Multi-Core
YALI1_A15132g	Multi-Core
YALI1_F33103g	Multi-Core
YALI1_F20086g	Multi-Core
YALI1_B22259g	Multi-Core
YALI1_D18383g	Multi-Core
YALI1_E17699g	Multi-Core
YALI1_D20050g	Multi-Core
YALI1_B22321g	Multi-Core
YALI1_C30320g	Multi-Core
YALI1_F33273g	Multi-Core
YALI1_F31070g	Multi-Core
YALI1_A01394g	Multi-Core
YALI1_A07937g	Multi-Core
YALI1_E21128g	Multi-Core
YALI1_E08620g	Multi-Core
YALI1_C32886g	Multi-Core
YALI1_E18480g	Multi-Core
YALI1_D00515g	Multi-Core
YALI1_B25906g	Multi-Core
YALI1_F23529g	Multi-Core
YALI1_E03904g	Multi-Core
YALI1_B14441g	Multi-Core
YALI1_B08493g	Multi-Core
YALI1_D01404g	Multi-Core
YALI1_F25885g	Multi-Core
YALI1_A00058g	Multi-Core
YALI1_D07831g	Multi-Core
YALI1_F10652g	Multi-Core
YALI1_D13251g	Multi-Core
YALI1_D02041g	Multi-Core
YALI1_E20510g	Multi-Core
YALI1_D00929g	Multi-Core
YALI1_A13555g	Multi-Core
YALI1_D00422g	Multi-Core
YALI1_D01890g	Multi-Core
YALI1_B15015g	Multi-Core
YALI1_D07427g	Multi-Core
YALI1_F34521g	Multi-Core
YALI1_D15030g	Multi-Core
YALI1_F27356g	Multi-Core
YALI1_D18089g	Multi-Core
YALI1_A12729g	Multi-Core
YALI1_E25063g	Multi-Core
YALI1_D30097g	Multi-Core
