genes,HiT,LpH
YALI1_D34933g,-4.34524858715883,-3.42174430869637
YALI1_E30677g,-0.910229306731298,-3.04986456165627
YALI1_C21789g,-1.16467401358981,-2.16315989379761
YALI1_A05254g,-0.890980915188965,-2.34034608240895
YALI1_B15587g,-0.952363441444051,-1.51868243979977
YALI1_D17666g,-0.975323804530487,-2.6295163995869
YALI1_B11759g,-0.804552930333185,-1.8525305457537
YALI1_E21983g,-1.10544042526683,-3.10814761306125
YALI1_F17988g,-1.20568222775909,-1.77520700281488
YALI1_D13126g,-0.871880479772121,-1.57937143828171
YALI1_F03120g,-1.15453453624389,-1.49875842419954
YALI1_B05832g,-1.07847193214377,-1.57978749849859
YALI1_E19483g,-0.810744705611439,-1.52530476562279
YALI1_E02317g,-0.77054085247686,-1.67572373446188
YALI1_F39001g,-0.7690039950199,-1.83413997130721
YALI1_D11151g,-0.874905100808959,-2.87949630512743
YALI1_E09817g,-0.973708227621597,-3.85241100953168
YALI1_D18770g,-0.751360272645226,-4.01270555096684
YALI1_C32461g,-0.758351124719892,-1.90708128200645
YALI1_D16206g,-1.16499278425556,-1.60596030397982
YALI1_F07699g,-0.833930355448992,-1.77945021134986
YALI1_D11722g,-0.815881087274992,-1.68367502440694
YALI1_C07137g,-0.827552529698339,-1.30490083916864
YALI1_D14893g,-0.961507818097977,-1.48039578077954
YALI1_F19106g,-0.758859692959525,-1.25049144709278
YALI1_E09568g,-1.04802849721243,-1.25430515735421
YALI1_B12409g,-0.770848116523542,-1.74234234442456
YALI1_B01698g,-0.779880951470447,-1.70825261983551
YALI1_B30214g,-0.775673415947337,-1.22489576312237
YALI1_D26438g,-0.823639105880465,-1.46346076908658
YALI1_D32424g,-0.790105925023365,-1.37650920306084
YALI1_B28053g,-0.844305661476552,-1.59200777524348
YALI1_F12330g,-0.903858698412169,-1.19827332526138
YALI1_B14236g,-0.766346493123162,-3.02933767573252
YALI1_E29939g,-0.769385049328477,-1.85075424686502
YALI1_E32664g,-1.17072033305408,-1.59531049499055
YALI1_F15291g,-0.76261153701107,-3.29904107433697
YALI1_E04023g,-0.913379970084461,-0.882230432151856
YALI1_D13124g,-0.840798633627543,-2.41043301480682
YALI1_F25444g,-0.833510236970295,-4.79125190123573
YALI1_F15641g,-1.03034060740779,-1.21090080032261
YALI1_E01530g,-0.799819386668882,-3.06646691003607
YALI1_C10385g,-1.1361483435556,-1.06837740586138
YALI1_F31587g,-0.811784792273978,-1.41823365865337
YALI1_E41251g,-1.34720786070926,-5.12895714808362
YALI1_D00673g,-0.865901738610315,-2.56583242569906
YALI1_D23785g,-0.815037001243036,-1.13715983986041
YALI1_E21256g,-1.24357401528064,-3.29593395673155
YALI1_A17239g,-1.27585093910201,-1.13726605291549
YALI1_C07152g,-1.02069498745243,-1.39291914909983
YALI1_F25924g,-0.796093711597509,-2.91652762472811
YALI1_F15286g,-0.88739452087637,-6.72447322092138
YALI1_E36494g,-1.56248422857391,-0.827185747005886
YALI1_E22840g,-0.839563481322254,-0.89001825581105
YALI1_A01537g,-1.20279274289433,-1.37862201533153
YALI1_B24564g,-0.974409130054817,-1.62534587824969
YALI1_E28439g,-0.756710094705933,-2.91034908117589
YALI1_C31649g,-0.761126406773526,-2.14664872466176
YALI1_D00422g,-1.1417117995853,-1.34718418028345
YALI1_E15629g,-0.766542183319925,-2.26218472261151
YALI1_B25258g,-1.20082210404956,-1.89885166342136
YALI1_B03910g,-1.49795131733797,-1.8761626471765
YALI1_F13452g,-0.773091382519719,-1.49374191615059
YALI1_F21504g,-0.966096659762665,-1.05146802566628
YALI1_B27929g,-0.873840531711763,-1.08896905259471
YALI1_B12375g,-0.887413716335042,-1.08204321438432
YALI1_D20968g,-1.07378815740017,-0.906744995792773
YALI1_F24564g,-0.937374842822679,-1.36466658560742
YALI1_C10086g,-0.806066610845984,-0.764808729585655
YALI1_F26474g,-0.812910882688081,-1.31657849140954
YALI1_C11843g,-0.760899519348408,-0.782705586204003
YALI1_B29364g,-1.137242054651,-1.10528703225767
YALI1_B17569g,-0.945485715200508,-1.02113376258001
YALI1_B24836g,-1.38854011873639,-0.869207453423848
YALI1_E27622g,-0.779303053968995,-0.808121421617104
