V1	V2	V3
YALI1_A17085g	7.4921221172253e-05	8.83664314626812e-05	1.81800475350863e-05
YALI1_B16022g	7.82798284861007e-06	5.84114961161537e-06	2.60325451163522e-05
YALI1_A17957g	5.09058058102803e-05	3.25471462619934e-05	0.000158960730183341
YALI1_C24891g	0.000291294019163119	0.00012279308576202	0.000196501286389652
YALI1_D12050g	5.27590959628661e-05	5.76119456555785e-05	1.26455145177021e-05
YALI1_E14988g	0.000443095219121987	0.000454157623452376	0.000267551640402114
YALI1_C29762g	2.61555781375119e-05	1.85443715574555e-05	1.37587032368405e-05
YALI1_C12941g	1.14542930232212e-05	2.24753885562501e-05	3.89101691947847e-05
YALI1_A20063g	3.50195155368011e-05	3.64219136582392e-05	2.14964375725492e-05
YALI1_D08884g	4.5825470773356e-05	5.89447176793644e-05	2.7493048007932e-05
YALI1_E38706g	1.35917203361185e-05	3.5333312184712e-05	4.59224768374673e-05
YALI1_E13428g	2.99507176579562e-05	1.91365050274063e-05	8.93868165851289e-06
YALI1_B17927g	1.32244999928021e-05	1.22804986468466e-05	3.32014078212371e-06
YALI1_B03644g	6.59460471786915e-05	5.22678884048276e-05	3.91690720375938e-05
YALI1_F16656g	3.99743642263067e-05	6.48766704585612e-05	4.2465415843119e-05
YALI1_E02162g	2.33398260684709e-05	3.88461299732165e-05	9.19627453428798e-06
YALI1_F34324g	4.53537695178551e-06	4.45455713854421e-06	1.98441276686692e-05
YALI1_A12437g	3.71439594617427e-05	5.22473122766566e-05	2.02439457851432e-05
YALI1_E38113g	3.16110453552355e-05	1.24073757313253e-05	4.98802889510395e-05
YALI1_E25018g	1.71860884923998e-05	7.94679693320857e-06	1.01585681422045e-05
YALI1_B11983g	0.000124987090545036	0.000204251780254651	0.000177456575473751
YALI1_A00789g	1.23841534441702e-05	7.6827380192523e-06	4.2198861030846e-06
YALI1_F30479g	8.60803538265154e-06	1.90191286398954e-05	3.97501416203638e-06
YALI1_E33150g	3.08370831771885e-05	1.67240595046992e-05	2.53489177155594e-05
