OG,sce,kma,yli
OG0000588,,,YALI1_A19549g
OG0000593,,,YALI1_B24638g
OG0000603,,,YALI1_B01698g
OG0000626,,,YALI1_F06896g
OG0000645,,,YALI1_F39106g
OG0000655,YEL038W,,
OG0000657,YDL084W,,
OG0000710,,,YALI1_C06368g
OG0000714,,,YALI1_E33024g
OG0000716,,,YALI1_F03120g
OG0000743,YCR012W,,
OG0000757,,,YALI1_D14628g
OG0000760,,,YALI1_D21511g
OG0000763,,,YALI1_B20153g
OG0000764,,,YALI1_B20243g
OG0000771,YMR292W,,
OG0000775,,,YALI1_E02317g
OG0000789,YGL008C,,
OG0000791,,,YALI1_D06195g
OG0000810,,,YALI1_A04119g
OG0000836,,,YALI1_E06882g
OG0000860,,,YALI1_E03220g
OG0000883,,,YALI1_E19483g
OG0000889,,,YALI1_E01649g
OG0000904,,,YALI1_A05571g
OG0000930,,,YALI1_F39128g
OG0000977,,,YALI1_E29665g
OG0000982,YNL259C,,
OG0001000,,,YALI1_D23067g
OG0001002,,,YALI1_F29356g
OG0001007,YDR502C,,
OG0001014,,,YALI1_C18892g
OG0001019,YCL038C,,
OG0001032,,,YALI1_D11722g
OG0001055,,,YALI1_E36437g
OG0001062,YGL030W,,
OG0001087,,KMXK_0B01110,
OG0001121,YDR226W,,
OG0001124,,,YALI1_C07137g
OG0001133,,,YALI1_A05254g
OG0001150,,,YALI1_E22238g
OG0001172,,,YALI1_F06351g
OG0001178,YGL123W,,
OG0001214,,,YALI1_F31587g
OG0001216,,,YALI1_F25444g
OG0001217,YOR310C,,
OG0001273,,,YALI1_C30287g
OG0001275,,,YALI1_C05636g
OG0001293,,,YALI1_B18134g
OG0001319,,,YALI1_E16493g
OG0001326,,,YALI1_D09453g
OG0001377,,,YALI1_D08734g
OG0001385,YDR374C,,
OG0001397,,,YALI1_C25979g
OG0001416,,,YALI1_F37463g
OG0001435,,,YALI1_B13586g
OG0001436,,,YALI1_D13126g
OG0001467,,,YALI1_E30707g
OG0001468,,,YALI1_D17268g
OG0001471,YNL178W,,
OG0001486,YLR050C,,
OG0001490,,,YALI1_D26051g
OG0001496,,,YALI1_F13001g
OG0001518,,,YALI1_E18622g
OG0001548,,,YALI1_F39001g
OG0001559,YLR359W,,
OG0001564,,,YALI1_A12302g
OG0001572,,,YALI1_D35575g
OG0001580,YMR116C,,
OG0001598,YNL010W,,
OG0001645,YLL014W,,
OG0001649,,,YALI1_D17370g
OG0001655,,,YALI1_B22015g
OG0001667,,,YALI1_A01505g
OG0001674,YOR063W,,
OG0001692,,,YALI1_F33951g
OG0001713,,,YALI1_C00230g
OG0001724,,KMXK_0C03420,YALI1_F01981g
OG0001745,,,YALI1_F17988g
OG0001754,,,YALI1_A05052g
OG0001808,,,YALI1_F13446g
OG0001812,YNR021W,,
OG0001815,,,YALI1_B01839g
OG0001825,YGL077C,,
OG0001826,,,YALI1_D12056g
OG0001828,,,YALI1_F36178g
OG0001851,YHR064C,,
OG0001853,,,YALI1_A12403g
OG0001871,,,YALI1_E29433g
