OG,sce,kma,yli
OG0000604,,KMXK_0A00530,YALI1_E28779g
OG0000699,,KMXK_0A02180,
OG0000716,,,YALI1_F03120g
OG0000753,,KMXK_0A03210,
OG0000785,YHR183W,,
OG0000850,,,YALI1_D18845g
OG0000897,,KMXK_0A05900,
OG0000936,,KMXK_0A06580,
OG0001007,YDR502C,,
OG0001062,YGL030W,,
OG0001086,,KMXK_0B01100,
OG0001134,,KMXK_0B02070,
OG0001150,,KMXK_0B02340,
OG0001174,,KMXK_0B02770,
OG0001323,,KMXK_0B04980,
OG0001349,YER044C,,
OG0001356,YHR007C,,
OG0001377,YOR130C,,
OG0001527,,KMXK_0C00360,
OG0001528,,KMXK_0C00370,
OG0001566,,KMXK_0C00950,
OG0001610,YJL088W,,
OG0001635,YGR175C,,
OG0001686,,KMXK_0C02810,
OG0001724,YPR192W,KMXK_0C03420,
OG0001745,,,YALI1_F17988g
OG0001837,,KMXK_0C05200,
OG0001902,YLR355C,,
OG0001903,YLR354C,,
OG0001928,YML008C,,
OG0001941,YER043C,,
OG0001974,YNR050C,,
OG0001980,YGL001C,,
OG0002032,,KMXK_0D01260,
OG0002059,,KMXK_0D01720,
OG0002268,YKL182W,,
OG0002433,,KMXK_0E02060,
OG0002465,,,YALI1_E21983g
OG0002483,YGR060W,,
OG0002513,YMR189W,,
OG0002644,YLR167W,,
OG0002724,YDL130W,,
OG0002750,YML126C,,
OG0002771,YMR015C,,
OG0002791,YDR248C,,
OG0002847,,KMXK_0F02790,
OG0002857,YOL064C,,
OG0002869,,KMXK_0F03150,
OG0002886,YNL112W,,YALI1_E32664g
OG0002888,YNL111C,,
OG0002911,YMR062C,,
OG0003021,,KMXK_0G00180,
OG0003180,YNL280C,,
OG0003184,YBR106W,,
OG0003193,,KMXK_0G03090,
OG0003217,YER091C,,
OG0003239,YOL140W,,
OG0003271,,,YALI1_D16206g
OG0003357,YER069W,,
OG0003387,,KMXK_0H02200,
OG0003391,,,YALI1_B05832g
OG0003481,YHR071W,,
OG0003490,,KMXK_0H03880,
OG0003516,,KMXK_0H04290,
OG0003526,,KMXK_0H04430,
