OG,cpk,kma
OG0000737,CENPK1137D_5249,
OG0000955,,KMXK0A05660
OG0001487,CENPK1137D_2071,
OG0001876,,KMXK0C04630
OG0001948,CENPK1137D_1521,
OG0001986,CENPK1137D_2178,
OG0002043,CENPK1137D_1111,
OG0002195,,KMXK0D02710
OG0002257,,KMXK0D03850
OG0002386,,KMXK0D05930
OG0002420,CENPK1137D_3109,
OG0002589,CENPK1137D_4353,
OG0002620,,KMXK0E03750
OG0002653,CENPK1137D_5308,
OG0002698,,KMXK0E04920
OG0002790,CENPK1137D_4855,
OG0002792,,KMXK0F00180
OG0002921,CENPK1137D_98,
OG0003082,,KMXK0F05050
OG0003196,CENPK1137D_2642,
OG0003358,CENPK1137D_1893,
