OG,sce,kma,yli
OG0000678,,,YALI1_B21313g
OG0000691,,,YALI1_B29310g
OG0000723,,,YALI1_F17082g
OG0000789,,,YALI1_B28659g
OG0000840,,,YALI1_F15769g
OG0000850,,,YALI1_D18845g
OG0000868,,,YALI1_A03837g
OG0000903,,,YALI1_A03721g
OG0000915,,,YALI1_E18281g
OG0000916,,KMXK_0A06270,
OG0000921,YOR181W,,
OG0000934,,,YALI1_E05145g
OG0000939,,KMXK_0A06630,
OG0000955,YOL093W,,
OG0001023,YCL044C,,
OG0001090,,,YALI1_C29141g
OG0001110,YJL104W,,
OG0001190,YGL044C,,
OG0001240,,,YALI1_E38706g
OG0001243,YAL013W,,
OG0001294,YHL028W,,
OG0001310,YKL151C,,
OG0001360,YDR468C,,
OG0001434,,,YALI1_F37658g
OG0001470,YNL180C,,
OG0001504,,,YALI1_E01904g
OG0001520,,,YALI1_C29506g
OG0001571,YKL122C,,
OG0001636,YGR174C,,
OG0001686,,,YALI1_B20378g
OG0001689,,,YALI1_B17805g
OG0001735,,,YALI1_F03136g
OG0001737,,,YALI1_B28268g
OG0001746,,KMXK_0C03800,
OG0001818,,,YALI1_E23472g
OG0001843,,,YALI1_C28456g
OG0001870,,,YALI1_F04314g
OG0001888,,KMXK_0C05990,YALI1_F38191g
OG0001928,,,YALI1_F12138g
OG0001939,YGL226W,,
OG0001994,,,YALI1_C08040g
OG0002260,YHR191C,,
OG0002271,,KMXK_0D05590,
OG0002335,,,YALI1_E08937g
OG0002380,YAL033W,,
OG0002384,YOR329C,,
OG0002420,YLR438C-A,,
OG0002434,YLR337C,,
OG0002451,,,YALI1_E19201g
OG0002483,,,YALI1_F14958g
OG0002500,YLR200W,,
OG0002533,,KMXK_0E03750,
OG0002589,,KMXK_0E04650,
OG0002607,,,YALI1_F28590g
OG0002613,,,YALI1_D16783g
OG0002847,,,YALI1_F05814g
OG0002867,,,YALI1_B19336g
OG0002900,YER159C,,
OG0002914,,,YALI1_F30034g
OG0002940,YOL077W-A,,
OG0002982,YGR215W,,
OG0003101,YIL101C,,
OG0003128,YMR311C,,
OG0003212,YBL051C,,
OG0003245,YDR363W-A,,
OG0003316,,,YALI1_A06396g
OG0003352,,,YALI1_F26399g
OG0003407,,,YALI1_F37714g
OG0003438,,,YALI1_C28396g
OG0003442,YPR065W,,
