genes,logFC,logCPM,PValue,FDR,,,,,,
YALI1_D34933g,-4.321558501,4.843160913,0,0,,,,,,
YALI1_E09329g,-1.537164488,8.548333996,1.54E-126,5.68E-123,,,,,,
YALI1_A22496g,2.689660564,3.561193572,8.23E-126,2.03E-122,,,,,,
YALI1_F15357g,2.594052086,3.528845551,4.18E-102,7.71E-99,,,,,,
YALI1_E14350g,1.576554428,5.596805798,3.56E-96,5.26E-93,,,,,,
YALI1_B17292g,1.390621933,6.08425322,2.93E-86,3.60E-83,,,,,,
YALI1_B21155g,1.67138445,4.930610144,5.58E-83,5.89E-80,,,,,,
YALI1_E12561g,1.210919166,6.41002374,3.46E-77,3.19E-74,,,,,,
YALI1_A12772g,-2.396718173,5.015081258,5.74E-68,4.71E-65,,,,,,<
YALI1_A17749g,2.376966728,3.421674374,1.78E-67,1.31E-64,,,,,,
YALI1_F14136g,-0.773120545,9.554202224,6.29E-62,4.23E-59,,,,,,
YALI1_A15105g,1.139075914,7.433521045,1.83E-61,1.12E-58,,,,,,
YALI1_E17849g,-0.908526582,7.909504821,4.98E-61,2.83E-58,,,,,,
YALI1_C21789g,-1.15455977,5.694085325,1.35E-59,7.11E-57,,,,,,
YALI1_E10295g,1.103489369,4.235865728,1.76E-58,8.67E-56,,,,,,
YALI1_E20794g,1.1199725,5.069779382,2.88E-58,1.33E-55,,,,,,
YALI1_B12966g,1.184305624,6.689116193,5.93E-58,2.57E-55,,,,,,
YALI1_E30677g,-0.928697747,5.854838326,9.74E-58,4.00E-55,,,,,,
YALI1_C31408g,1.176803016,8.104159618,7.15E-56,2.78E-53,,,,,,
YALI1_A12356g,-0.906904039,6.061416182,2.14E-55,7.90E-53,,,,,,
YALI1_B13328g,-1.235890393,6.865491483,2.43E-54,8.54E-52,,,,,,
YALI1_C24850g,-0.982755984,10.4182289,1.14E-53,3.82E-51,,,,,,
YALI1_E34842g,-0.759710156,6.432824658,2.02E-53,6.50E-51,,,,,,
YALI1_B15587g,-0.958991928,6.549313077,4.20E-53,1.29E-50,,,,,,
YALI1_C25391g,1.389432267,6.678078334,1.43E-52,4.22E-50,,,,,,
YALI1_A05254g,-0.892265075,6.161859527,1.80E-51,5.11E-49,,,,,,
YALI1_D31482g,-1.761403616,8.240688648,3.32E-51,9.07E-49,,,,,,
YALI1_B11759g,-0.811337962,6.43993141,7.75E-51,2.04E-48,,,,,,
YALI1_D17666g,-0.979392736,5.904224928,4.69E-50,1.19E-47,,,,,,
YALI1_E21983g,-1.112754928,6.708046223,2.08E-49,5.13E-47,,,,,,
YALI1_C15454g,1.998015787,2.889908581,3.68E-49,8.77E-47,,,,,,
YALI1_A16681g,1.685508468,3.930960994,6.08E-49,1.40E-46,,,,,,
YALI1_B02047g,1.720406155,2.828006895,1.80E-48,4.04E-46,,,,,,
YALI1_A06594g,0.630405364,6.730148538,5.36E-48,1.16E-45,,,,,,
YALI1_F03120g,-1.157157587,5.144365562,1.92E-47,4.04E-45,,,,,,
YALI1_A19070g,2.306288874,2.714818051,3.92E-47,8.03E-45,,,,,,
YALI1_F17988g,-1.209055921,7.581178129,1.08E-46,2.16E-44,,,,,,
YALI1_D13126g,-0.874023819,5.962780513,3.71E-46,7.21E-44,,,,,,
YALI1_F37171g,1.589659705,2.637373085,4.55E-46,8.62E-44,,,,,,
YALI1_C04925g,0.869918928,7.253125211,5.99E-45,1.11E-42,,,,,,
YALI1_F12649g,1.036536307,4.335562761,6.38E-45,1.15E-42,,,,,,
YALI1_F29798g,1.925752198,3.758298145,1.23E-44,2.15E-42,,,,,,
YALI1_E01649g,-0.641225507,5.881947621,3.17E-44,5.45E-42,,,,,,
YALI1_E40251g,-0.69259352,6.124533587,8.34E-44,1.40E-41,,,,,,
YALI1_B05832g,-1.079534645,7.817809059,8.60E-44,1.41E-41,,,,,,
YALI1_C30454g,1.048786468,5.519301978,1.01E-43,1.62E-41,,,,,,
YALI1_A12540g,2.688973247,3.272212485,2.95E-43,4.63E-41,,,,,,
YALI1_B10231g,0.895726109,7.711201087,6.53E-43,1.00E-40,,,,,,
YALI1_C15465g,1.197548651,4.055163951,1.19E-42,1.79E-40,,,,,,
YALI1_C04720g,1.271709371,5.067544284,1.78E-42,2.63E-40,,,,,,
YALI1_F26427g,0.837856342,6.720544201,2.15E-42,3.11E-40,,,,,,
YALI1_F09433g,0.570411266,6.555425697,2.22E-42,3.16E-40,,,,,,
YALI1_E19483g,-0.816051654,6.839892558,2.47E-42,3.44E-40,,,,,,
YALI1_B05313g,0.720136872,5.543522647,3.62E-42,4.95E-40,,,,,,
YALI1_E26492g,1.665691608,3.444537714,4.37E-42,5.87E-40,,,,,,
YALI1_F07318g,-0.741331888,6.126759697,1.26E-41,1.66E-39,,,,,,
YALI1_F04848g,0.684584088,5.896975341,1.96E-41,2.54E-39,,,,,,
YALI1_E02317g,-0.77562714,6.989061817,3.33E-41,4.24E-39,,,,,,
YALI1_E32792g,-2.231337247,0.984079891,1.41E-40,1.77E-38,,,,,,
YALI1_D10565g,0.797753691,5.820963608,5.29E-40,6.52E-38,,,,,,
