genes,HiT,LpH,Osm
CENPK1137D_283,-1.29506587650827,-1.45739647436427,-1.5620584511377
CENPK1137D_2237,-1.09317243676152,-1.19987931632421,-0.818526267243581
CENPK1137D_148,-1.03968688643021,-1.28781963047321,-0.756919305999141
CENPK1137D_3867,-1.5267048738053,-1.29730952105889,-0.911837917854564
CENPK1137D_4296,-1.11726351790424,-1.30713892390588,-1.15003254166637
CENPK1137D_697,-1.13997165536717,-1.43139048765157,-1.27515992215401
CENPK1137D_2315 CENPK1137D_2659,-1.29646801122371,-1.65498628233604,-1.3301825848348
CENPK1137D_4331,-0.852092120850021,-1.5682569141954,-1.33820215678009
CENPK1137D_5342,-1.0887537984805,-1.29547977011449,-0.823504315546443
CENPK1137D_2827,-1.82155083509173,-0.792841816010803,-1.18289353828276
CENPK1137D_442,-1.13728045490759,-1.08716174530907,-0.81739097231267
CENPK1137D_4774,-0.786004980775604,-1.42300484900937,-1.31527511687024
CENPK1137D_1249,-1.02632678048356,-1.17223169747053,-0.752385081139476
CENPK1137D_3415 CENPK1137D_5041,-1.00674478896348,-0.753388938127446,-0.95809490835365
CENPK1137D_3847,-1.08387781938062,-0.767259918773755,-1.19432828566897
CENPK1137D_1508,-1.55632107191658,-1.52790344236574,-1.30910116702657
CENPK1137D_2671,-1.01173427362509,-0.878625877677427,-1.42513395084146
CENPK1137D_5143,-1.11241368472025,-1.01733816271766,-1.17851974124233
CENPK1137D_4298 CENPK1137D_5402,-0.912778481592337,-0.831458136899344,-0.922460270977857
CENPK1137D_1583,-0.944069598876961,-1.12338204902347,-1.4024601697823
CENPK1137D_4925,-0.918137576997751,-1.20141596239639,-1.29572702713301
CENPK1137D_3979,-0.823180842881288,-0.977590931751464,-0.760403807741877
CENPK1137D_4784,-1.29970225512616,-1.18461728652954,-0.770037766551705
CENPK1137D_41,-0.820451584466449,-0.892257225877799,-0.777778024847743
CENPK1137D_2563,-0.955721703163047,-1.41240032107119,-1.22130209084854
CENPK1137D_4052,-0.834645966738666,-0.78871897574239,-0.904661669010805
