Orthogroup	A_s288c	A.niger	F.veneatum	S.pombe
OG0000000	P38781, P40971, Q06639	tr|A2Q7H1|A2Q7H1_ASPNC, tr|A2Q865|A2Q865_ASPNC, tr|A2Q918|A2Q918_ASPNC, tr|A2QBF6|A2QBF6_ASPNC, tr|A2QC53|A2QC53_ASPNC, tr|A2QDL7|A2QDL7_ASPNC, tr|A2QDQ7|A2QDQ7_ASPNC, tr|A2QDT0|A2QDT0_ASPNC, tr|A2QEF1|A2QEF1_ASPNC, tr|A2QH96|A2QH96_ASPNC, tr|A2QKZ7|A2QKZ7_ASPNC, tr|A2QL67|A2QL67_ASPNC, tr|A2QLC8|A2QLC8_ASPNC, tr|A2QLG0|A2QLG0_ASPNC, tr|A2QQ51|A2QQ51_ASPNC, tr|A2QQB5|A2QQB5_ASPNC, tr|A2QT86|A2QT86_ASPNC, tr|A2QTX5|A2QTX5_ASPNC, tr|A2QW63|A2QW63_ASPNC, tr|A2QYB7|A2QYB7_ASPNC, tr|A2QZQ9|A2QZQ9_ASPNC, tr|A2R079|A2R079_ASPNC, tr|A2R1H9|A2R1H9_ASPNC, tr|A2R1J2|A2R1J2_ASPNC, tr|A2R1R3|A2R1R3_ASPNC, tr|A2R275|A2R275_ASPNC, tr|A2R298|A2R298_ASPNC, tr|A2R497|A2R497_ASPNC, tr|A2R5P8|A2R5P8_ASPNC, tr|A2R8G0|A2R8G0_ASPNC, tr|A5AB86|A5AB86_ASPNC	tr|A0A2L2SMZ4|A0A2L2SMZ4_9HYPO, tr|A0A2L2SSF4|A0A2L2SSF4_9HYPO, tr|A0A2L2SXZ9|A0A2L2SXZ9_9HYPO, tr|A0A2L2T098|A0A2L2T098_9HYPO, tr|A0A2L2T199|A0A2L2T199_9HYPO, tr|A0A2L2T1H8|A0A2L2T1H8_9HYPO, tr|A0A2L2T5H4|A0A2L2T5H4_9HYPO, tr|A0A2L2T954|A0A2L2T954_9HYPO, tr|A0A2L2T9A5|A0A2L2T9A5_9HYPO, tr|A0A2L2T9H2|A0A2L2T9H2_9HYPO, tr|A0A2L2T9J0|A0A2L2T9J0_9HYPO, tr|A0A2L2T9J5|A0A2L2T9J5_9HYPO, tr|A0A2L2T9K0|A0A2L2T9K0_9HYPO, tr|A0A2L2T9K5|A0A2L2T9K5_9HYPO, tr|A0A2L2TB02|A0A2L2TB02_9HYPO, tr|A0A2L2TB54|A0A2L2TB54_9HYPO, tr|A0A2L2TB74|A0A2L2TB74_9HYPO, tr|A0A2L2TBU0|A0A2L2TBU0_9HYPO, tr|A0A2L2TCM6|A0A2L2TCM6_9HYPO, tr|A0A2L2TCY9|A0A2L2TCY9_9HYPO, tr|A0A2L2TDI1|A0A2L2TDI1_9HYPO, tr|A0A2L2TEX6|A0A2L2TEX6_9HYPO, tr|A0A2L2TFF1|A0A2L2TFF1_9HYPO, tr|A0A2L2THA3|A0A2L2THA3_9HYPO, tr|A0A2L2THJ1|A0A2L2THJ1_9HYPO, tr|A0A2L2THR1|A0A2L2THR1_9HYPO, tr|A0A2L2TJQ6|A0A2L2TJQ6_9HYPO, tr|A0A2L2TKP5|A0A2L2TKP5_9HYPO, tr|A0A2L2TLN9|A0A2L2TLN9_9HYPO, tr|A0A2L2TP07|A0A2L2TP07_9HYPO, tr|A0A2L2TQ11|A0A2L2TQ11_9HYPO, tr|A0A2L2TS54|A0A2L2TS54_9HYPO, tr|A0A2L2TSA3|A0A2L2TSA3_9HYPO, tr|A0A2L2TSV6|A0A2L2TSV6_9HYPO, tr|A0A2L2TUM4|A0A2L2TUM4_9HYPO, tr|A0A2L2TVP0|A0A2L2TVP0_9HYPO, tr|A0A2L2TYB5|A0A2L2TYB5_9HYPO, tr|A0A2L2U3H4|A0A2L2U3H4_9HYPO, tr|A0A2L2U594|A0A2L2U594_9HYPO	
OG0000001	P25594, P33335, P36172, P50080	tr|A2Q7M7|A2Q7M7_ASPNC, tr|A2Q7S9|A2Q7S9_ASPNC, tr|A2QAF2|A2QAF2_ASPNC, tr|A2QBE9|A2QBE9_ASPNC, tr|A2QDU4|A2QDU4_ASPNC, tr|A2QET9|A2QET9_ASPNC, tr|A2QF13|A2QF13_ASPNC, tr|A2QG42|A2QG42_ASPNC, tr|A2QIJ7|A2QIJ7_ASPNC, tr|A2QJ92|A2QJ92_ASPNC, tr|A2QLD2|A2QLD2_ASPNC, tr|A2QLX6|A2QLX6_ASPNC, tr|A2QM88|A2QM88_ASPNC, tr|A2QQT5|A2QQT5_ASPNC, tr|A2QT27|A2QT27_ASPNC, tr|A2QT55|A2QT55_ASPNC, tr|A2QWT8|A2QWT8_ASPNC, tr|A2QXE3|A2QXE3_ASPNC, tr|A2QYX6|A2QYX6_ASPNC, tr|A2QZL8|A2QZL8_ASPNC, tr|A2R0H4|A2R0H4_ASPNC, tr|A2R6H7|A2R6H7_ASPNC, tr|A2R6N7|A2R6N7_ASPNC, tr|A2R6Y0|A2R6Y0_ASPNC, tr|A2R8R4|A2R8R4_ASPNC, tr|A2R949|A2R949_ASPNC, tr|A2RAC2|A2RAC2_ASPNC	tr|A0A2L2SR03|A0A2L2SR03_9HYPO, tr|A0A2L2SWW1|A0A2L2SWW1_9HYPO, tr|A0A2L2SZ02|A0A2L2SZ02_9HYPO, tr|A0A2L2SZW2|A0A2L2SZW2_9HYPO, tr|A0A2L2T3I6|A0A2L2T3I6_9HYPO, tr|A0A2L2T492|A0A2L2T492_9HYPO, tr|A0A2L2T539|A0A2L2T539_9HYPO, tr|A0A2L2T5E7|A0A2L2T5E7_9HYPO, tr|A0A2L2T6A7|A0A2L2T6A7_9HYPO, tr|A0A2L2TBT8|A0A2L2TBT8_9HYPO, tr|A0A2L2THD1|A0A2L2THD1_9HYPO, tr|A0A2L2TIF7|A0A2L2TIF7_9HYPO, tr|A0A2L2TKG2|A0A2L2TKG2_9HYPO, tr|A0A2L2TKV3|A0A2L2TKV3_9HYPO, tr|A0A2L2TL14|A0A2L2TL14_9HYPO, tr|A0A2L2TPF8|A0A2L2TPF8_9HYPO, tr|A0A2L2TUA4|A0A2L2TUA4_9HYPO, tr|A0A2L2U0M3|A0A2L2U0M3_9HYPO	sp|O42922|YBIH_SCHPO, sp|Q10072|YAN6_SCHPO, sp|Q9HE13|YI32_SCHPO
OG0000002	P53322	tr|A2Q927|A2Q927_ASPNC, tr|A2Q9E3|A2Q9E3_ASPNC, tr|A2QH79|A2QH79_ASPNC, tr|A2QRV9|A2QRV9_ASPNC, tr|A2QVK2|A2QVK2_ASPNC, tr|A2QW53|A2QW53_ASPNC, tr|A2R0E4|A2R0E4_ASPNC, tr|A2R0X7|A2R0X7_ASPNC, tr|A2R227|A2R227_ASPNC, tr|A2R6S1|A2R6S1_ASPNC, tr|A2R6V4|A2R6V4_ASPNC, tr|E2PSX3|E2PSX3_ASPNC	tr|A0A2L2SV69|A0A2L2SV69_9HYPO, tr|A0A2L2SX94|A0A2L2SX94_9HYPO, tr|A0A2L2SXN6|A0A2L2SXN6_9HYPO, tr|A0A2L2SY09|A0A2L2SY09_9HYPO, tr|A0A2L2SZP0|A0A2L2SZP0_9HYPO, tr|A0A2L2T149|A0A2L2T149_9HYPO, tr|A0A2L2T3L9|A0A2L2T3L9_9HYPO, tr|A0A2L2T4E3|A0A2L2T4E3_9HYPO, tr|A0A2L2T8P7|A0A2L2T8P7_9HYPO, tr|A0A2L2TEH2|A0A2L2TEH2_9HYPO, tr|A0A2L2TF04|A0A2L2TF04_9HYPO, tr|A0A2L2TFT0|A0A2L2TFT0_9HYPO, tr|A0A2L2TKD7|A0A2L2TKD7_9HYPO, tr|A0A2L2TQN5|A0A2L2TQN5_9HYPO, tr|A0A2L2TRA6|A0A2L2TRA6_9HYPO, tr|A0A2L2TRB4|A0A2L2TRB4_9HYPO, tr|A0A2L2TUR6|A0A2L2TUR6_9HYPO, tr|A0A2L2TV94|A0A2L2TV94_9HYPO, tr|A0A2L2TWZ0|A0A2L2TWZ0_9HYPO, tr|A0A2L2TZ68|A0A2L2TZ68_9HYPO, tr|A0A2L2U4L4|A0A2L2U4L4_9HYPO	sp|Q10097|YAOI_SCHPO, sp|Q9P6J0|YHDC_SCHPO, sp|Q9US44|YIZG_SCHPO
OG0000003	P40969	sp|A2QX26|ADAR_ASPNC, tr|A2Q7D4|A2Q7D4_ASPNC, tr|A2QMD2|A2QMD2_ASPNC, tr|A2QT54|A2QT54_ASPNC, tr|A2QV50|A2QV50_ASPNC, tr|A2QVU3|A2QVU3_ASPNC, tr|A2QYZ8|A2QYZ8_ASPNC, tr|A2R119|A2R119_ASPNC, tr|A2R1C4|A2R1C4_ASPNC, tr|A2R6P6|A2R6P6_ASPNC, tr|A2R8D8|A2R8D8_ASPNC, tr|A2RAP9|A2RAP9_ASPNC, tr|A5AB69|A5AB69_ASPNC	tr|A0A2L2SSR2|A0A2L2SSR2_9HYPO, tr|A0A2L2SU24|A0A2L2SU24_9HYPO, tr|A0A2L2SYM2|A0A2L2SYM2_9HYPO, tr|A0A2L2T1H0|A0A2L2T1H0_9HYPO, tr|A0A2L2T575|A0A2L2T575_9HYPO, tr|A0A2L2T5Y6|A0A2L2T5Y6_9HYPO, tr|A0A2L2T9E9|A0A2L2T9E9_9HYPO, tr|A0A2L2TA56|A0A2L2TA56_9HYPO, tr|A0A2L2TBG3|A0A2L2TBG3_9HYPO, tr|A0A2L2TCX1|A0A2L2TCX1_9HYPO, tr|A0A2L2TD92|A0A2L2TD92_9HYPO, tr|A0A2L2TFK6|A0A2L2TFK6_9HYPO, tr|A0A2L2THI7|A0A2L2THI7_9HYPO, tr|A0A2L2TKQ6|A0A2L2TKQ6_9HYPO, tr|A0A2L2TMJ5|A0A2L2TMJ5_9HYPO, tr|A0A2L2TPF0|A0A2L2TPF0_9HYPO, tr|A0A2L2TRL7|A0A2L2TRL7_9HYPO, tr|A0A2L2TS42|A0A2L2TS42_9HYPO	sp|Q9UTN0|YII3_SCHPO
OG0000004	A0A0B7P3V8, O13527, O13535, P0C2I2, P0C2I3, P0C2I5, P0C2I6, P0C2I9, P0C2J0, P0C2J1, P0C2J7, P47023, P47024, P47098, P47100, Q03434, Q03612, Q03619, Q03855, Q04670, Q04711, Q12088, Q12141, Q12193, Q12269, Q12273, Q12316, Q12414, Q6Q5P6, Q92393, Q99231		tr|A0A2L2TD26|A0A2L2TD26_9HYPO	
OG0000005	P40100, P53047	tr|A2Q7H2|A2Q7H2_ASPNC, tr|A2QC54|A2QC54_ASPNC, tr|A2QDL8|A2QDL8_ASPNC, tr|A2QDQ9|A2QDQ9_ASPNC, tr|A2QH97|A2QH97_ASPNC, tr|A2QLF6|A2QLF6_ASPNC, tr|A2QM55|A2QM55_ASPNC, tr|A2QM64|A2QM64_ASPNC, tr|A2QTU2|A2QTU2_ASPNC, tr|A2QTU3|A2QTU3_ASPNC, tr|A2R498|A2R498_ASPNC, tr|A2R6P0|A2R6P0_ASPNC, tr|A2R8D6|A2R8D6_ASPNC	tr|A0A2L2STU0|A0A2L2STU0_9HYPO, tr|A0A2L2T3L4|A0A2L2T3L4_9HYPO, tr|A0A2L2TCY7|A0A2L2TCY7_9HYPO, tr|A0A2L2THW6|A0A2L2THW6_9HYPO, tr|A0A2L2THZ8|A0A2L2THZ8_9HYPO, tr|A0A2L2TIL2|A0A2L2TIL2_9HYPO, tr|A0A2L2TL01|A0A2L2TL01_9HYPO, tr|A0A2L2TRJ9|A0A2L2TRJ9_9HYPO, tr|A0A2L2TRP2|A0A2L2TRP2_9HYPO, tr|A0A2L2TRU7|A0A2L2TRU7_9HYPO, tr|A0A2L2TUI5|A0A2L2TUI5_9HYPO, tr|A0A2L2TWP3|A0A2L2TWP3_9HYPO, tr|A0A2L2TYE3|A0A2L2TYE3_9HYPO, tr|A0A2L2TZH3|A0A2L2TZH3_9HYPO, tr|A0A2L2U0Z4|A0A2L2U0Z4_9HYPO, tr|A0A2L2U115|A0A2L2U115_9HYPO	
OG0000006		tr|A2QLJ1|A2QLJ1_ASPNC, tr|A2R5M4|A2R5M4_ASPNC, tr|A2R5N2|A2R5N2_ASPNC, tr|A2R7F2|A2R7F2_ASPNC	tr|A0A2L2SML7|A0A2L2SML7_9HYPO, tr|A0A2L2SPA0|A0A2L2SPA0_9HYPO, tr|A0A2L2SPV0|A0A2L2SPV0_9HYPO, tr|A0A2L2SS75|A0A2L2SS75_9HYPO, tr|A0A2L2SU29|A0A2L2SU29_9HYPO, tr|A0A2L2SVK4|A0A2L2SVK4_9HYPO, tr|A0A2L2SVX5|A0A2L2SVX5_9HYPO, tr|A0A2L2SWJ8|A0A2L2SWJ8_9HYPO, tr|A0A2L2SXH0|A0A2L2SXH0_9HYPO, tr|A0A2L2SZ36|A0A2L2SZ36_9HYPO, tr|A0A2L2T4T5|A0A2L2T4T5_9HYPO, tr|A0A2L2T5C6|A0A2L2T5C6_9HYPO, tr|A0A2L2T5H3|A0A2L2T5H3_9HYPO, tr|A0A2L2TA92|A0A2L2TA92_9HYPO, tr|A0A2L2TB80|A0A2L2TB80_9HYPO, tr|A0A2L2TCX4|A0A2L2TCX4_9HYPO, tr|A0A2L2TED3|A0A2L2TED3_9HYPO, tr|A0A2L2TJE4|A0A2L2TJE4_9HYPO, tr|A0A2L2TLM0|A0A2L2TLM0_9HYPO, tr|A0A2L2TMZ1|A0A2L2TMZ1_9HYPO, tr|A0A2L2TQK5|A0A2L2TQK5_9HYPO, tr|A0A2L2TQM4|A0A2L2TQM4_9HYPO, tr|A0A2L2TR35|A0A2L2TR35_9HYPO, tr|A0A2L2TWJ3|A0A2L2TWJ3_9HYPO, tr|A0A2L2TYB4|A0A2L2TYB4_9HYPO	
OG0000007		tr|A2QF49|A2QF49_ASPNC, tr|A2QMD3|A2QMD3_ASPNC, tr|A2QQL2|A2QQL2_ASPNC, tr|A2QT22|A2QT22_ASPNC, tr|A2QU20|A2QU20_ASPNC, tr|A2QUA8|A2QUA8_ASPNC, tr|A2QYS8|A2QYS8_ASPNC, tr|A2QYT2|A2QYT2_ASPNC, tr|A2R1C0|A2R1C0_ASPNC, tr|A2R2Y7|A2R2Y7_ASPNC, tr|A2R4L3|A2R4L3_ASPNC, tr|A2R5X0|A2R5X0_ASPNC, tr|A2R6A7|A2R6A7_ASPNC, tr|A2R6B7|A2R6B7_ASPNC, tr|A2R6B9|A2R6B9_ASPNC, tr|A2R8P5|A2R8P5_ASPNC	tr|A0A2L2SU78|A0A2L2SU78_9HYPO, tr|A0A2L2SWD6|A0A2L2SWD6_9HYPO, tr|A0A2L2T583|A0A2L2T583_9HYPO, tr|A0A2L2TBZ3|A0A2L2TBZ3_9HYPO, tr|A0A2L2TDZ9|A0A2L2TDZ9_9HYPO, tr|A0A2L2TGG7|A0A2L2TGG7_9HYPO, tr|A0A2L2TIY9|A0A2L2TIY9_9HYPO, tr|A0A2L2TLJ1|A0A2L2TLJ1_9HYPO, tr|A0A2L2TM51|A0A2L2TM51_9HYPO, tr|A0A2L2TYW7|A0A2L2TYW7_9HYPO	sp|O74308|YOG2_SCHPO, sp|Q9UT46|MOC3_SCHPO
OG0000008	P19807	tr|A2Q863|A2Q863_ASPNC, tr|A2QBJ2|A2QBJ2_ASPNC, tr|A2QDU5|A2QDU5_ASPNC, tr|A2QE63|A2QE63_ASPNC, tr|A2QFP1|A2QFP1_ASPNC, tr|A2QFR1|A2QFR1_ASPNC, tr|A2QGZ8|A2QGZ8_ASPNC, tr|A2QJG2|A2QJG2_ASPNC, tr|A2QUB1|A2QUB1_ASPNC, tr|A2R0W1|A2R0W1_ASPNC, tr|A2R4X1|A2R4X1_ASPNC, tr|A2R6U1|A2R6U1_ASPNC, tr|A2R713|A2R713_ASPNC, tr|A2R873|A2R873_ASPNC, tr|A2R8P6|A2R8P6_ASPNC	tr|A0A2L2SPT0|A0A2L2SPT0_9HYPO, tr|A0A2L2SSZ4|A0A2L2SSZ4_9HYPO, tr|A0A2L2SVF1|A0A2L2SVF1_9HYPO, tr|A0A2L2SZU6|A0A2L2SZU6_9HYPO, tr|A0A2L2T0B1|A0A2L2T0B1_9HYPO, tr|A0A2L2T3M3|A0A2L2T3M3_9HYPO, tr|A0A2L2T892|A0A2L2T892_9HYPO, tr|A0A2L2TB62|A0A2L2TB62_9HYPO, tr|A0A2L2TJP7|A0A2L2TJP7_9HYPO, tr|A0A2L2TQZ6|A0A2L2TQZ6_9HYPO, tr|A0A2L2TZ97|A0A2L2TZ97_9HYPO	
OG0000009	P15365	tr|A2QAI1|A2QAI1_ASPNC, tr|A2QFM4|A2QFM4_ASPNC, tr|A2QIA5|A2QIA5_ASPNC, tr|A2QMV7|A2QMV7_ASPNC, tr|A2QQ53|A2QQ53_ASPNC, tr|A2QXG5|A2QXG5_ASPNC, tr|A2QYP3|A2QYP3_ASPNC, tr|A2QZ41|A2QZ41_ASPNC, tr|A2R1Q8|A2R1Q8_ASPNC, tr|A2R3A0|A2R3A0_ASPNC, tr|A2R4W0|A2R4W0_ASPNC, tr|A2RBK3|A2RBK3_ASPNC	tr|A0A2L2SX55|A0A2L2SX55_9HYPO, tr|A0A2L2SYS9|A0A2L2SYS9_9HYPO, tr|A0A2L2T048|A0A2L2T048_9HYPO, tr|A0A2L2T4C4|A0A2L2T4C4_9HYPO, tr|A0A2L2T869|A0A2L2T869_9HYPO, tr|A0A2L2THD3|A0A2L2THD3_9HYPO, tr|A0A2L2TLT1|A0A2L2TLT1_9HYPO, tr|A0A2L2TQI3|A0A2L2TQI3_9HYPO, tr|A0A2L2TRS6|A0A2L2TRS6_9HYPO, tr|A0A2L2TUP8|A0A2L2TUP8_9HYPO	sp|B5BP49|YP55_SCHPO, sp|O74923|YJ7D_SCHPO, sp|O94491|YC7A_SCHPO, sp|O94572|YGDF_SCHPO
