Orthogroup	A_s288c	A.niger	F.veneatum	S.pombe	Total
OG0000000	3	31	39	0	73
OG0000001	4	27	18	3	52
OG0000002	1	12	21	3	37
OG0000003	1	13	18	1	33
OG0000004	31	0	1	0	32
OG0000005	2	13	16	0	31
OG0000006	0	4	25	0	29
OG0000007	0	16	10	2	28
OG0000008	1	15	11	0	27
OG0000009	1	12	10	4	27
OG0000010	3	16	6	1	26
OG0000011	1	12	10	2	25
OG0000012	0	1	23	0	24
OG0000013	0	9	14	0	23
OG0000014	1	10	11	1	23
OG0000015	5	8	8	1	22
OG0000016	0	10	11	0	21
OG0000017	0	7	13	0	20
OG0000018	0	6	14	0	20
OG0000019	1	7	10	1	19
OG0000020	1	9	8	1	19
OG0000021	2	1	10	6	19
OG0000022	1	5	12	1	19
OG0000023	12	3	3	0	18
OG0000024	0	3	12	3	18
OG0000025	5	4	7	2	18
OG0000026	0	6	10	2	18
OG0000027	4	1	13	0	18
OG0000028	2	9	4	2	17
OG0000029	1	9	5	2	17
OG0000030	2	6	5	4	17
OG0000031	3	8	5	1	17
OG0000032	3	5	5	4	17
OG0000033	0	3	14	0	17
OG0000034	1	14	1	0	16
OG0000035	1	9	5	1	16
OG0000036	6	5	5	0	16
OG0000037	2	7	4	3	16
OG0000038	2	4	10	0	16
OG0000039	4	1	0	11	16
OG0000040	7	2	5	1	15
OG0000041	1	5	8	1	15
OG0000042	3	7	3	1	14
OG0000043	0	12	2	0	14
OG0000044	1	9	2	2	14
OG0000045	0	10	4	0	14
OG0000046	1	6	7	0	14
OG0000047	1	12	1	0	14
OG0000048	0	3	10	0	13
OG0000049	0	5	6	2	13
OG0000050	5	3	2	3	13
OG0000051	2	4	5	2	13
OG0000052	4	2	5	2	13
OG0000053	0	4	9	0	13
OG0000054	1	3	9	0	13
OG0000055	1	4	4	4	13
OG0000056	0	6	4	3	13
OG0000057	1	6	6	0	13
OG0000058	4	4	4	1	13
OG0000059	2	4	5	2	13
OG0000060	0	8	4	0	12
OG0000061	0	5	6	1	12
OG0000062	0	10	2	0	12
OG0000063	1	6	5	0	12
OG0000064	0	4	7	1	12
OG0000065	1	7	3	1	12
OG0000066	0	7	5	0	12
OG0000067	1	6	5	0	12
OG0000068	1	7	3	1	12
OG0000069	1	4	5	2	12
OG0000070	1	5	1	5	12
OG0000071	3	3	3	3	12
OG0000072	0	3	6	3	12
OG0000073	3	5	2	1	11
OG0000074	1	4	5	1	11
OG0000075	0	7	4	0	11
OG0000076	1	5	5	0	11
OG0000077	0	8	2	1	11
OG0000078	0	5	5	1	11
OG0000079	0	1	10	0	11
OG0000080	1	7	2	1	11
OG0000081	3	3	4	1	11
OG0000082	4	1	2	4	11
OG0000083	0	8	3	0	11
OG0000084	2	5	4	0	11
OG0000085	1	4	6	0	11
OG0000086	0	3	8	0	11
OG0000087	0	3	8	0	11
OG0000088	1	4	6	0	11
OG0000089	2	4	3	2	11
OG0000090	4	4	2	1	11
OG0000091	4	2	5	0	11
OG0000092	0	5	5	1	11
OG0000093	1	3	6	1	11
OG0000094	2	6	3	0	11
OG0000095	2	1	6	2	11
OG0000096	0	8	2	0	10
OG0000097	0	4	5	1	10
OG0000098	0	6	1	3	10
OG0000099	0	6	4	0	10
OG0000100	0	6	1	3	10
OG0000101	1	4	5	0	10
OG0000102	3	3	2	2	10
OG0000103	0	6	4	0	10
OG0000104	0	3	4	3	10
OG0000105	0	4	6	0	10
OG0000106	1	4	2	3	10
OG0000107	0	3	7	0	10
OG0000108	3	2	4	1	10
OG0000109	1	3	5	1	10
OG0000110	2	3	3	2	10
OG0000111	2	3	2	3	10
OG0000112	2	4	3	1	10
OG0000113	1	3	5	1	10
OG0000114	1	5	3	1	10
OG0000115	0	7	3	0	10
OG0000116	2	4	3	1	10
OG0000117	2	3	3	2	10
OG0000118	0	2	8	0	10
OG0000119	3	2	4	1	10
OG0000120	1	2	7	0	10
OG0000121	0	3	7	0	10
OG0000122	4	1	3	2	10
OG0000123	0	2	7	1	10
OG0000124	4	1	1	4	10
OG0000125	3	2	2	3	10
OG0000126	3	2	3	2	10
OG0000127	0	3	6	0	9
OG0000128	0	3	5	1	9
OG0000129	1	6	2	0	9
OG0000130	3	2	4	0	9
OG0000131	0	4	5	0	9
