	Stan	Stan	Stan	Temp	Temp	Temp	pH	pH	pH	KCL	KCL	KCL
aKG	9.33	9.91	10.58	8.30	7.69	6.94	10.04	8.09	10.78	12.30	14.15	13.84
GAP	0.05	0.07	0.08	0.05	0.06	0.07	0.09	0.06	0.11	0.09	0.05	0.05
Glc	81.25	84.86	92.64	125.73	119.65	134.75	142.09	118.28	128.98	48.50	43.09	57.72
Cit	4.65	4.25	7.28	8.57	9.51	10.80	7.47	7.32	16.54	14.38	12.96	15.14
iCit	0.42	0.38	0.63	0.46	0.49	0.57	0.73	0.66	1.37	1.44	1.38	1.48
2PG	1.10	1.19	1.79	1.55	1.68	2.08	2.08	1.97	4.15	2.80	2.59	2.69
DHAP	1.61	1.50	1.81	1.71	1.76	1.85	2.36	2.38	3.45	1.48	1.55	1.44
3PG	7.11	8.37	13.26	11.12	12.22	15.48	15.89	14.86	34.15	26.77	23.56	25.62
E4P	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rib5P	1.02	1.01	1.40	0.93	1.04	1.28	1.15	0.90	1.69	1.44	1.31	1.23
Ribu5P	1.05	0.90	1.13	0.83	0.97	0.83	1.11	0.92	1.66	0.89	0.78	0.84
Xyl5P	2.20	2.24	2.59	1.98	1.98	2.23	2.36	2.11	3.46	1.97	1.80	1.83
F6P	7.98	4.35	11.25	4.45	4.38	6.06	7.63	8.58	13.97	4.23	4.40	4.41
G6P	21.05	20.14	30.19	15.71	16.84	20.82	31.62	30.67	56.02	20.20	18.90	19.72
S7P	8.84	9.43	12.34	5.54	6.13	7.39	8.76	8.51	14.99	9.39	7.46	8.42
Tre	1607.30	1536.08	2023.32	1930.05	2005.64	2284.74	1574.38	1564.75	1990.58	564.31	571.91	424.91
PEP	3.49	3.94	5.60	4.55	5.20	5.72	5.86	5.78	11.52	8.54	8.09	8.37
Succinate	2.92	2.72	3.90	1.73	1.93	1.56	2.79	1.48	3.14	3.18	2.17	2.16
G1P	0.68	0.45	0.82	0.59	1.11	1.08	0.92	0.90	1.49	0.76	0.61	0.61
6PG	0.75	0.62	1.21	1.06	0.84	1.17	0.97	0.67	1.54	1.33	1.34	1.52
M6P	3.12	2.84	4.54	2.29	2.54	3.05	4.63	4.38	8.28	3.52	2.99	2.84
T6P	0.80	0.56	1.32	1.04	0.94	1.12	0.96	1.16	2.11	0.31	0.27	0.22
G3P	0.52	0.37	0.49	0.44	0.51	0.46	0.54	0.46	0.75	4.27	3.91	4.30
UDP-Glc 	6.89	6.88	10.87	4.90	6.32	7.31	8.62	6.78	12.58	5.54	5.25	5.25
AMP	0.87	0.73	1.13	0.40	0.73	0.60	1.10	0.93	1.33	0.63	1.13	1.90
ADP	0.93	0.93	1.93	1.63	1.63	1.90	1.63	1.27	3.90	4.60	3.67	4.30
ATP	1.47	1.07	3.63	3.27	3.30	3.67	3.03	2.00	5.73	8.10	7.40	7.70
UTP	0.37	0.30	0.70	0.50	0.40	0.47	0.47	0.40	1.30	1.95	0.55	1.93
NAD	0.51	0.50	0.73	0.47	0.49	0.62	0.59	0.48	0.97	1.21	0.88	1.72
NADP	0.09	0.10	0.21	0.13	0.12	0.15	0.15	0.10	0.22	0.84	0.91	0.62
NADPH	0.63	0.72	0.78	0.75	0.76	0.86	0.83	0.79	2.56	0.94	0.85	1.32
CoA	0.26	0.26	0.27	0.28	0.26	0.27	0.26	0.26	0.29	0.27	0.27	0.26
