Orthogroup	DMKU3-1042	W29	s288c
OG0004465	tr|W0TB45|W0TB45_KLUMD		
OG0004466	tr|W0TCP3|W0TCP3_KLUMD		
OG0004467	tr|W0T6S0|W0T6S0_KLUMD		
OG0004468	tr|W0THN5|W0THN5_KLUMD		
OG0004469	tr|W0T8P7|W0T8P7_KLUMD		
OG0004470	tr|W0T954|W0T954_KLUMD		
OG0004471	tr|W0T7D3|W0T7D3_KLUMD		
OG0004472	tr|W0TAL1|W0TAL1_KLUMD		
OG0004473	sp|W0T661|ATG16_KLUMD		
OG0004474	sp|W0TH64|ATG10_KLUMD		
OG0004475	sp|W0T3G1|ATG31_KLUMD		
OG0004476	tr|W0T6A7|W0T6A7_KLUMD		
OG0004477	tr|W0TDM7|W0TDM7_KLUMD		
OG0004478	tr|W0T5W6|W0T5W6_KLUMD		
OG0004479	tr|W0TEL9|W0TEL9_KLUMD		
OG0004480	tr|W0T5M5|W0T5M5_KLUMD		
OG0004481	tr|W0T585|W0T585_KLUMD		
OG0004482	tr|W0TBJ8|W0TBJ8_KLUMD		
OG0004483	tr|W0T9E7|W0T9E7_KLUMD		
OG0004484	tr|W0T9G3|W0T9G3_KLUMD		
OG0004485	tr|W0T6V0|W0T6V0_KLUMD		
OG0004486	tr|W0TB12|W0TB12_KLUMD		
OG0004487	tr|W0TEW9|W0TEW9_KLUMD		
OG0004488	tr|W0T4E7|W0T4E7_KLUMD		
OG0004489	tr|W0TFQ3|W0TFQ3_KLUMD		
OG0004490	tr|W0T9V8|W0T9V8_KLUMD		
OG0004491	tr|W0TBA8|W0TBA8_KLUMD		
OG0004492	tr|W0T8C1|W0T8C1_KLUMD		
OG0004493	tr|W0T9N3|W0T9N3_KLUMD		
OG0004494	tr|W0T8W4|W0T8W4_KLUMD		
OG0004495	tr|W0T9W0|W0T9W0_KLUMD		
OG0004496	tr|W0T487|W0T487_KLUMD		
OG0004497	tr|W0T8P6|W0T8P6_KLUMD		
OG0004498	tr|W0TDR6|W0TDR6_KLUMD		
OG0004499	tr|W0TBK4|W0TBK4_KLUMD		
OG0004500	tr|W0T8H9|W0T8H9_KLUMD		
OG0004501	tr|W0T4I3|W0T4I3_KLUMD		
OG0004502	tr|W0THG2|W0THG2_KLUMD		
OG0004503	tr|W0T618|W0T618_KLUMD		
OG0004504	tr|W0T7I3|W0T7I3_KLUMD		
OG0004505	tr|W0TAD3|W0TAD3_KLUMD		
OG0004506	tr|W0TAB1|W0TAB1_KLUMD		
OG0004507	tr|W0T2K7|W0T2K7_KLUMD		
OG0004508	tr|W0TDT4|W0TDT4_KLUMD		
OG0004509	tr|W0TB34|W0TB34_KLUMD		
OG0004510	tr|W0TFH2|W0TFH2_KLUMD		
OG0004511	tr|W0T6N8|W0T6N8_KLUMD		
OG0004512	tr|W0T862|W0T862_KLUMD		
OG0004513	tr|W0TFU3|W0TFU3_KLUMD		
OG0004514	tr|W0TK46|W0TK46_KLUMD		
OG0004515	tr|W0TEY1|W0TEY1_KLUMD		
OG0004516	tr|W0T5Y5|W0T5Y5_KLUMD		
OG0004517	tr|W0TCM5|W0TCM5_KLUMD		
OG0004518	tr|W0TGR3|W0TGR3_KLUMD		
OG0004519	tr|W0TBE1|W0TBE1_KLUMD		
OG0004520	tr|W0T9R6|W0T9R6_KLUMD		
OG0004521	tr|W0T6T5|W0T6T5_KLUMD		
OG0004522	tr|W0TE15|W0TE15_KLUMD		
OG0004523	tr|W0T4U1|W0T4U1_KLUMD		
OG0004524	tr|W0T9P3|W0T9P3_KLUMD		
OG0004525	tr|W0T9E6|W0T9E6_KLUMD		
OG0004526	tr|W0TKA8|W0TKA8_KLUMD		
OG0004527	tr|W0T8E6|W0T8E6_KLUMD		
OG0004528	tr|W0T7Z8|W0T7Z8_KLUMD		
OG0004529	tr|W0T6A2|W0T6A2_KLUMD		
OG0004530	tr|W0TGD9|W0TGD9_KLUMD		
OG0004531	tr|W0TC93|W0TC93_KLUMD		
OG0004532	tr|W0T8B1|W0T8B1_KLUMD		
OG0004533	tr|W0T9S9|W0T9S9_KLUMD		
OG0004534	tr|W0T690|W0T690_KLUMD		
OG0004535	tr|A0A1L7LME2|A0A1L7LME2_KLUMD		
OG0004536	tr|W0T8C5|W0T8C5_KLUMD		
OG0004537	tr|W0TEB3|W0TEB3_KLUMD		
OG0004538	tr|W0T7B6|W0T7B6_KLUMD		
OG0004539	tr|W0TC63|W0TC63_KLUMD		
OG0004540	tr|W0TFF2|W0TFF2_KLUMD		
OG0004541	tr|W0TFV9|W0TFV9_KLUMD		
OG0004542	tr|W0TGC7|W0TGC7_KLUMD		
OG0004543	tr|W0TBB4|W0TBB4_KLUMD		
OG0004544	tr|W0TAK6|W0TAK6_KLUMD		
OG0004545	tr|W0TJP5|W0TJP5_KLUMD		
OG0004546	tr|W0T6E9|W0T6E9_KLUMD		
OG0004547	tr|W0T8Y7|W0T8Y7_KLUMD		
OG0004548	tr|W0T5R9|W0T5R9_KLUMD		
OG0004549	tr|W0T9T2|W0T9T2_KLUMD		
OG0004550	tr|W0TA10|W0TA10_KLUMD		
OG0004551	tr|W0T6A5|W0T6A5_KLUMD		
OG0004552	tr|W0TFR2|W0TFR2_KLUMD		
OG0004553	tr|W0TDT3|W0TDT3_KLUMD		
OG0004554	tr|W0TCU5|W0TCU5_KLUMD		
OG0004555	tr|W0TBT6|W0TBT6_KLUMD		
OG0004556	tr|W0TCS0|W0TCS0_KLUMD		
OG0004557	tr|W0T7N9|W0T7N9_KLUMD		
OG0004558	tr|W0TAG5|W0TAG5_KLUMD		
OG0004559	tr|W0T7N6|W0T7N6_KLUMD		
OG0004560	tr|W0TAG2|W0TAG2_KLUMD		
OG0004561	tr|W0T6D0|W0T6D0_KLUMD		
OG0004562	tr|W0TB77|W0TB77_KLUMD		
OG0004563	tr|W0T6N7|W0T6N7_KLUMD		
OG0004564	tr|W0T777|W0T777_KLUMD		
OG0004565	tr|W0TFE2|W0TFE2_KLUMD		
OG0004566	tr|W0T398|W0T398_KLUMD		
OG0004567	tr|W0T713|W0T713_KLUMD		
OG0004568	tr|W0THR9|W0THR9_KLUMD		
OG0004569	tr|W0T4S9|W0T4S9_KLUMD		
OG0004570	tr|W0TD77|W0TD77_KLUMD		
OG0004571	tr|W0TBB6|W0TBB6_KLUMD		
OG0004572	tr|W0TH27|W0TH27_KLUMD		
OG0004573	tr|W0T7R0|W0T7R0_KLUMD		
OG0004574	tr|W0T4B8|W0T4B8_KLUMD		
OG0004575	tr|W0TH79|W0TH79_KLUMD		
OG0004576	tr|W0T4G9|W0T4G9_KLUMD		
OG0004577	tr|W0T6M6|W0T6M6_KLUMD		
OG0004578	tr|W0TB61|W0TB61_KLUMD		
OG0004579	tr|W0TAT9|W0TAT9_KLUMD		
