genes,HiT,LpH,Osm
KMXK0C03420,-1.58458556626766,-1.86020189432247,-3.09683467203815
KMXK0B01120,-3.10422688173301,-1.07750592276167,-1.70647085860071
KMXK0H02920,-1.0389748181424,-2.11186315122929,-2.245809703283
KMXK0A02950,-1.84856372607546,-0.75241710885634,-2.20233543225717
KMXK0B01990,-1.00100318233862,-1.32204462302348,-2.78415788685559
KMXK0G00390,-1.19597566673171,-0.918659951149324,-0.901104461964086
KMXK0B04680,-1.36423455739919,-0.624585164423769,-0.867456074946872
KMXK0C03250,-1.5327730609907,-1.3472560224362,-0.895317866356631
KMXK0F05320,-0.546858685522896,-0.614814402551093,-1.75414257899272
KMXK0G00200,-0.533539241915066,-0.586939159114587,-0.73452906721831
