uniprotID_CENPK	GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
N1NX93	CENPK1137D_1639	P54115	YPL061W	8.038971066	7.98809685	8.017538735	8.026241706	7.972325087	7.953183503	8.069058363	8.0280864	8.027716931	8.443934731	8.413694387	8.408556603
N1P3E7	CENPK1137D_3477	Q01217	YER069W	7.179896001	7.196673577	7.154934962	7.044294998	7.034215649	6.986892799	7.143786534	7.124448169	7.120811546	6.676233532	6.66825112	6.662151657
N1P2Y2	CENPK1137D_1157	P36060	YKL150W	7.939156915	7.938624778	7.902932955	7.643602966	7.626016141	7.634338126	7.969648079	7.962502245	7.896037503	8.288173902	8.294830538	8.263341256
N1P674	CENPK1137D_3804	Q00055	YDL022W	7.512307696	7.541079931	7.514739547	7.65900376	7.672955243	7.645019324	7.574276231	7.496333521	7.554596375	8.696385168	8.628475995	8.656126898
N1NVW2	CENPK1137D_2246	Q12363	YOR230W	7.965695075	7.960931925	7.923791005	8.003990409	8.015070579	7.957002767	7.823271694	7.816171453	7.853320089	7.287807099	7.332335744	7.260592666
N1P0U3	CENPK1137D_382	P54838	YML070W	7.339615446	7.344459033	7.362188852	7.428840162	7.41790061	7.41286063	7.404224837	7.351137822	7.375484129	7.934861749	7.934882495	7.918654226
N1P2F8	CENPK1137D_5141	P00724	YIL162W	6.47913881	6.430865198	6.490742033	6.629031424	6.644376723	6.623047419	6.326672745	6.369433483	6.400768787	7.415938599	7.420288828	7.408229626
N1P375	CENPK1137D_5411	P04076	YHR018C	7.296994671	7.359342508	7.312930264	7.110456977	7.146799445	7.111371989	7.226600262	7.229780544	7.218468165	6.508511809	6.523971001	6.601761228
N1P837	CENPK1137D_1055	P36139	YKR046C	7.690399723	7.703726465	7.80143655	7.866825006	7.874091981	7.906953706	7.731064647	7.823647664	7.817755834	7.050421063	7.065352145	7.11471965
N1NZK6	CENPK1137D_673	P31539	YLL026W	7.733445248	7.757973788	7.758881867	7.93298789	7.935587714	7.936326498	7.816160916	7.837726221	7.82568155	7.422899655	7.440172844	7.426659389
N1NYI1	CENPK1137D_1	Q03102	YML131W	7.268776036	7.297964376	7.416471949	7.089787004	7.125673355	7.144900497	7.65572893	7.690946633	7.699270822	7.939316776	7.957674281	7.983977508
N1P4N7	CENPK1137D_2677	P32907	YNR002C	6.762567065	6.84583766	6.83843899	6.718301113	6.754242011	6.717690515	7.046654666	7.077774573	7.110598908	6.015595471	6.130225869	6.141308591
