W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D	standard_A	standard_B	standard_C	standard_D
YALI1_A16292g	YALI0A16379g1_1	Q6CGT5	7.477998945	7.55276795	7.471144715	6.753422357	6.788705587	6.796557246	6.760113535	7.264194762	7.249797672	7.225805211	7.248837007
YALI1_E36437g	YALI0E30965g1_1	Q6C3Z9	7.667606151	7.696527179	7.666884231	6.889879885	6.933731769	6.894465745	6.860358873	7.32615499	7.263035677	7.324337353	7.276161061
YALI1_C31408g	YALI0C22748g1_1	Q6CB11	7.631889648	7.710530518	7.645085203	6.857567423	6.804944303	6.774589584	6.790248505	7.372566265	7.312104584	7.392600397	7.295810236
YALI1_D00474g	YALI0D00451g1_1	Q6CAS0	7.085055103	7.068859556	7.099012907	6.229884848	6.337987126	6.199471162	6.25442504	7.357925699	7.291954224	7.235325484	7.373706815
YALI1_A06099g	YALI0A06435g1_1	Q6CHQ5	7.207354068	7.245346791	7.212501097	6.484282135	6.592379284	6.54364185	6.426449089	7.21003576	7.199876789	7.208258823	7.21125274
YALI1_B11853g	YALI0B08778g1_1	Q6CFA8	6.97709526	6.969080192	6.897273865	7.214695094	7.172961735	7.1790088	7.204880521	6.944773794	6.940585789	6.883199536	6.918020061
YALI1_D18408g	YALI0D15114g1_1	Q6C916	7.314223506	7.348025246	7.30082394	6.860658307	6.819940594	6.86229331	6.780293019	7.195206409	7.162325581	7.23309281	7.165726925
YALI1_F30877g	YALI0F23551g1_1	Q6C0L9	6.959500556	6.946801801	6.926622414	6.766975768	6.794710365	6.77270695	6.744159836	7.023612665	7.009733877	6.980001711	7.0007304
YALI1_F23664g	YALI0F17820g1_1	Q6C1A9	7.347384695	7.404813836	7.487555908	7.987647821	8.085286914	8.105838139	8.092529148	7.579445146	7.528296171	7.583371293	7.507708669
YALI1_D27884g	YALI0D22088g1_1	Q6C874	6.842229182	6.886336038	6.884602851	7.133493068	7.119129947	7.126565469	7.150552377	6.939836469	6.931040958	6.970655253	6.962285189
YALI1_F12138g	YALI0F08701g1_1	Q6C2D9	6.926747595	6.993567745	6.911610099	7.471161258	7.447449006	7.472041512	7.486435793	7.218656725	7.122467235	7.165371879	7.111719964
