GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
CENPK1137D_1639	P54115	YPL061W	8.03897106603693	7.9880968503485	8.01753873496564	8.02624170629307	7.972325086638	7.95318350337441	8.06905836331127	8.02808639967448	8.02771693062243	8.44393473147051	8.41369438734412	8.40855660349861
CENPK1137D_3477	Q01217	YER069W	7.17989600067563	7.19667357700946	7.15493496182127	7.04429499816636	7.03421564918618	6.98689279933012	7.14378653395101	7.12444816901163	7.1208115456029	6.67623353216947	6.66825112001409	6.66215165676008
CENPK1137D_1157	P36060	YKL150W	7.93915691468599	7.93862477799557	7.90293295533321	7.64360296627098	7.62601614117578	7.6343381263512	7.96964807913367	7.96250224477362	7.8960375028017	8.28817390241501	8.2948305380848	8.2633412558588
CENPK1137D_3804	Q00055	YDL022W	7.51230769564334	7.54107993144629	7.5147395466242	7.65900375985138	7.67295524320081	7.64501932384301	7.57427623107845	7.49633352113415	7.55459637469498	8.69638516763081	8.62847599520705	8.65612689812146
CENPK1137D_2246	Q12363	YOR230W	7.96569507509258	7.96093192474864	7.92379100510973	8.0039904092233	8.01507057923084	7.95700276732545	7.82327169373267	7.81617145334897	7.85332008922899	7.2878070985796	7.33233574354578	7.26059266639663
CENPK1137D_382	P54838	YML070W	7.33961544570239	7.34445903311759	7.36218885211965	7.42884016160468	7.4179006098785	7.41286063039828	7.40422483743294	7.35113782228467	7.37548412881219	7.93486174899214	7.93488249505393	7.91865422598786
CENPK1137D_5141	P00724	YIL162W	6.47913881048156	6.43086519830926	6.49074203270126	6.62903142427719	6.64437672297217	6.62304741877168	6.3266727446311	6.36943348306093	6.4007687872013	7.4159385990601	7.42028882750718	7.40822962568852
CENPK1137D_5411	P04076	YHR018C	7.29699467056207	7.35934250849313	7.31293026390881	7.1104569774725	7.14679944531187	7.11137198879796	7.2266002615951	7.22978054432577	7.21846816527393	6.5085118093498	6.52397100057442	6.60176122768493
CENPK1137D_1055	P36139	YKR046C	7.69039972279114	7.70372646521831	7.80143654987685	7.86682500633143	7.87409198050411	7.90695370616492	7.73106464672426	7.82364766409589	7.81775583411356	7.05042106327467	7.06535214493263	7.11471965014516
CENPK1137D_673	P31539	YLL026W	7.73344524754233	7.75797378783815	7.75888186655674	7.93298788985817	7.93558771407634	7.93632649814409	7.81616091620994	7.83772622090955	7.82568155007911	7.4228996548901	7.44017284443407	7.42665938947334
CENPK1137D_1	Q03102	YML131W	7.26877603637262	7.29796437612071	7.41647194881489	7.08978700393592	7.12567335462388	7.14490049668861	7.65572893049009	7.6909466332247	7.69927082217558	7.93931677565596	7.95767428069452	7.98397750795982
CENPK1137D_2677	P32907	YNR002C	6.76256706499322	6.8458376599726	6.8384389904843	6.71830111336899	6.75424201077256	6.71769051533354	7.04665466565521	7.07777457342426	7.11059890778987	6.01559547059371	6.13022586946862	6.14130859083555
CENPK1137D_2390	P07262	YOR375C	8.07962414810294	8.08275558283801	8.12105407259148	7.90232431462455	7.83815664156014	7.83609131485097	8.39329934455272	8.37917781202061	8.41679391649747	8.43986284707089	8.44132503930769	8.40732362542797
CENPK1137D_20	P25087	YML008C	6.83190172015863	6.84935867830446	6.82181637404847	6.60857386730128	6.56701742557242	6.5557872743822	6.76127639135634	6.72125264710614	6.72174648251172	6.47828997911908	6.46456420464749	6.41346160338616
CENPK1137D_3141	P32476	YGR175C	8.11967944210886	8.09171518469065	8.07205971480034	7.75364516591487	7.70922304077826	7.7522121327467	8.09564897531735	8.08648784183632	8.00191402856225	7.20655834321593	7.12664501620695	7.20150990122832
CENPK1137D_3054	P06115	YGR088W	6.43780705440072	6.483778113701	6.50074234832977	6.32749894272785	6.24968433646368	6.2866637134043	6.98102630714512	6.98958024737194	6.97420511106079	7.34935990260179	7.34988104959829	7.26637888224585
CENPK1137D_1304	P00358	YJR009C	6.29442066297568	6.27166837564973	6.3898894395907	6.45657977410232	6.4287600838207	6.51078788322132	6.54065988249639	6.59207317274683	6.58825191475779	7.10641520735177	7.12984544913115	7.10451195498884
CENPK1137D_1111	P10963	YKR097W	6.62767493969889	6.62331747945951	6.72150385550609	7.0133294821386	7.01574712369375	6.9730062106695	6.51327176703351	6.48909135561125	6.45028817741745	7.28903344036214	7.36030104743142	7.36812922401522
CENPK1137D_203			7.1558735821082	7.19957001824779	7.24111235884408	6.79801427741257	6.88124039658331	6.80610314031978	7.42931235617398	7.52375004848236	7.57155253548522	8.32790514690347	8.35809945117807	8.23297895026083
CENPK1137D_2119	Q12289	YOR100C	6.62684948746706	6.66826248676555	6.65621840142927	7.166827599466	7.20151541694567	7.22184382279002	6.46432254356375	6.50730236594058	6.44490180443912	7.01027513694155	7.06975223924338	7.10528691291347
CENPK1137D_1403	P03965	YJR109C	6.76871378135201	6.78271520538544	6.74281584252346	6.50182579842423	6.49674228998294	6.46053867804741	6.67681711507215	6.66151790576647	6.64068646183974	6.3231099143401	6.33065239284176	6.32154338196614
CENPK1137D_808	P07991	YLR438W	7.752837412379	7.75156991834066	7.77076949884571	7.98133116541463	7.91127029913294	7.93024351956106	7.74592139862707	7.73313035984692	7.68152481968245	7.4045406332971	7.3910922057217	7.35913060780816
CENPK1137D_3841	P48015	YDR019C	7.49754050784633	7.53164977121653	7.54265798610662	7.38927139782279	7.39190326250237	7.37880031051112	7.39799049472636	7.4142313853016	7.41509414727772	7.13605354889383	7.15754569029894	7.11390995121355
CENPK1137D_2049	P15705	YOR027W	7.92513571599599	7.93298817371335	7.9351989018988	8.19373136927161	8.18268219507906	8.18653866382004	7.96569132842197	7.97020313789528	7.9642024925383	7.95080477812909	7.97397703578958	7.91772583639867
CENPK1137D_4507	P25613	YCR010C	7.6876903769887	7.77199191708471	7.89834215727483	8.36846898536851	8.40900234741298	8.45360128330875	7.53596096095987	7.6074977960033	7.54018032229961	6.94511335147973	7.19612980499762	7.15703134930467
CENPK1137D_4473	Q96VH4	YCL026C-B	7.06683545917651	7.02542298999689	7.07960848611982	7.0951478007991	7.08012336805577	7.06992246584625	7.37308978028137	7.36440951947184	7.36262667946959	8.15715135105952	8.11686241262863	8.07268162265029
