W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D
YALI1_A17085g	Q6CGR5	YALI0A17020g1_1	64	51	67	59	67	86	79	9	24	17	8
YALI1_A18062g	Q6CGN3	YALI0A17875g1_1	0	0	1	0	0	0	0	12	13	22	15
YALI1_C23738g	Q6CBQ1	YALI0C16621g1_1	0	0	0	0	0	0	0	22	13	18	0
YALI1_D06131g	Q6CA92	YALI0D04851g1_1	14	12	12	9	9	12	11	0	0	0	0
YALI1_F11481g	Q6C2G3	YALI0F08129g1_1	0	0	0	0	0	0	0	8	6	7	10
YALI1_B12489g	F2Z5Z7	YALI0B09361g1_1	8	5	11	10	8	6	13	0	0	0	0
YALI1_F35868g	Q6C031	YALI0F28193g1_1	10	7	8	9	12	6	8	0	0	0	0
YALI1_F02545g	Q6C392	YALI0F01650g1_1	9	7	10	8	8	9	9	0	0	0	0
YALI1_F01981g	Q6C3A8	YALI0F01210g1_1	6	8	7	9	9	8	12	0	0	1	0
YALI1_E27625g	Q6C4V2	YALI0E23452g1_1	0	0	0	0	4	4	7	6	12	15	0
YALI1_E17643g	Q6C5W0	YALI0E14707g1_1	5	4	7	5	9	6	10	0	0	0	0
YALI1_B16022g	Q6CEX3	YALI0B12188g1_1	6	5	6	6	5	4	5	15	20	22	18
YALI1_A17957g	Q6CGN5	YALI0A17831g1_1	5	7	3	8	4	4	4	11	23	23	14
YALI1_C24891g	Q6CBL5	YALI0C17567g1_1	38	45	42	47	15	18	27	11	41	44	19
YALI1_F26367g	Q6C124	YALI0F19822g1_1	0	0	0	0	0	0	0	4	2	4	5
YALI1_D03412g	Q6CAH4	YALI0D02739g1_1	14	12	7	12	5	0	1	11	17	11	8
YALI1_B14492g	Q6CF27	YALI0B10802g1_1	4	6	6	4	5	2	3	0	0	0	0
YALI1_D12050g	Q6C9P4	YALI0D09427g1_1	12	8	11	7	11	12	11	3	3	2	1
YALI1_F24864g	Q6C174	YALI0F18656g1_1	2	3	5	2	6	5	4	0	0	0	0
YALI1_A09064g	F2Z6D9	YALI0A09383g1_1	7	6	3	11	10	5	9	0	2	2	0
YALI1_E14988g	Q6C662	YALI0E12133g1_1	38	42	35	38	42	46	40	13	26	20	32
YALI1_E31865g	Q6C4G8	YALI0E26917g1_1	5	3	4	1	5	5	3	0	0	0	0
YALI1_C24262g	Q6CBN6	YALI0C16951g1_1	6	3	4	3	3	4	3	0	0	0	0
YALI1_C00841g	Q6CDG8	YALI0C00649g1_1	3	2	3	7	3	4	4	0	0	0	0
YALI1_C29762g	Q6CB66	YALI0C21538g1_1	34	30	41	41	27	28	29	17	18	29	11
YALI1_C30022g	Q6CB57	YALI0C21758g1_1	0	0	0	1	0	0	0	3	3	2	6
YALI1_F29356g	Q6C0S3	YALI0F22165g1_1	1	0	0	0	0	1	2	3	7	4	5
YALI1_E23068g	Q6C5C2	YALI0E19294g1_1	0	0	0	0	0	0	0	3	2	3	3
YALI1_E17484g	Q6C5W8	YALI0E14487g1_1	9	9	0	0	11	11	11	5	0	0	5
YALI1_F08683g	Q6C2R0	YALI0F05852g1_1	3	0	5	2	0	0	0	0	0	0	0
YALI1_F34351g	Q6C083	YALI0F27005g1_1	0	0	0	0	0	0	0	2	4	3	1
YALI1_D09308g	Q6C9Y7	YALI0D07304g1_1	0	0	0	0	0	0	0	3	1	4	2
YALI1_C12121g	Q6CCJ5	YALI0C08855g1_1	0	0	0	0	0	0	0	4	3	1	2
YALI1_C12941g	Q6CCH6	YALI0C09284g1_1	5	3	3	4	8	9	7	12	9	16	13
YALI1_E09924g	Q6C6M6	YALI0E08162g1_1	7	8	5	8	5	0	0	4	16	12	5
YALI1_A20063g	Q6CGI3	YALI0A19074g1_1	31	24	34	29	30	36	34	17	21	19	14
YALI1_E02626g	Q6C7B7	YALI0E02112g1_1	3	2	3	1	3	4	4	0	0	0	0
YALI1_F26793g	Q6C111	YALI0F20174g1_1	0	0	1	0	0	1	1	2	6	6	2
YALI1_D08884g	Q6CA04	YALI0D06930g1_1	14	15	19	14	19	24	22	12	6	7	11
YALI1_E30462g	Q6C4L9	YALI0E25696g1_1	1	1	1	3	3	5	15	4	3	0	2
YALI1_F23157g	Q6C1C8	YALI0F17402g1_1	1	0	1	4	0	0	0	3	6	3	4
YALI1_B14733g	Q6CF18	YALI0B11044g1_1	3	1	6	3	0	5	9	0	1	0	0
YALI1_B08461g	Q6CFJ6	YALI0B06391g1_1	2	1	0	0	0	0	0	2	4	4	4
