GeneName_CENPK	GeneName_S288C	uniprotID_S288c	Standard_A	Standard_B	Standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	ec_number	Protein_name
CENPK1137D_3157	YGR192C	P00359	3.16228E+11	3727593719	719685672	848342897.2	6105402296	37275936.2	316227765	117876862.5	2682695794	22758459260	1637893706	1178768634	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3
CENPK1137D_1304	YJR009C	P00358	184784978.7	6309572.445	2154433.69	1847848.797	7356421.545	135934.6391	630956.3445	857694.8986	8576957.986	158489318.2	11659143.01	21544345.9	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2
CENPK1137D_1249	YJL052W	P00360	58169.91329	4435.687331	1967.419447	1500.310729	11449.4757	665.0846291	999	1500.310729	6659.846291	5079.218047	1718.072202	1310.133937	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1
CENPK1137D_2389	YOR374W	P46367	6061897.993	818545.7307	406157.5988	448924.1258	1492494.545	60617.98993	222753.2952	90472.57242	740567.4692	164963.8074	99999	272132.8768	1.2.1.5	"Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
CENPK1137D_3481	YER073W	P40047	16.30195739	10.15883993	7.961505019	4.779692884	6.19685673	4.179474679	4.779692884	4.779692884	4.179474679	2.72759372	2.72759372	1.993577295	1.2.1.5	"Aldehyde dehydrogenase 5, mitochondrial - ALD5"
CENPK1137D_4664	YPR080W; YBR118W	P02994	464158882.4	73564224.45	7356421.545	21544345.9	34145487.74	1165913.401	3981070.706	541168.5265	4641587.834	5411694.265	541168.5265	2154433.69		Elongation factor 1-alpha - TEF1
CENPK1137D_4509	YCR012W	P00560	1318255.739	83175.37711	30198.5172	27541.28703	99999	5247.074602	14453.39771	4364.158322	47862.00923	91200.08394	47862.00923	33112.11215	2.7.2.3	Phosphoglycerate kinase - PGK1
CENPK1137D_3221	YGR254W	P00924	14251026702	142510266	14251025.7	4124625.383	49238825.32	587800.6072	1193775.642	492387.2632	70170381.87	49238825.32	1425101.67	4923881.632	4.2.1.11	Enolase 1 - ENO1
CENPK1137D_5376	YHL011C	P38689	2.651741273	3.869675252	2.16227766	2.16227766	3.869675252	2.651741273	2.651741273	1.738419634	2.16227766	1.053525026	2.16227766	2.16227766	2.7.6.1	Ribose-phosphate pyrophosphokinase 3 - PRS3
CENPK1137D_4810	YBL068W	P38063	1.610157216	0.77827941	1.610157216	0.77827941	3.641588834	1.15443469	0.77827941	0.77827941	0.467799268	0.77827941	1.15443469	1.15443469	2.7.6.1	Ribose-phosphate pyrophosphokinase 4 - PRS4
CENPK1137D_3512	YER099C	P38620	0.232846739	0.232846739	0	0.873817423	1.848035868	1.3101297	0.519911083	1.3101297	0.519911083	0.519911083	0.519911083	0.873817423	2.7.6.1	Ribose-phosphate pyrophosphokinase 2 - PRS2
CENPK1137D_891	YLR044C	P06169	26100.57216	6811.920691	2871.984833	2871.984833	9084.175757	824.4041853	1210.527659	561.3413252	2871.984833	3161.27766	1956.341781	2871.984833	4.1.1.-; 4.1.1.43; 4.1.1.72; 4.1.1.74	Pyruvate decarboxylase isozyme 1 - PDC1
CENPK1137D_3053	YGR087C	P26263	6.498942093	9	5.812920691	9	11.11527659	4.623413252	9	5.812920691	6.498942093	4.623413252	3.641588834	2.480700588	4.1.1.-; 4.1.1.43; 4.1.1.72; 4.1.1.74	Pyruvate decarboxylase isozyme 3 - PDC6
