OG,sce,kma
OG0000695,YBR203W,
OG0000758,YNL040W,
OG0000770,YOR289W,
OG0000787,YMR272C,
OG0000805,YEL011W,
OG0000809,YCR014C,
OG0000893,YOL110W,
OG0000894,YOL111C,
OG0000898,YOR027W,
OG0000909,YKL178C,
OG0000924,YJL141C,
OG0000932,YGR247W,
OG0000962,YMR284W,
OG0000979,YGL059W,
OG0000986,YLR299W,
OG0000993,YLR286C,
OG0001020,YOL060C,
OG0001091,YCL033C,
OG0001124,,KMXK0B00450
OG0001145,YMR262W,
OG0001154,YHR025W,
OG0001190,YKL104C,
OG0001200,YDR106W,
OG0001243,YNR041C,
OG0001250,YPR160W,
OG0001280,YFL031W,
OG0001289,YMR244W,
OG0001300,YBR018C,
OG0001307,YGR086C,
OG0001309,YAL008W,
OG0001361,YDL054C,
OG0001379,YDR357C,
OG0001419,YGR127W,
OG0001431,YIL033C,
OG0001433,YLR119W,
OG0001441,YHR008C,
OG0001469,YDR379C-A,
OG0001514,YML098W,
OG0001582,YFL014W,
OG0001608,YBR286W,
OG0001655,YMR232W,
OG0001659,YMR100W,
OG0001666,YMR108W,
OG0001688,YCL009C,
OG0001752,YDR276C,
OG0001765,YKR074W,
OG0001798,YGL180W,
OG0001806,YMR196W,
OG0001808,YDR319C,
OG0001821,YPR127W,
OG0001858,YHR039C,
OG0001862,YDR294C,
OG0001879,YPL167C,
OG0001884,YPL170W,
OG0001907,YCR061W,
OG0001925,YDR236C,
OG0001933,YDR229W,
OG0001948,YMR250W,
OG0001974,YAL044C,
OG0001980,YAL049C,
OG0001981,YAL053W,
OG0001982,YJR149W,
OG0001996,YGR053C,
OG0002065,YMR315W,
OG0002086,YLR324W,
OG0002098,YMR135C,
OG0002120,YDR063W,
OG0002124,YLL026W,
OG0002125,YHL024W,
OG0002129,YBR056W,
OG0002159,YLR093C,
OG0002164,YDR127W,
OG0002167,YDR129C,
OG0002191,YNL200C,
OG0002195,YOL087C,
OG0002250,YMR036C,
OG0002297,YOL129W,
OG0002318,YHR171W,
OG0002340,YPR184W,
OG0002341,YPR185W,
OG0002369,YJR131W,
OG0002380,YKL185W,
OG0002381,YKL186C,
OG0002383,YLR414C,
OG0002468,YJL057C,
OG0002469,YJL059W,
OG0002474,YBR265W,
OG0002481,YBR280C,
OG0002507,YDR214W,
OG0002512,YLR290C,
OG0002517,YGL047W,
OG0002537,YLR438W,
OG0002568,YDR019C,
OG0002583,YJL155C,
OG0002584,YJL154C,
OG0002609,YLR193C,
OG0002627,YPL247C,
OG0002741,YLR142W,
OG0002751,YLR149C,
OG0002754,YLR151C,
OG0002779,YDR196C,
OG0002783,YDR204W,
OG0002794,YDL234C,
OG0002803,YDL238C,
OG0002805,YNL223W,
OG0002820,,KMXK0F00130
OG0002840,YLR218C,
OG0002854,YDL124W,
OG0002868,YNR007C,
OG0002869,YLR377C,
OG0002875,YLR452C,
OG0002890,YHR137W,
OG0002903,YDR255C,
OG0002916,YDR246W,
OG0002919,YPL016W,
OG0002959,YHL010C,
OG0002972,YFL024C,
OG0002989,YBR026C,
OG0003009,YNL115C,
OG0003022,YAL038W,
OG0003023,,KMXK0F03560
OG0003049,YKL084W,
OG0003096,YDR262W,
OG0003098,YOR035C,
OG0003124,YGR225W,
OG0003134,YKR051W,
OG0003135,YJL132W,
OG0003160,YEL059C-A,
OG0003176,YJR008W,
OG0003185,YLR006C,
OG0003197,YGL148W,
OG0003212,YIL087C,
OG0003231,YIL099W,
OG0003233,YIL101C,
OG0003242,YIL107C,
OG0003275,YNL092W,
OG0003292,YAL039C,
OG0003307,YKL051W,
OG0003324,YBR111C,
OG0003371,YBL086C,
OG0003404,YPL154C,
OG0003441,YJR104C,
OG0003456,YPR037C,
OG0003478,YBL095W,
OG0003521,YPR091C,
OG0003526,YBR132C,
OG0003555,YDR320C-A,
OG0003563,YPR167C,
OG0003583,,KMXK0H03050
OG0003590,YER014W,
OG0003597,YHR030C,
OG0003615,YBL029C-A,
OG0003618,YBR083W,
OG0003638,YOR084W,
OG0003647,YDL046W,
OG0003648,YOL071W,
OG0003660,YKL142W,
OG0003682,YPL003W,
