OG,sce,kma,yli
OG0000676,,,YALI1_B25744g
OG0000700,YNL148C,,
OG0000725,YOR037W,,
OG0000787,,,YALI1_F17082g
OG0000874,,,YALI1_D03245g
OG0000951,,KMXK0A05660,
OG0000955,,,YALI1_C02086g
OG0000968,,,YALI1_F22978g
OG0000971,,,YALI1_A03721g
OG0000984,,,YALI1_E18281g
OG0001003,,,YALI1_D34149g
OG0001005,,,YALI1_E24174g
OG0001055,,,YALI1_B23771g
OG0001083,YDR510W,,
OG0001091,,,YALI1_C07077g
OG0001097,YCL044C,,
OG0001120,YDR068W,,
OG0001126,YBL021C,,
OG0001176,,,YALI1_D25715g
OG0001185,YJL104W,,
OG0001259,,,YALI1_F28015g
OG0001266,YGL044C,,
OG0001309,,KMXK0B03600,
OG0001317,,,YALI1_E38706g
OG0001349,,,YALI1_B21618g
OG0001383,,,YALI1_F02238g
OG0001430,,,YALI1_F06797g
OG0001443,YDR468C,,
OG0001517,,,YALI1_A19220g
OG0001522,,,YALI1_F37658g
OG0001590,YOR223W,,
OG0001596,,KMXK0B08160,
OG0001598,,,YALI1_E01904g
OG0001613,,,YALI1_C29506g
OG0001649,,KMXK0C00790,
OG0001662,YKL122C,,
OG0001690,,,YALI1_D36100g
OG0001746,,,YALI1_B21966g
OG0001778,,,YALI1_B17805g
OG0001821,,,YALI1_F03136g
OG0001823,,,YALI1_B28268g
OG0001889,,KMXK0C04630,
OG0001899,YNR020C,,
OG0001907,,,YALI1_E23472g
OG0001934,,,YALI1_C28456g
OG0001949,,,YALI1_E24149g
OG0001962,,,YALI1_F04314g
OG0001980,,,YALI1_F38191g
OG0002014,,,YALI1_F25650g
OG0002029,YGL215W,,
OG0002035,,,YALI1_F34187g
OG0002090,YLR326W,,YALI1_C08040g
OG0002129,,,YALI1_E40502g
OG0002172,,,YALI1_B10145g
OG0002187,,,YALI1_B11167g
OG0002212,,KMXK0D02710,
OG0002247,YMR039C,,
OG0002269,,,YALI1_D06380g
OG0002277,,KMXK0D03850,
OG0002296,YNL306W,,
OG0002309,,,YALI1_B21030g
OG0002333,,,YALI1_E30914g
OG0002354,YHR201C,,
OG0002386,,,YALI1_D01345g
OG0002447,,,YALI1_E08937g
OG0002472,YBR268W,,
OG0002474,,,YALI1_B22883g
OG0002478,,,YALI1_F03481g
OG0002495,YAL033W,,
OG0002511,,,YALI1_E39886g
OG0002513,YLR292C,,
OG0002531,YML064C,,
OG0002537,,,YALI1_C05908g
OG0002582,,,YALI1_E05329g
OG0002613,YLR200W,,
OG0002634,,KMXK0E03520,
OG0002647,,KMXK0E03750,
OG0002672,,,YALI1_E23292g
OG0002679,YHL021C,,
OG0002696,YGR101W,,
OG0002714,YFR033C,,
OG0002726,,,YALI1_F28590g
OG0002733,,,YALI1_D16783g
OG0002739,YLR139C,,
OG0002795,YNL217W,,YALI1_E41569g
OG0002799,,,YALI1_E34238g
OG0002822,,KMXK0F00180,
OG0002845,,,YALI1_D15568g
OG0002941,YPL181W,,
OG0002973,,,YALI1_F05814g
OG0002976,YOR298C-A,,
OG0002994,,,YALI1_B19336g
OG0003018,,,YALI1_F19058g
OG0003069,YOL077W-A,,
OG0003088,YHR083W,,
OG0003097,,,YALI1_E25761g
OG0003114,,KMXK0F05050,
OG0003115,YGR215W,,
OG0003153,,,YALI1_D06638g
OG0003345,YPR062W,,YALI1_F29751g
OG0003383,YDR363W-A,,
OG0003421,,,YALI1_A17470g
OG0003457,,,YALI1_A06396g
OG0003479,YER122C,,
OG0003493,,,YALI1_F26399g
OG0003513,YCR071C,,
OG0003517,,,YALI1_B11960g
OG0003551,,,YALI1_F37714g
OG0003583,,,YALI1_C28396g
OG0003604,,KMXK0H03370,
OG0003637,YMR173W,,
OG0003668,,KMXK0H04350,
