OG,sce,kma
OG0000658,YPL104W,
OG0000660,YPL103C,
OG0000690,YPL069C,
OG0000691,YPL067C,
OG0000698,YHR128W,
OG0000772,YKR016W,
OG0000793,YNL138W-A,
OG0000805,,KMXK0A02900
OG0000896,YOL114C,
OG0000922,YGR286C,
OG0000971,,KMXK0A05960
OG0000976,YGL127C,
OG0001003,YOL075C,
OG0001031,YJL194W,
OG0001069,YNL273W,
OG0001099,,KMXK0A08060
OG0001130,YBL015W,
OG0001156,YHR023W,
OG0001159,YIL102C-A,
OG0001264,,KMXK0B02940
OG0001281,YFL030W,
OG0001298,YMR240C,
OG0001306,YPR105C,
OG0001317,YOL031C,
OG0001328,YDR270W,
OG0001331,YPL034W,
OG0001377,YDR361C,
OG0001424,YER049W,
OG0001457,YOR136W,
OG0001468,YOR128C,
OG0001489,YOL143C,
OG0001513,YML130C,
OG0001522,,KMXK0B06970
OG0001552,YDL217C,
OG0001568,YHR144C,
OG0001632,YJR063W,
OG0001669,YKL134C,
OG0001737,YLR023C,
OG0001761,YKR071C,
OG0001791,YPR020W,
OG0001817,YBR160W,
OG0001831,YGR159C,
OG0001847,YJL035C,
OG0001898,,KMXK0C04810
OG0001926,YDL206W,
OG0001927,YDL205C,
OG0001952,YMR247C,
OG0001962,YJL106W,
OG0001963,YJL108C,
OG0001973,YOR360C,
OG0002004,YOR161C,
OG0002018,,KMXK0C06580
OG0002034,YER036C,
OG0002099,YMR132C,
OG0002136,YBR065C,
OG0002191,,KMXK0D02320
OG0002192,YNL193W,
OG0002217,YGR198W,
OG0002288,YKL047W,
OG0002293,YOL125W,
OG0002332,YLR401C,
OG0002347,YPR191W,
OG0002387,,KMXK0D05640
OG0002390,YGL064C,
OG0002439,YGR144W,
OG0002470,,KMXK0E00750
OG0002489,YJL046W,
OG0002536,YML059C,
OG0002564,,KMXK0E02290
OG0002615,YDL168W,
OG0002677,YMR010W,
OG0002680,YHL022C,
OG0002707,,KMXK0E04650
OG0002717,YIL020C,
OG0002768,YLR168C,
OG0002849,YDL128W,
OG0002887,YJR116W,
OG0002893,YMR013C,
OG0002902,YPL047W,
OG0002984,YDL033C,
OG0003019,YNL107W,
OG0003033,YGR152C,
OG0003036,,KMXK0F03810
OG0003079,YBL004W,
OG0003082,,KMXK0F04550
OG0003097,YDR264C,
OG0003114,YLR047C,
OG0003128,,KMXK0F05240
OG0003161,YPL262W,
OG0003172,,KMXK0G00550
OG0003177,YJR010W,
OG0003229,YNL037C,
OG0003243,YIL108W,KMXK0G01630
OG0003300,YKL059C,
OG0003360,YBL066C,
OG0003363,YBL074C,
OG0003412,,KMXK0H00380
OG0003422,YLR063W,
OG0003423,YLR393W,
OG0003551,,KMXK0H02490
OG0003644,,KMXK0H03940
OG0003671,YFR005C,
OG0003678,YPL001W,
