OG,sce,kma,yli
OG0000654,,KMXK0A00310,
OG0000658,,KMXK0A00360,
OG0000685,YPL076W,,
OG0000690,,KMXK0A00860,
OG0000695,YBR203W,,
OG0000697,,,YALI1_E34015g
OG0000707,,,YALI1_A03300g
OG0000728,YHR102W,,
OG0000750,YLR419W,,
OG0000752,,KMXK0A02030,
OG0000758,,KMXK0A02120,
OG0000786,,,YALI1_F10713g
OG0000799,,KMXK0A02760,
OG0000808,,,YALI1_D21464g
OG0000809,YCR014C,,
OG0000824,,KMXK0A03300,
OG0000840,,,YALI1_D22413g
OG0000866,,KMXK0A03950,
OG0000872,,KMXK0A04030,
OG0000892,,KMXK0A04360,
OG0000898,,KMXK0A04590,YALI1_C12333g
OG0000922,,KMXK0A05070,
OG0000928,,KMXK0A05200,
OG0000933,,KMXK0A05340,
OG0000940,,KMXK0A05470,
OG0000944,,KMXK0A05550,
OG0000954,,KMXK0A05710,
OG0001016,YAR035W,,
OG0001020,,KMXK0A06770,
OG0001117,,KMXK0B00330,
OG0001130,,,YALI1_E36437g
OG0001131,,KMXK0B00540,
OG0001133,,KMXK0B00590,
OG0001139,,KMXK0B00680,
OG0001144,,KMXK0B00820,
OG0001161,,KMXK0B01100,
OG0001170,,KMXK0B01280,
OG0001172,,KMXK0B01350,
OG0001184,,KMXK0B01550,
OG0001215,YOR242C,,
OG0001218,,KMXK0B02200,
OG0001259,,KMXK0B02880,
OG0001265,,KMXK0B02970,
OG0001280,,KMXK0B03180,
OG0001298,,KMXK0B03440,
OG0001300,YBR018C,,
OG0001316,,KMXK0B03670,
OG0001358,,KMXK0B04330,
OG0001372,,KMXK0B04530,
OG0001376,,KMXK0B04590,
OG0001427,,KMXK0B05370,
OG0001438,YDR464W,,
OG0001456,,KMXK0B05880,
OG0001479,,KMXK0B06260,
OG0001481,,KMXK0B06280,
OG0001493,,KMXK0B06470,
OG0001521,YLR001C,,
OG0001576,YHR140W,,
OG0001581,,KMXK0B07830,
OG0001653,,KMXK0C00860,
OG0001655,YMR232W,,
OG0001658,,,YALI1_D22083g
OG0001664,,KMXK0C01070,
OG0001665,,KMXK0C01090,
OG0001698,,KMXK0C01680,
OG0001717,,KMXK0C01960,
OG0001736,YLL013C,,
OG0001737,,KMXK0C02180,
OG0001740,YLR018C,,
OG0001747,,KMXK0C02310,
OG0001756,,KMXK0C02490,
OG0001763,,KMXK0C02570,
OG0001783,YER169W,,
OG0001796,,KMXK0C03090,
OG0001805,,KMXK0C03300,
OG0001810,,KMXK0C03400,
OG0001814,,KMXK0C03480,
OG0001829,,KMXK0C03720,
OG0001862,,KMXK0C04230,
OG0001872,,KMXK0C04390,
OG0001879,,KMXK0C04500,
OG0001886,YPL174C,,
OG0001911,,KMXK0C05010,YALI1_F09433g
OG0001919,,KMXK0C05090,
OG0001934,,KMXK0C05280,
OG0001944,,KMXK0C05460,
OG0001948,,KMXK0C05530,
OG0001960,,KMXK0C05690,
OG0001962,,KMXK0C05720,
OG0001991,YPR007C,,
OG0001995,,KMXK0C06260,
OG0001996,,KMXK0C06270,
OG0002001,,KMXK0C06370,
OG0002021,,,YALI1_D00703g
OG0002023,,KMXK0C06650,
OG0002038,,KMXK0C06920,
OG0002061,,KMXK0C07260,
OG0002066,,KMXK0D00250,
OG0002096,,KMXK0D00700,
OG0002097,,KMXK0D00710,
OG0002123,,KMXK0D01190,
OG0002125,YHL024W,,YALI1_E20125g
OG0002137,,KMXK0D01420,
OG0002149,,KMXK0D01600,
OG0002192,,KMXK0D02400,
OG0002197,,KMXK0D02480,
OG0002198,,KMXK0D02490,
OG0002224,,KMXK0D02940,
OG0002228,YGL175C,,
OG0002229,,KMXK0D03020,
OG0002246,YMR041C,,
OG0002266,,,YALI1_B13355g
OG0002285,,KMXK0D04010,
OG0002300,,KMXK0D04230,
OG0002389,,KMXK0D05700,
OG0002396,YGL131C,,
OG0002397,YPL213W,,
OG0002415,YDR448W,,
OG0002423,,KMXK0D06280,
OG0002425,,KMXK0D06300,
OG0002426,,KMXK0D06310,
OG0002438,,KMXK0D06530,
OG0002446,,KMXK0E00280,
OG0002453,,KMXK0E00400,
OG0002463,,KMXK0E00610,
OG0002467,YJL056C,,
OG0002478,,KMXK0E00880,
OG0002507,,KMXK0E01320,YALI1_B20802g
OG0002571,,KMXK0E02380,
OG0002587,,KMXK0E02690,
OG0002604,YLR191W,,
OG0002624,YMR190C,,
OG0002625,,,YALI1_F18152g
OG0002626,,KMXK0E03370,
OG0002669,,KMXK0E04050,
OG0002676,,,YALI1_A14287g
OG0002702,,KMXK0E04600,YALI1_E06441g
OG0002715,,KMXK0E04790,
OG0002744,,KMXK0E05220,
OG0002750,,KMXK0E05300,
OG0002751,YLR149C,,
OG0002756,YDR173C,,
OG0002787,,KMXK0E05870,
OG0002793,,KMXK0E05980,
OG0002794,,KMXK0E05990,
OG0002819,YNL242W,KMXK0E06280,
OG0002838,,KMXK0F00530,
OG0002839,YDL139C,KMXK0F00540,
OG0002843,,KMXK0F00620,
OG0002868,,KMXK0F01090,
OG0002869,YLR377C,,
OG0002916,,KMXK0F01920,
OG0002923,YGL080W,,
OG0002924,YPL193W,,
OG0002927,,KMXK0F02110,
OG0002932,,KMXK0F02190,
OG0002958,,KMXK0F02500,
OG0002959,,KMXK0F02510,
OG0002974,,KMXK0F02810,YALI1_B16087g
OG0002986,,KMXK0F02990,
