genes,HiT,LpH,Osm
CENPK1137D_3027,-1.44270767080724,-0.979816278706854,-2.05765696138266
CENPK1137D_5399,-1.46564272624909,-0.807305992166286,-2.17448053209597
CENPK1137D_44,-1.39907201423439,-1.06872544388087,-1.91798855368531
CENPK1137D_1524,-1.20131296679469,-0.863990669451463,-1.22269578191127
CENPK1137D_2760,-1.29813441411014,-1.0485633128345,-1.40615282585485
CENPK1137D_3445,-1.22125094520302,-0.984965099993783,-1.75302191554931
CENPK1137D_2104,-1.15892775617643,-0.780961753627516,-1.44279748163968
CENPK1137D_4170,-0.832924485657907,-0.958363538057208,-1.26934032027013
CENPK1137D_3979,-0.979694213071784,-0.887921465777857,-1.16190387392931
CENPK1137D_2801,-0.77585330788213,-0.838731162859817,-1.0714407547309
CENPK1137D_4048,-0.91428544866872,-0.791216729720019,-0.783112336084919
CENPK1137D_3977,-0.828624262113969,-1.08996241522336,-0.84641709457928
CENPK1137D_1249,-0.942809383627247,-0.761338197232988,-0.810067197476839
CENPK1137D_3221,-0.941298254999488,-0.809855431653492,-0.987133076691106
