OG_ID	CLIB122	W29
OG0000805	YALI0_D07612g	YALI1_D09831g
OG0000806	YALI0_C22319g	YALI1_C30683g
OG0000807	YALI0_A08261g	YALI1_A07977g
OG0000808	YALI0_B00132g	YALI1_B00082g
OG0000809	YALI0_E18282g	YALI1_E21983g
OG0000810	YALI0_E15532g	YALI1_E18713g
OG0000811	YALI0_B14993g	YALI1_B19713g
OG0000813	YALI0_D09955g	YALI1_D12626g
OG0000814	YALI0_D26532g	YALI1_D35096g
OG0000815	YALI0_D26213g	YALI1_D34643g
OG0000816	YALI0_E32285g	YALI1_E38239g
OG0000817	YALI0_C09372g	YALI1_C13026g
OG0000818	YALI0_D22110g	YALI1_D27912g
OG0000819	YALI0_C14828g	YALI1_C20646g
OG0000820	YALI0_E33957g	YALI1_E40305g
OG0000821	YALI0_B03278g	YALI1_B04779g
OG0000822	YALI0_A16775g	YALI1_A16745g
OG0000823	YALI0_C08635g	YALI1_C11862g
OG0000824	YALI0_C13244g	YALI1_C18478g
OG0000825	YALI0_D09119g	YALI1_D11614g
OG0000826	YALI0_E03388g	YALI1_E04033g
OG0000827	YALI0_C21186g	YALI1_C29261g
OG0000828	YALI0_A06677g	YALI1_A06381g
OG0000829	YALI0_F19646g	YALI1_F26108g
OG0000830	YALI0_E06699g	YALI1_E08043g
OG0000831	YALI0_B09669g	YALI1_B13041g
OG0000832	YALI0_F25267g	YALI1_F32565g
OG0000833	YALI0_B05126g	YALI1_B07094g
OG0000834	YALI0_B22616g	YALI1_B29528g
OG0000835	YALI0_E12177g	YALI1_E15074g
OG0000836	YALI0_D26367g	YALI1_D34865g
OG0000837	YALI0_C24013g	YALI1_C33071g
OG0000838	YALI0_C23474g	YALI1_C32392g
OG0000839	YALI0_B16676g	YALI1_B21737g
OG0000840	YALI0_B17886g	YALI1_B23176g
OG0000841	YALI0_B05610g	YALI1_B07652g
OG0000842	YALI0_B04048g	YALI1_B05438g
OG0000843	YALI0_F02046g	YALI1_F03215g
OG0000844	YALI0_E25960g	YALI1_E30759g
OG0000845	YALI0_D16335g	YALI1_D20202g
OG0000846	YALI0_E33341g	YALI1_E39439g
OG0000847	YALI0_D20152g	YALI1_D25450g
OG0000848	YALI0_E08536g	YALI1_E10364g
OG0000849	YALI0_D00605g	YALI1_D00614g
OG0000850	YALI0_C21648g	YALI1_C29926g
OG0000851	YALI0_E34507g	YALI1_E40970g
OG0000852	YALI0_C03091g	YALI1_C04162g
OG0000853	YALI0_B10890g	YALI1_B14573g
OG0000854	YALI0_A02409g	YALI1_A02895g
OG0000855	YALI0_A07777g	YALI1_A07318g
OG0000856	YALI0_F04620g	YALI1_F07093g
OG0000857	YALI0_B09053g	YALI1_B12195g
OG0000858	YALI0_D11704g	YALI1_D14532g
OG0000859	YALI0_F06688g	YALI1_F09846g
OG0000860	YALI0_D20394g	YALI1_D25813g
OG0000861	YALI0_E06413g	YALI1_E07601g
OG0000862	YALI0_B07579g	YALI1_B09894g
OG0000863	YALI0_F20218g	YALI1_F26873g
OG0000864	YALI0_E00594g	YALI1_E00963g
OG0000865	YALI0_D24321g	YALI1_D32013g
OG0000866	YALI0_D02189g	YALI1_D02499g
OG0000867	YALI0_B03850g	YALI1_B05282g
OG0000868	YALI0_B20394g	YALI1_B26715g
OG0000869	YALI0_F25641g	YALI1_F32969g
OG0000870	YALI0_E27918g	YALI1_E33002g
OG0000871	YALI0_F09317g	YALI1_F12951g
OG0000872	YALI0_A06369g	YALI1_A06073g
OG0000873	YALI0_E34727g	YALI1_E41206g
OG0000874	YALI0_A15400g	YALI1_A15482g
OG0000875	YALI0_F02783g	YALI1_F04027g
OG0000876	YALI0_D21230g	YALI1_D26844g
OG0000877	YALI0_F05258g	YALI1_F07881g
OG0000878	YALI0_C03674g	YALI1_C04882g
OG0000879	YALI0_F03567g	YALI1_F05089g
OG0000880	YALI0_C11781g	YALI1_C16431g
OG0000881	YALI0_C23540g	YALI1_C32483g
OG0000882	YALI0_F08063g	YALI1_F11396g
OG0000883	YALI0_D06259g	YALI1_D08031g
OG0000884	YALI0_B17996g	YALI1_B23300g
OG0000885	YALI0_E26191g	YALI1_E31050g
OG0000886	YALI0_E32329g	YALI1_E38266g
OG0000887	YALI0_C09504g	YALI1_C13186g
OG0000888	YALI0_D04070g	YALI1_D05099g
OG0000889	YALI0_F08833g	YALI1_F12330g
OG0000890	YALI0_E03740g	YALI1_E04531g
OG0000891	YALI0_F03498g	YALI1_F04938g
OG0000892	YALI0_F29359g	YALI1_F36996g
OG0000893	YALI0_D12452g	YALI1_D15523g
OG0000894	YALI0_A08338g	YALI1_A08049g
OG0000895	YALI0_D13772g	YALI1_D17090g
OG0000896	YALI0_A19712g	YALI1_A20793g
OG0000897	YALI0_F04312g	YALI1_F06628g
OG0000898	YALI0_E25069g	YALI1_E30014g
OG0000899	YALI0_E03300g	YALI1_E03973g
OG0000900	YALI0_C11407g	YALI1_C15991g
OG0000901	YALI0_B12386g	YALI1_B16309g
OG0000902	YALI0_A20966g	YALI1_A22008g
OG0000903	YALI0_D10234g	YALI1_D12909g
OG0000904	YALI0_C01199g	YALI1_C01675g
OG0000905	YALI0_C24376g	YALI1_C33427g
OG0000906	YALI0_D08448g	YALI1_D10858g
OG0000907	YALI0_C05533g	YALI1_C07077g
OG0000908	YALI0_C16995g	YALI1_C24367g
OG0000909	YALI0_D02563g	YALI1_D03091g
OG0000910	YALI0_B14421g	YALI1_B18971g
OG0000911	YALI0_D07502g	YALI1_D09623g
OG0000912	YALI0_F15873g	YALI1_F21362g
OG0000913	YALI0_E15554g	YALI1_E18720g
