genes	orthology
KMXK_0G03730	GroupIV
KMXK_0B04700	GroupIV
KMXK_0A03140	GroupIV
KMXK_0G03270	GroupIV
KMXK_0C00170	GroupIV
KMXK_0G01270	GroupIV
KMXK_0A01360	GroupIV
KMXK_0D02420	GroupIV
KMXK_0E03320	GroupIV
KMXK_0G00680	GroupIV
KMXK_0E01400	GroupIV
KMXK_0E05880	GroupIV
KMXK_0F05790	GroupIV
KMXK_0B07070	GroupIV
KMXK_0F02520	GroupIV
KMXK_0A05140	GroupIV
KMXK_0H02550	GroupIV
KMXK_0A01280	GroupIV
KMXK_0B00160	GroupIV
KMXK_0G03670	GroupIV
KMXK_0E02770	GroupIV
KMXK_0F04390	GroupIV
KMXK_0A06340	GroupIV
KMXK_0H03590	GroupIV
KMXK_0F03950	GroupIV
KMXK_0A07850	GroupIV
KMXK_0C01370	GroupIV
KMXK_0F02700	GroupIV
KMXK_0G01420	GroupIV
KMXK_0C04170	GroupIV
KMXK_0C00190	GroupIV
KMXK_0F03060	GroupIV
KMXK_0G00120	GroupIV
KMXK_0D02960	GroupIV
KMXK_0E02710	GroupIV
KMXK_0A00370	GroupIV
KMXK_0C00850	GroupIV
KMXK_0C06410	GroupIV
KMXK_0E03710	GroupIV
KMXK_0B02760	GroupIV
KMXK_0A04960	GroupIV
KMXK_0H04310	GroupIV
KMXK_0A05080	GroupIV
KMXK_0A01670	GroupIV
KMXK_0F03580	GroupIV
KMXK_0H04280	GroupIV
KMXK_0B03110	GroupIV
KMXK_0A06810	GroupIV
KMXK_0B03940	GroupIV
KMXK_0C04790	GroupIV
KMXK_0D05440	GroupIV
KMXK_0F01440	GroupIV
KMXK_0A02040	GroupIV
KMXK_0E03540	GroupIV
KMXK_0A07100	GroupIV
KMXK_0C03410	GroupIV
KMXK_0F03530	GroupIV
KMXK_0A02550	GroupIV
KMXK_0A03260	GroupIV
KMXK_0C05980	GroupIV
KMXK_0F04690	GroupIV
KMXK_0A08260	GroupIV
KMXK_0A03240	GroupIV
KMXK_0D02550	GroupIV
KMXK_0C00380	GroupIV
