genes DMKU	genes CBS6556
KLMA_10005	KMXK_0E06320
KLMA_10010	KMXK_0A08370
KLMA_10015	KMXK_0A08320
KLMA_10020	KMXK_0A08290
KLMA_10025	KMXK_0A08240
KLMA_10030	KMXK_0A08190
KLMA_10035	KMXK_0A08140
KLMA_10040	
KLMA_10045	KMXK_0A08070
KLMA_10050	KMXK_0A08020
KLMA_10055	KMXK_0A07970
KLMA_10060	KMXK_0A07920
KLMA_10065	KMXK_0A07870
KLMA_10070	KMXK_0A07820
KLMA_10075	KMXK_0A07770
KLMA_10080	KMXK_0A07720
KLMA_10085	KMXK_0A07670
KLMA_10090	KMXK_0A07630
KLMA_10095	KMXK_0A07580
KLMA_10100	KMXK_0A07530
KLMA_10110	KMXK_0A07440
KLMA_10115	KMXK_0A07390
KLMA_10120	KMXK_0A07340
KLMA_10125	KMXK_0A07290
KLMA_10130	KMXK_0A07240
KLMA_10135	KMXK_0A07190
KLMA_10140	KMXK_0A07140
KLMA_10145	KMXK_0A07110
KLMA_10150	KMXK_0A07050
KLMA_10155	KMXK_0A07000
KLMA_10160	KMXK_0A06950
KLMA_10003	
KLMA_10008	KMXK_0A08390
KLMA_10013	
KLMA_10018	KMXK_0A08300
KLMA_10165	KMXK_0A06900
KLMA_10023	KMXK_0A08260
KLMA_10170	KMXK_0A06850
KLMA_10028	KMXK_0A08210
KLMA_10175	KMXK_0A06800
KLMA_10033	KMXK_0A08160
KLMA_10180	KMXK_0A06750
KLMA_10185	KMXK_0A06700
KLMA_10038	KMXK_0A08110
KLMA_10190	KMXK_0A06650
KLMA_10043	KMXK_0A08090
KLMA_10195	KMXK_0A06610
KLMA_10048	KMXK_0A08040
KLMA_10053	KMXK_0A07990
KLMA_10210	KMXK_0A06480
KLMA_10058	KMXK_0A07940
KLMA_10215	KMXK_0A06430
KLMA_10063	KMXK_0A07890
KLMA_10220	KMXK_0A06380
KLMA_10225 KLMA_50134	KMXK_0A06330
	KMXK_0E01420
KLMA_10068	KMXK_0A07840
KLMA_10073	KMXK_0A07790
KLMA_10235	KMXK_0A06240
KLMA_10078	KMXK_0A07740
KLMA_10240	KMXK_0A06190
KLMA_10083	KMXK_0A07690
KLMA_10245	KMXK_0A06130
KLMA_10088	KMXK_0A07650
KLMA_10250	KMXK_0A06080
KLMA_10093	KMXK_0A07600
KLMA_10255	KMXK_0A06040
KLMA_10260	KMXK_0A05990
KLMA_10098	KMXK_0A07550
KLMA_10265	KMXK_0A05950
KLMA_10270	KMXK_0A05900
KLMA_10103	KMXK_0A07500
KLMA_10275	KMXK_0A05850
KLMA_10108	KMXK_0A07460
KLMA_10280	KMXK_0A05800
KLMA_10113	KMXK_0A07410
KLMA_10285	KMXK_0A05750
KLMA_10118	KMXK_0A07360
KLMA_10290	KMXK_0A05720
KLMA_10123	KMXK_0A07310
KLMA_10295	KMXK_0A05680
KLMA_10128	KMXK_0A07260
KLMA_10300	KMXK_0A05630
KLMA_10305	KMXK_0A05580
KLMA_10133	KMXK_0A07210
KLMA_10310	KMXK_0A05530
KLMA_10138	KMXK_0A07160
KLMA_10315	KMXK_0A05480
KLMA_10320	KMXK_0A05420
KLMA_10148	KMXK_0A07070
KLMA_10325	KMXK_0A05370
KLMA_10153	KMXK_0A07020
KLMA_10330	KMXK_0A05320
KLMA_10158	KMXK_0A06970
KLMA_10163	KMXK_0A06920
KLMA_10345	KMXK_0A05180
KLMA_10350	KMXK_0A05120
KLMA_10355	
KLMA_10360	KMXK_0A05030
KLMA_10168	KMXK_0A06870
KLMA_10365	KMXK_0A04980
KLMA_10370	KMXK_0A04930
KLMA_10375	KMXK_0A04880
KLMA_10380	KMXK_0A04840
KLMA_10385	KMXK_0A04770
KLMA_10173	KMXK_0A06820
KLMA_10390	KMXK_0A04720
KLMA_10178	KMXK_0A06770
KLMA_10395	KMXK_0A04650
KLMA_10183	KMXK_0A06720
KLMA_10400	KMXK_0A04390
KLMA_10405	KMXK_0A04340
KLMA_10188	KMXK_0A06670
KLMA_10410	KMXK_0A04280
KLMA_10415	KMXK_0A04230
KLMA_10203	
KLMA_10420	KMXK_0A04170
KLMA_10208	KMXK_0A06500
KLMA_10425	KMXK_0A04120
KLMA_10213	KMXK_0A06450
KLMA_10430	KMXK_0A04050
KLMA_10218	KMXK_0A06400
KLMA_10435	KMXK_0A04000
KLMA_10223	KMXK_0A06350
KLMA_10440	KMXK_0A03950
KLMA_10228	KMXK_0A06300
KLMA_10445	KMXK_0A03900
KLMA_10233	KMXK_0A06260
KLMA_10450	KMXK_0A03860
KLMA_10238	KMXK_0A06210
KLMA_10243	KMXK_0A06150
KLMA_10460	KMXK_0A03770
KLMA_10248	KMXK_0A06100
KLMA_10465	KMXK_0A03720
KLMA_10253	KMXK_0A06050
KLMA_10258	KMXK_0A06010
KLMA_10475	KMXK_0A03640
KLMA_10263	KMXK_0A05960
KLMA_10480	KMXK_0A03590
KLMA_10268	KMXK_0A05920
KLMA_10273	KMXK_0A05870
KLMA_10278	KMXK_0A05820
KLMA_10495	KMXK_0A03460
KLMA_10283	KMXK_0A05770
KLMA_10500	KMXK_0A03410
KLMA_10505	KMXK_0A03360
KLMA_10293	KMXK_0A05700
KLMA_10510	KMXK_0A03310
KLMA_10298	KMXK_0A05650
KLMA_10515	KMXK_0A03260
KLMA_10303	KMXK_0A05600
KLMA_10520	KMXK_0A03210
KLMA_10308	KMXK_0A05550
KLMA_10525	KMXK_0A03150
KLMA_10313	KMXK_0A05500
KLMA_10530	KMXK_0A03110
KLMA_10318	
KLMA_10535	KMXK_0A03060
KLMA_10323	KMXK_0A05390
KLMA_10540	KMXK_0A03010
KLMA_10328	KMXK_0A05340
KLMA_10545	KMXK_0A02960
KLMA_10333	KMXK_0A05290
KLMA_10550	KMXK_0A02890
KLMA_10338	KMXK_0A05260
KLMA_10343	KMXK_0A05200
KLMA_10560	KMXK_0A02800
KLMA_10001	
KLMA_10348	KMXK_0A05140
KLMA_10565	KMXK_0A02740
KLMA_10353	KMXK_0A05090
KLMA_10006	
KLMA_10358	KMXK_0A05050
KLMA_10570	KMXK_0A02690
KLMA_10011	KMXK_0A08360
KLMA_10363	KMXK_0A05000
KLMA_10575	KMXK_0A02640
KLMA_10016	KMXK_0A08310
KLMA_10368	KMXK_0A04950
KLMA_10021	KMXK_0A08280
KLMA_10580	KMXK_0A02590
KLMA_10373	KMXK_0A04900
KLMA_10026	KMXK_0A08230
KLMA_10378	KMXK_0A04860
KLMA_10585	KMXK_0A02540
KLMA_10383	KMXK_0A04790
KLMA_10031	KMXK_0A08180
KLMA_10590	KMXK_0A02490
KLMA_10388	KMXK_0A04740
KLMA_10595	KMXK_0A02440
KLMA_10036	KMXK_0A08130
KLMA_10393	KMXK_0A04680
KLMA_10041	
KLMA_10600	KMXK_0A02390
KLMA_10398	KMXK_0A04410
KLMA_10046	KMXK_0A08060
KLMA_10605	KMXK_0A02340
KLMA_10403	KMXK_0A04360
KLMA_10051	KMXK_0A08010
KLMA_10610	KMXK_0A02290
KLMA_10408	KMXK_0A04300
KLMA_10056	KMXK_0A07960
KLMA_10615	KMXK_0A02240
KLMA_10413	KMXK_0A04250
KLMA_10061	
KLMA_10418	KMXK_0A04200
KLMA_10620	KMXK_0A02190
KLMA_10066	KMXK_0A07860
KLMA_10423	
KLMA_10625	KMXK_0A02140
KLMA_10071	KMXK_0A07810
KLMA_10428	KMXK_0A04080
KLMA_10630	KMXK_0A02090
KLMA_10076	KMXK_0A07760
KLMA_10433	KMXK_0A04020
KLMA_10635	KMXK_0A02040
KLMA_10081	KMXK_0A07710
KLMA_10438	KMXK_0A03970
KLMA_10640	KMXK_0A01990
KLMA_10086	KMXK_0A07660
KLMA_10443	KMXK_0A03920
KLMA_10645	KMXK_0A01950
KLMA_10091	KMXK_0A07620
KLMA_10448	KMXK_0A03880
KLMA_10650	KMXK_0A01900
KLMA_10096	KMXK_0A07570
KLMA_10453	KMXK_0A03830
KLMA_10655	KMXK_0A01850
KLMA_10101	KMXK_0A07520
KLMA_10458	KMXK_0A03790
KLMA_10660	KMXK_0A01800
KLMA_10463	KMXK_0A03740
KLMA_10106	KMXK_0A07480
KLMA_10468	KMXK_0A03690
KLMA_10111	KMXK_0A07430
KLMA_10473	KMXK_0A03650
KLMA_10116	KMXK_0A07380
KLMA_10478	KMXK_0A03610
KLMA_10121	KMXK_0A07330
KLMA_10483	KMXK_0A03560
KLMA_10126	KMXK_0A07280
KLMA_10488	KMXK_0A03520
KLMA_10131	KMXK_0A07230
KLMA_10493	KMXK_0A03480
KLMA_10136	KMXK_0A07180
KLMA_10498	KMXK_0A03430
KLMA_10670	KMXK_0A01700
KLMA_10141	KMXK_0A07130
KLMA_10503	KMXK_0A03380
KLMA_10146	KMXK_0A07100
KLMA_10675	KMXK_0A01650
KLMA_10508	KMXK_0A03330
KLMA_10680	KMXK_0A01600
KLMA_10151	KMXK_0A07040
KLMA_10513	KMXK_0A03280
KLMA_10685	KMXK_0A01550
KLMA_10156	KMXK_0A06990
KLMA_10518	KMXK_0A03230
KLMA_10690	KMXK_0A01500
KLMA_10161	KMXK_0A06940
KLMA_10523	KMXK_0A03170
KLMA_10695	KMXK_0A01450
KLMA_10528	KMXK_0A03120
KLMA_10700	KMXK_0A01400
KLMA_10533	KMXK_0A03080
KLMA_10705	KMXK_0A01350
KLMA_10538	
KLMA_10710	KMXK_0A01300
KLMA_10166	KMXK_0A06890
KLMA_10715	KMXK_0A01250
KLMA_10543	KMXK_0A02980
KLMA_10720	KMXK_0A01200
KLMA_10548	KMXK_0A02910
KLMA_10725	KMXK_0A01150
