genes	orthology
YOR153W	4
YDR406W	4
YJR156C	4
YNL332W	4
YDL244W	4
YFL058W	4
YOR328W	4
YLR044C	4
YPL258C	4
YPR121W	4
YGR087C	4
YLR134W	4
YOL055C	4
YLR237W	4
YOR071C	4
YOR192C	4
YNL117W	4
YIR031C	4
YER056C	4
YJL190C	4
YLR367W	4
YPL036W	4
YGL008C	4
YPR013C	4
YKL081W	4
YMR043W	4
YOR374W	4
YPL074W	4
YHR031C	4
YMR205C	4
YHR050W	4
YOR290C	4
YMR089C	4
YBR139W	4
YPL048W	4
YOL122C	4
YPR015C	4
YBR244W	4
YLR034C	4
YMR238W	4
YPL270W	4
YAL054C	4
YLL015W	4
YDR541C	4
YOL151W	4
YKL046C	4
YER017C	4
YFL041W	4
YGR199W	4
YOL084W	4
YBL042C	4
YMR095C	4
YNR067C	4
YMR058W	4
YLR144C	4
YGR066C	4
YER073W	4
YOR384W	4
YGR191W	4
YBR205W	4
YIL015W	4
YGR240C	4
YLL054C	4
YOR099W	4
YDL049C	4
YLR307W	4
YMR096W	4
YER047C	4
YJL158C	4
YIL130W	4
YDR533C	4
YJL174W	4
YPL061W	4
YMR136W	4
YOR385W	4
YMR316W	4
YBR264C	4
YJL151C	4
YBR059C	4
YPL179W	4
YMR054W	4
YLR343W	4
YER123W	4
YKL222C	4
YOR162C	4
YPL264C	4
YDL197C	4
YER087C-B	4
YFL021W	4
YMR253C	4
YMR018W	4
YKR014C	4
YDL080C	4
YMR318C	4
YEL066W	4
YCR018C	4
YNR059W	4
YGL257C	4
YEL065W	4
YIR039C	4
YAL061W	4
YHL040C	4
YER185W	4
YKR067W	4
YGL035C	4
YBR033W	4
YGR289C	4
YBR076W	4
YKR015C	4
YOR097C	4
YJL043W	4
YPR106W	4
YDR461W	4
YGR177C	4
YDR420W	4
YOR377W	4
YLR369W	4
YEL033W	4
YOR177C	4
YGL263W	4
YCL049C	4
YGR153W	4
YMR017W	4
YEL057C	4
YKR101W	4
YPR005C	4
YOR383C	4
YMR255W	4
YJL038C	4
YMR251W-A	4
YOR382W	4
YDR281C	4
YER084W	4
YML053C	4
YDR461C-A	4
YOL015W	4
YPL027W	4
YMR030W	4
YLR154C	4
YJL217W	4
YHR126C	4
YOR012W	4
YGR161W-C	4
YFR012W-A	4
YCL021W-A	4
YLL022C	4
YKL023W	4
YML058W-A	4
YHR153C	4
YOL159C-A	4
YHR157W	4
