Orthogroup	CLIB122 Uniprot	Combined W29 annotations
OG0000188	Q12724	YALI1_E31685g
OG0000189	Q6CBQ8	YALI1_C23526g
OG0000190	P41923	YALI1_F28485g
OG0000191	Q6C2E3	YALI1_F12013g
OG0000192	Q6C3K7	YALI1_E40361g
OG0000193	Q6CFE7	YALI1_B10145g
OG0000194	Q6CF20	YALI1_B14680g
OG0000195	Q6CE69	YALI1_B23420g
OG0000196	Q6C9C4	YALI1_D15333g
OG0000197	Q6C6S3	YALI1_E08071g
OG0000198	Q6CG11	YALI1_B02806g
OG0000199	Q6CHA2	YALI1_A10907g
OG0000200	Q6C7F7	YALI1_E01694g
OG0000201	Q6CDX0	YALI1_B26926g
OG0000202	Q6CDD0	YALI1_C02086g
OG0000203	Q6CBS3	YALI1_C23050g
OG0000204	Q6C882	YALI1_D27718g
OG0000205	Q99150	YALI1_F05661g
OG0000206	Q6C3D7	YALI1_F00894g
OG0000207	Q6C233	YALI1_F14900g
OG0000208	Q6CCB0	YALI1_C15398g
OG0000209	Q6CAC7	YALI1_D05019g
OG0000210	Q6C195	YALI1_F24151g
OG0000211	Q6C7C3	YALI1_E02454g
OG0000212	Q6C4R5	YALI1_E28964g
OG0000213	Q6CC84	YALI1_C16204g
OG0000214	Q6C931	YALI1_D17899g
OG0000215	Q6CBN5	YALI1_C24303g
OG0000216	Q6C9X0	YALI1_D09956g
OG0000217	Q6C193	YALI1_F24173g
OG0000218	Q6CH63	YALI1_A12245g
OG0000219	Q6C7G8	YALI1_E01392g
OG0000220	Q6CDV6	YALI1_B27280g
OG0000221	Q6C5R2	YALI1_E19082g
OG0000222	Q6C712	YALI1_E05602g
OG0000223	Q6CFX5	YALI1_B04212g
OG0000224	Q99148	YALI1_F27904g
OG0000225	Q6C709	YALI1_E05664g
OG0000226	Q6C9T0	YALI1_D11087g
OG0000227	Q6C662	YALI1_E14988g
OG0000228	Q6C070	YALI1_F34712g
OG0000229	Q6C5G5	YALI1_E21962g
OG0000230	Q6C9N2	YALI1_D12355g
OG0000231	Q6C0I0	YALI1_F31866g
OG0000232	Q6CEU8	YALI1_B16944g
OG0000233	Q6C7D7	YALI1_E02231g
OG0000234	Q6C3L4	YALI1_E40144g
OG0000235	Q6C2S9	YALI1_F08170g
OG0000236	P41924	YALI1_E27207g
OG0000237	Q6BZX5	YALI1_F37734g
OG0000238	Q6C880	YALI1_D27762g
OG0000239	Q6CEV2	YALI1_B16735g
OG0000240	Q6CHN0	YALI1_A06672g
OG0000241	Q6CB54	YALI1_C30130g
OG0000242	Q6CAG9	YALI1_D03647g
OG0000243	Q6C5L5	YALI1_E20269g
OG0000244	P41925	YALI1_A04576g
OG0000245	Q6C519	YALI1_E25812g
OG0000246	Q6C3B0	YALI1_F01897g
OG0000247	P78979	YALI1_E25905g
OG0000248	Q6C5K4	YALI1_E20596g
OG0000249	Q6C202	YALI1_F15793g
OG0000250	P45816	YALI1_D05633g
OG0000251	Q99161	YALI1_B22697g
OG0000252	Q6C5G0	YALI1_E22070g
OG0000253	Q9HFC7	YALI1_F11878g
OG0000254	Q6CAD1	YALI1_D04901g
OG0000255	Q6C417	YALI1_E35934g
OG0000256	Q6C6I3	YALI1_E11441g
OG0000257	Q6C2T4	YALI1_F07938g
OG0000258	P41922	YALI1_F28467g
OG0000259	Q6C9R9	YALI1_D11354g
OG0000260	Q6CGV4	YALI1_A15846g
OG0000261	Q6C9Q1	YALI1_D11722g
OG0000262	Q6C9Q9	YALI1_D11592g
OG0000263	Q6CAC5	YALI1_D05070g
OG0000264	Q99158	YALI1_E38706g
OG0000265	Q6CE80	YALI1_B23061g
OG0000266	Q6C0W7	YALI1_F28015g
OG0000267	Q6CFK6	YALI1_B08193g
OG0000268	Q6CHJ8	YALI1_A07668g
OG0000269	Q6CEK8	YALI1_B19520g
OG0000270	Q6C9E7	YALI1_D14628g
OG0000271	Q6C100	YALI1_F27101g
OG0000272	Q6CAW5	YALI1_C32823g
OG0000273	B5RSM1	YALI1_F33587g
OG0000274	Q6CAR6	YALI1_D00577g
OG0000275	Q6CFW4	YALI1_B04502g
OG0000276	Q6C7Y5	YALI1_D32070g
OG0000277	Q6C331	YALI1_F04259g
OG0000278	Q6BZX4	YALI1_F37742g
OG0000279	Q6C7D0	YALI1_E02355g
OG0000280	Q05493	YALI1_E22238g
OG0000281	Q6C1B5	YALI1_F23474g
OG0000282	Q6CD24	YALI1_C05820g
OG0000283	Q6C9M6	YALI1_D12543g
OG0000284	Q6L8K7	YALI1_E13899g
OG0000285	Q6C9I6	YALI1_D13686g
OG0000286	Q6C835	YALI1_D29831g
OG0000287	Q6CGD1	YALI1_A21345g
OG0000288	Q6C7X8	YALI1_D32424g
OG0000289	Q6BZR4	YALI1_F39128g
OG0000290	Q6C4D4	YALI1_E32664g
OG0000291	Q6C799	YALI1_E03163g
OG0000292	Q6CER3	YALI1_B18205g
OG0000293	Q6C9P3	YALI1_D12056g
OG0000294	Q6C0B6	YALI1_F33594g
OG0000295	Q6CDN5	YALI1_B29505g
OG0000296	Q6CGR3	YALI1_A17123g
OG0000297	Q6C3X7	YALI1_E37026g
OG0000298	Q6C1V6	YALI1_F17496g
OG0000299	Q6C315	YALI1_F04848g
OG0000300	Q6CD56	YALI1_C04798g
OG0000301	Q37695	YALI1_M00318g
OG0000302	Q6C7D6	YALI1_E02239g
OG0000303	Q6C101	YALI1_F27099g
OG0000304	Q6C187	YALI1_F24359g
OG0000305	Q6C7K5	YALI1_D35965g
OG0000306	Q6C061	YALI1_F34928g
OG0000307	Q6CHT7	YALI1_A05220g
OG0000308	Q6CF49	YALI1_B13888g
OG0000309	Q6BZT5	YALI1_F38684g
OG0000310	Q6C074	YALI1_F34625g
OG0000311	Q92389	YALI1_B07696g
OG0000312	Q6CAX3	YALI1_C32633g
OG0000313	Q6C1L4	YALI1_F20457g
OG0000314	Q6C703	YALI1_E05767g
OG0000315	Q6C4K3	YALI1_E30942g
OG0000316	Q6C0M9	YALI1_F30559g
