genes	orthology
YALI1_E41699g	GroupIV
YALI1_E12206g	GroupIV
YALI1_F37320g	GroupIV
YALI1_F27791g	GroupIV
YALI1_C09750g	GroupIV
YALI1_F39426g	GroupIV
YALI1_A09064g	GroupIV
YALI1_A12099g	GroupIV
YALI1_F18459g	GroupIV
YALI1_A21175g	GroupIV
YALI1_E27649g	GroupIV
YALI1_E06535g	GroupIV
YALI1_C05296g	GroupIV
YALI1_A13737g	GroupIV
YALI1_B12489g	GroupIV
YALI1_A08073g	GroupIV
YALI1_E10951g	GroupIV
YALI1_A21057g	GroupIV
YALI1_C08748g	GroupIV
YALI1_F31215g	GroupIV
YALI1_C29902g	GroupIV
YALI1_D27235g	GroupIV
YALI1_F02199g	GroupIV
YALI1_B02415g	GroupIV
YALI1_E34163g	GroupIV
YALI1_B19153g	GroupIV
YALI1_F18429g	GroupIV
YALI1_E00628g	GroupIV
YALI1_E41251g	GroupIV
YALI1_B21493g	GroupIV
YALI1_A13555g	GroupIV
YALI1_E11181g	GroupIV
YALI1_C08523g	GroupIV
YALI1_C25512g	GroupIV
YALI1_B08783g	GroupIV
YALI1_A06099g	GroupIV
YALI1_E40671g	GroupIV
YALI1_C04067g	GroupIV
YALI1_F38432g	GroupIV
YALI1_B22375g	GroupIV
YALI1_E38034g	GroupIV
YALI1_E17355g	GroupIV
YALI1_A16422g	GroupIV
YALI1_B13556g	GroupIV
YALI1_D00094g	GroupIV
YALI1_E18480g	GroupIV
YALI1_E08620g	GroupIV
YALI1_D25178g	GroupIV
YALI1_C11131g	GroupIV
YALI1_F24031g	GroupIV
YALI1_C31199g	GroupIV
YALI1_A15784g	GroupIV
YALI1_C16932g	GroupIV
YALI1_D12050g	GroupIV
YALI1_D01404g	GroupIV
YALI1_B08493g	GroupIV
YALI1_A11654g	GroupIV
YALI1_D22274g	GroupIV
YALI1_D17930g	GroupIV
YALI1_A17234g	GroupIV
YALI1_C00826g	GroupIV
YALI1_B09090g	GroupIV
YALI1_D07049g	GroupIV
YALI1_C01106g	GroupIV
YALI1_A06416g	GroupIV
YALI1_B17990g	GroupIV
YALI1_D10535g	GroupIV
YALI1_A10708g	GroupIV
YALI1_C29066g	GroupIV
YALI1_E27441g	GroupIV
YALI1_F24929g	GroupIV
YALI1_F32880g	GroupIV
YALI1_F28915g	GroupIV
YALI1_D34232g	GroupIV
YALI1_B14441g	GroupIV
YALI1_E27383g	GroupIV
YALI1_F18835g	GroupIV
YALI1_B02283g	GroupIV
YALI1_F31070g	GroupIV
YALI1_B08461g	GroupIV
YALI1_C10762g	GroupIV
YALI1_A12540g	GroupIV
YALI1_F36584g	GroupIV
YALI1_F21467g	GroupIV
YALI1_B29419g	GroupIV
YALI1_E17326g	GroupIV
YALI1_B26033g	GroupIV
YALI1_C29538g	GroupIV
YALI1_E39128g	GroupIV
YALI1_C21946g	GroupIV
YALI1_B26845g	GroupIV
YALI1_E24245g	GroupIV
YALI1_A16292g	GroupIV
YALI1_D33961g	GroupIV
YALI1_E21128g	GroupIV
YALI1_D17462g	GroupIV
YALI1_C07894g	GroupIV
YALI1_E32315g	GroupIV
YALI1_C28370g	GroupIV
YALI1_A15227g	GroupIV
YALI1_F17569g	GroupIV
YALI1_B09211g	GroupIV
YALI1_D05111g	GroupIV
YALI1_E39414g	GroupIV
YALI1_F33714g	GroupIV
YALI1_D00376g	GroupIV
YALI1_A02335g	GroupIV
YALI1_B28394g	GroupIV
YALI1_E22041g	GroupIV
YALI1_D23237g	GroupIV
YALI1_E05446g	GroupIV
YALI1_E35168g	GroupIV
YALI1_A19795g	GroupIV
YALI1_D07486g	GroupIV
YALI1_C24165g	GroupIV
YALI1_F21908g	GroupIV
YALI1_A19398g	GroupIV
YALI1_C01043g	GroupIV
YALI1_C05972g	GroupIV
YALI1_E32423g	GroupIV
YALI1_D27057g	GroupIV
YALI1_C31549g	GroupIV
YALI1_C32294g	GroupIV
YALI1_D23622g	GroupIV
YALI1_A03907g	GroupIV
YALI1_C00852g	GroupIV
YALI1_B12295g	GroupIV
YALI1_C29302g	GroupIV
YALI1_A10039g	GroupIV
YALI1_A03137g	GroupIV
YALI1_F14827g	GroupIV
YALI1_D02345g	GroupIV
YALI1_E21364g	GroupIV
YALI1_E24719g	GroupIV
YALI1_F28393g	GroupIV
YALI1_C00331g	GroupIV
YALI1_E06220g	GroupIV
YALI1_C20255g	GroupIV
YALI1_D03329g	GroupIV
YALI1_B08094g	GroupIV
YALI1_D08648g	GroupIV
YALI1_A09787g	GroupIV
YALI1_D16843g	GroupIV
YALI1_D28064g	GroupIV
YALI1_A08467g	GroupIV
YALI1_C32914g	GroupIV
YALI1_A09741g	GroupIV
YALI1_A05355g	GroupIV
YALI1_A09397g	GroupIV
YALI1_E04531g	GroupIV
YALI1_D16997g	GroupIV
YALI1_A11114g	GroupIV
YALI1_D30899g	GroupIV
YALI1_F37272g	GroupIV
YALI1_C02866g	GroupIV
YALI1_B27685g	GroupIV
YALI1_E08104g	GroupIV
YALI1_E08733g	GroupIV
YALI1_B23201g	GroupIV
YALI1_D09238g	GroupIV
YALI1_F35508g	GroupIV
YALI1_D33919g	GroupIV
YALI1_D12858g	GroupIV
YALI1_C13578g	GroupIV
YALI1_B15887g	GroupIV
YALI1_C17904g	GroupIV
YALI1_B16375g	GroupIV
YALI1_D34933g	GroupIV
YALI1_E09329g	GroupIV
YALI1_A15105g	GroupIV
YALI1_E10295g	GroupIV
YALI1_A12772g	GroupIV
YALI1_A16681g	GroupIV
YALI1_B13328g	GroupIV
YALI1_C25391g	GroupIV
YALI1_D21256g	GroupIV
YALI1_F12649g	GroupIV
YALI1_C20793g	GroupIV
YALI1_C02332g	GroupIV
YALI1_C02117g	GroupIV
YALI1_E24735g	GroupIV
YALI1_B02430g	GroupIV
YALI1_B07696g	GroupIV
YALI1_B19323g	GroupIV
YALI1_B25868g	GroupIV
YALI1_E40603g	GroupIV
YALI1_E33799g	GroupIV
YALI1_D07888g	GroupIV
YALI1_C14106g	GroupIV
YALI1_A21236g	GroupIV
YALI1_E33459g	GroupIV
YALI1_F15568g	GroupIV
YALI1_F39494g	GroupIV
YALI1_C07028g	GroupIV
YALI1_E04719g	GroupIV
YALI1_A12617g	GroupIV
YALI1_F15291g	GroupIV
YALI1_F30593g	GroupIV
YALI1_E35249g	GroupIV
YALI1_E27997g	GroupIV
YALI1_F23551g	GroupIV
YALI1_D32111g	GroupIV
YALI1_C20364g	GroupIV
YALI1_C00368g	GroupIV
YALI1_A21477g	GroupIV
YALI1_C28551g	GroupIV
YALI1_F12810g	GroupIV
YALI1_A03450g	GroupIV
YALI1_F24798g	GroupIV
YALI1_D16891g	GroupIV
YALI1_D07344g	GroupIV
YALI1_F14933g	GroupIV
YALI1_F12562g	GroupIV
YALI1_B27179g	GroupIV
YALI1_D11514g	GroupIV
YALI1_B09002g	GroupIV
YALI1_C09260g	GroupIV
YALI1_A03029g	GroupIV
YALI1_E14762g	GroupIV
YALI1_F26519g	GroupIV
YALI1_E34686g	GroupIV
YALI1_F28333g	GroupIV
YALI1_A20283g	GroupIV
YALI1_B01030g	GroupIV
YALI1_C12317g	GroupIV
YALI1_E14619g	GroupIV
YALI1_E36789g	GroupIV
YALI1_B05282g	GroupIV
YALI1_E27600g	GroupIV
YALI1_F35274g	GroupIV
YALI1_F00534g	GroupIV
YALI1_C19316g	GroupIV
YALI1_D33168g	GroupIV
YALI1_D17829g	GroupIV
YALI1_F08514g	GroupIV
YALI1_F29139g	GroupIV
YALI1_E22840g	GroupIV
YALI1_B21104g	GroupIV
YALI1_A01537g	GroupIV
YALI1_E37234g	GroupIV
YALI1_D02014g	GroupIV
YALI1_B25833g	GroupIV
YALI1_C08952g	GroupIV
YALI1_C04201g	GroupIV
YALI1_B22158g	GroupIV
YALI1_C31649g	GroupIV
YALI1_C16431g	GroupIV
YALI1_E21443g	GroupIV
YALI1_D26218g	GroupIV
YALI1_A19898g	GroupIV
YALI1_B09497g	GroupIV
YALI1_B03225g	GroupIV
YALI1_E14068g	GroupIV
YALI1_F14107g	GroupIV
YALI1_F39199g	GroupIV
YALI1_F38450g	GroupIV
YALI1_E15629g	GroupIV
YALI1_F25649g	GroupIV
YALI1_C14369g	GroupIV
YALI1_E22414g	GroupIV
YALI1_F18979g	GroupIV
YALI1_E14080g	GroupIV
YALI1_D08971g	GroupIV
YALI1_A04976g	GroupIV
YALI1_C28997g	GroupIV
YALI1_E27313g	GroupIV
YALI1_C23150g	GroupIV
YALI1_B13641g	GroupIV
YALI1_B21675g	GroupIV
YALI1_D32880g	GroupIV
YALI1_C30235g	GroupIV
YALI1_B03807g	GroupIV
YALI1_B29844g	GroupIV
YALI1_B11878g	GroupIV
YALI1_E01463g	GroupIV
YALI1_E13495g	GroupIV
YALI1_E30431g	GroupIV
YALI1_E17389g	GroupIV
YALI1_A01905g	GroupIV
YALI1_C25703g	GroupIV
YALI1_F27304g	GroupIV
YALI1_C28686g	GroupIV
YALI1_A14368g	GroupIV
YALI1_B27929g	GroupIV
YALI1_A21871g	GroupIV
YALI1_E30561g	GroupIV
YALI1_B12154g	GroupIV
YALI1_B14013g	GroupIV
YALI1_E05489g	GroupIV
YALI1_D16471g	GroupIV
