"genes","direction"
"YALI1_B18572g","down"
"YALI1_E41251g","down"
"YALI1_E36437g","mixed"
"YALI1_E31005g","down"
"YALI1_D06131g","down"
"YALI1_E02481g","down"
"YALI1_F01078g","down"
"YALI1_F23664g","up"
"YALI1_C27543g","down"
"YALI1_B14121g","down"
"YALI1_C32886g","down"
"YALI1_B29419g","up"
"YALI1_A20995g","down"
"YALI1_B25553g","down"
"YALI1_D31155g","down"
"YALI1_A17957g","up"
"YALI1_F37463g","down"
"YALI1_E10587g","down"
"YALI1_A10857g","down"
"YALI1_A16292g","down"
"YALI1_D04128g","down"
"YALI1_C31408g","down"
"YALI1_E09241g","down"
"YALI1_A17085g","down"
"YALI1_D13510g","down"
"YALI1_B05798g","up"
"YALI1_F27871g","up"
"YALI1_E20596g","down"
"YALI1_B04540g","up"
"YALI1_D02444g","down"
"YALI1_F08392g","down"
"YALI1_F06351g","down"
