"","protein","orthogroup","Gene"
"1","A5Z2X5","S+LYT","YPR010C-A"
"2","D6VTK4","S+LYT","YFL026W"
"3","D6W196","S+LYT","YNL083W"
"4","O13297","S+LYT","YPL228W"
"5","O13516","S+LYT","YPL081W"
"6","O13525","S+LYT","YDR204W"
"7","O13547","S+LYT","YLR390W-A"
"8","O13563","S+LYT","YLR421C"
"9","O13585","S+LYT","YPR089W"
"10","O14455","S+LYT","YPL249C-A"
"11","O14464","S+LYT","YPL183W-A"
"12","O14467","S+LYT","YOR298C-A"
"13","O60200","S+LYT","YKL053C-A"
"14","O74700","S+LYT","YEL020W-A"
"15","O75012","S+LYT","YDL045W-A"
"16","O94742","S+LYT","YDR363W-A"
"17","P00044","S+LYT","YJR048W"
"18","P00045","S+LYT","YEL039C"
"19","P00127","S+LYT","YFR033C"
"20","P00128","S+LYT","YDR529C"
"21","P00163","S+LYT","Q0105"
"22","P00175","S+LYT","YML054C"
"23","P00330","S+LYT","YOL086C"
"24","P00331","S+LYT","YMR303C"
"25","P00358","S+LYT","YJR009C"
"26","P00359","S+LYT","YGR192C"
"27","P00360","S+LYT","YJL052W"
"28","P00401","S+LYT","Q0045"
"29","P00410","S+LYT","Q0250"
"30","P00420","S+LYT","Q0275"
"31","P00424","S+LYT","YNL052W"
"32","P00425","S+LYT","YIL111W"
"33","P00427","S+LYT","YHR051W"
"34","P00431","S+LYT","YKR066C"
"35","P00445","S+LYT","YJR104C"
"36","P00447","S+LYT","YHR008C"
"37","P00498","S+LYT","YER055C"
"38","P00546","S+LYT","YBR160W"
"39","P00549","S+LYT","YAL038W"
"40","P00560","S+LYT","YCR012W"
"41","P00572","S+LYT","YJR057W"
"42","P00635","S+LYT","YBR093C"
"43","P00724","S+LYT","YIL162W"
"44","P00729","S+LYT","YMR297W"
"45","P00812","S+LYT","YPL111W"
"46","P00815","S+LYT","YCL030C"
"47","P00817","S+LYT","YBR011C"
"48","P00830","S+LYT","YJR121W"
"49","P00854","S+LYT","Q0085"
"50","P00856","S+LYT","Q0080"
"51","P00890","S+LYT","YNR001C"
"52","P00899","S+LYT","YER090W"
"53","P00912","S+LYT","YDR007W"
"54","P00924","S+LYT","YGR254W"
"55","P00925","S+LYT","YHR174W"
"56","P00927","S+LYT","YER086W"
"57","P00931","S+LYT","YGL026C"
"58","P00937","S+LYT","YKL211C"
"59","P00942","S+LYT","YDR050C"
"60","P00950","S+LYT","YKL152C"
"61","P00958","S+LYT","YGR264C"
"62","P01097","S+LYT","YDL181W"
"63","P01119","S+LYT","YOR101W"
"64","P01120","S+LYT","YNL098C"
"65","P01123","S+LYT","YFL038C"
"66","P02293","S+LYT","YDR224C"
"67","P02294","S+LYT","YBL002W"
"68","P02309","S+LYT","YBR009C, YNL030W"
"69","P02400","S+LYT","YDR382W"
"70","P02406","S+LYT","YGL103W"
"71","P02407","S+LYT","YML024W"
"72","P02557","S+LYT","YFL037W"
"73","P02829","S+LYT","YPL240C"
"74","P02992","S+LYT","YOR187W"
"75","P02994","S+LYT","YPR080W, YBR118W"
"76","P03069","S+LYT","YEL009C"
"77","P03873","S+LYT","Q0110"
"78","P03877","S+LYT","Q0060"
"79","P03962","S+LYT","YEL021W"
"80","P03965","S+LYT","YJR109C"
"81","P04037","S+LYT","YGL187C"
"82","P04039","S+LYT","YLR395C"
"83","P04046","S+LYT","YMR300C"
"84","P04050","S+LYT","YDL140C"
"85","P04051","S+LYT","YOR116C"
"86","P04076","S+LYT","YHR018C"
"87","P04147","S+LYT","YER165W"
"88","P04161","S+LYT","YDR408C"
"89","P04173","S+LYT","YCL018W"
"90","P04385","S+LYT","YBR020W"
"91","P04386","S+LYT","YPL248C"
"92","P04397","S+LYT","YBR019C"
"93","P04449","S+LYT","YGL031C"
"94","P04456","S+LYT","YOL127W"
"95","P04650","S+LYT","YJL189W"
"96","P04786","S+LYT","YOL006C"
"97","P04801","S+LYT","YIL078W"
"98","P04802","S+LYT","YLL018C"
"99","P04803","S+LYT","YDR268W"
"100","P04806","S+LYT","YFR053C"
"101","P04807","S+LYT","YGL253W"
"102","P04817","S+LYT","YEL063C"
"103","P04819","S+LYT","YDL164C"
"104","P04821","S+LYT","YLR310C"
"105","P04840","S+LYT","YNL055C"
"106","P04911","S+LYT","YDR225W"
"107","P04912","S+LYT","YBL003C"
"108","P05030","S+LYT","YGL008C"
"109","P05085","S+LYT","YML099C"
"110","P05150","S+LYT","YJL088W"
"111","P05316","S+LYT","YBR021W"
"112","P05317","S+LYT","YLR340W"
"113","P05318","S+LYT","YDL081C"
"114","P05319","S+LYT","YOL039W"
"115","P05373","S+LYT","YGL040C"
"116","P05374","S+LYT","YGR157W"
"117","P05375","S+LYT","YJR073C"
"118","P05453","S+LYT","YDR172W"
"119","P05626","S+LYT","YPL078C"
"120","P05694","S+LYT","YER091C"
"121","P05737","S+LYT","YGL076C"
"122","P05738","S+LYT","YGL147C"
"123","P05739","S+LYT","YLR448W"
"124","P05740","S+LYT","YKL180W"
"125","P05743","S+LYT","YLR344W"
"126","P05744","S+LYT","YPL143W"
"127","P05745","S+LYT","YMR194W"
"128","P05747","S+LYT","YFR032C-A"
"129","P05748","S+LYT","YLR029C"
"130","P05749","S+LYT","YLR061W"
"131","P05750","S+LYT","YNL178W"
"132","P05755","S+LYT","YBR189W"
"133","P05756","S+LYT","YDR064W"
"134","P05759","S+LYT","YLR167W"
"135","P06100","S+LYT","YDL165W"
"136","P06101","S+LYT","YDR168W"
"137","P06102","S+LYT","YIL038C"
"138","P06103","S+LYT","YOR361C"
"139","P06104","S+LYT","YGL058W"
"140","P06105","S+LYT","YJL080C"
"141","P06106","S+LYT","YLR303W"
"142","P06115","S+LYT","YGR088W"
"143","P06168","S+LYT","YLR355C"
"144","P06169","S+LYT","YLR044C"
"145","P06174","S+LYT","YOR278W"
"146","P06182","S+LYT","YAL039C"
"147","P06197","S+LYT","YPR113W"
"148","P06208","S+LYT","YNL104C"
"149","P06242","S+LYT","YDL108W"
"150","P06243","S+LYT","YDL017W"
"151","P06245","S+LYT","YPL203W"
"152","P06367","S+LYT","YCR031C"
"153","P06633","S+LYT","YOR202W"
"154","P06634","S+LYT","YOR204W"
"155","P06700","S+LYT","YDL042C"
"156","P06704","S+LYT","YOR257W"
"157","P06738","S+LYT","YPR160W"
"158","P06773","S+LYT","YHR144C"
"159","P06774","S+LYT","YGL237C"
"160","P06776","S+LYT","YOR360C"
"161","P06777","S+LYT","YPL022W"
"162","P06778","S+LYT","YML032C"
"163","P06779","S+LYT","YJR052W"
"164","P06780","S+LYT","YPR165W"
"165","P06781","S+LYT","YNL090W"
"166","P06782","S+LYT","YDR477W"
"167","P06783","S+LYT","YKL178C"
"168","P06784","S+LYT","YDL159W"
"169","P06785","S+LYT","YOR074C"
"170","P06786","S+LYT","YNL088W"
"171","P06787","S+LYT","YBR109C"
"172","P06838","S+LYT","YML095C"
"173","P06839","S+LYT","YER171W"
"174","P06843","S+LYT","YER161C"
"175","P06844","S+LYT","YDR392W"
"176","P07143","S+LYT","YOR065W"
"177","P07149","S+LYT","YKL182W"
"178","P07170","S+LYT","YDR226W"
"179","P07172","S+LYT","YIL116W"
"180","P07213","S+LYT","YNL121C"
"181","P07236","S+LYT","YKL194C"
"182","P07244","S+LYT","YGL234W"
"183","P07245","S+LYT","YGR204W"
