Orthogroup	S.cerevisiae	L.starkeyi	T.caseinolytica	Y.lipo-CLIB122
OG0000000	Q06593	tr|A0A1E3PU79|A0A1E3PU79_LIPST, tr|A0A1E3PV17|A0A1E3PV17_LIPST, tr|A0A1E3PVE2|A0A1E3PVE2_LIPST, tr|A0A1E3PWH8|A0A1E3PWH8_LIPST, tr|A0A1E3PXG6|A0A1E3PXG6_LIPST, tr|A0A1E3PY30|A0A1E3PY30_LIPST, tr|A0A1E3PY35|A0A1E3PY35_LIPST, tr|A0A1E3PZW3|A0A1E3PZW3_LIPST, tr|A0A1E3Q1H2|A0A1E3Q1H2_LIPST, tr|A0A1E3Q1H8|A0A1E3Q1H8_LIPST, tr|A0A1E3Q1R1|A0A1E3Q1R1_LIPST, tr|A0A1E3Q1S2|A0A1E3Q1S2_LIPST, tr|A0A1E3Q1S5|A0A1E3Q1S5_LIPST, tr|A0A1E3Q217|A0A1E3Q217_LIPST, tr|A0A1E3Q3V5|A0A1E3Q3V5_LIPST, tr|A0A1E3Q5L0|A0A1E3Q5L0_LIPST, tr|A0A1E3Q8D4|A0A1E3Q8D4_LIPST, tr|A0A1E3QAM9|A0A1E3QAM9_LIPST, tr|A0A1E3QAN7|A0A1E3QAN7_LIPST, tr|A0A1E3QCD9|A0A1E3QCD9_LIPST, tr|A0A1E3QCE7|A0A1E3QCE7_LIPST, tr|A0A1E3QCG3|A0A1E3QCG3_LIPST, tr|A0A1E3QEE2|A0A1E3QEE2_LIPST, tr|A0A1E3QEF0|A0A1E3QEF0_LIPST, tr|A0A1E3QEX8|A0A1E3QEX8_LIPST		tr|Q6BZY0|Q6BZY0_YARLI, tr|Q6C160|Q6C160_YARLI, tr|Q6C1S1|Q6C1S1_YARLI, tr|Q6C271|Q6C271_YARLI, tr|Q6C293|Q6C293_YARLI, tr|Q6C5C2|Q6C5C2_YARLI, tr|Q6C5J4|Q6C5J4_YARLI, tr|Q6CB98|Q6CB98_YARLI, tr|Q6CBI3|Q6CBI3_YARLI, tr|Q6CC98|Q6CC98_YARLI, tr|Q6CFE1|Q6CFE1_YARLI, tr|Q6CFQ8|Q6CFQ8_YARLI, tr|Q6CFY8|Q6CFY8_YARLI, tr|Q6CG01|Q6CG01_YARLI, tr|Q6CHW8|Q6CHW8_YARLI, tr|Q6CIA8|Q6CIA8_YARLI
OG0000001	P43562	tr|A0A1E3PTN9|A0A1E3PTN9_LIPST, tr|A0A1E3PU68|A0A1E3PU68_LIPST, tr|A0A1E3PU81|A0A1E3PU81_LIPST, tr|A0A1E3PUM3|A0A1E3PUM3_LIPST, tr|A0A1E3PUM5|A0A1E3PUM5_LIPST, tr|A0A1E3PUZ3|A0A1E3PUZ3_LIPST, tr|A0A1E3PVI3|A0A1E3PVI3_LIPST, tr|A0A1E3PVV9|A0A1E3PVV9_LIPST, tr|A0A1E3PWY1|A0A1E3PWY1_LIPST, tr|A0A1E3Q089|A0A1E3Q089_LIPST, tr|A0A1E3Q1L6|A0A1E3Q1L6_LIPST, tr|A0A1E3Q1Q6|A0A1E3Q1Q6_LIPST, tr|A0A1E3Q2A7|A0A1E3Q2A7_LIPST, tr|A0A1E3Q2F4|A0A1E3Q2F4_LIPST, tr|A0A1E3Q334|A0A1E3Q334_LIPST, tr|A0A1E3Q3S1|A0A1E3Q3S1_LIPST, tr|A0A1E3Q3T0|A0A1E3Q3T0_LIPST, tr|A0A1E3Q495|A0A1E3Q495_LIPST, tr|A0A1E3Q5V8|A0A1E3Q5V8_LIPST, tr|A0A1E3Q6N4|A0A1E3Q6N4_LIPST, tr|A0A1E3Q6Q5|A0A1E3Q6Q5_LIPST, tr|A0A1E3Q8B9|A0A1E3Q8B9_LIPST, tr|A0A1E3Q8R3|A0A1E3Q8R3_LIPST, tr|A0A1E3Q8X9|A0A1E3Q8X9_LIPST, tr|A0A1E3QC64|A0A1E3QC64_LIPST, tr|A0A1E3QC98|A0A1E3QC98_LIPST, tr|A0A1E3QCI1|A0A1E3QCI1_LIPST, tr|A0A1E3QE71|A0A1E3QE71_LIPST, tr|A0A1E3QEL5|A0A1E3QEL5_LIPST	Tortispora_caseinolytica@Seq_1681, Tortispora_caseinolytica@Seq_3370, Tortispora_caseinolytica@Seq_4139, Tortispora_caseinolytica@Seq_4444	tr|Q6C2L7|Q6C2L7_YARLI, tr|Q6C4W0|Q6C4W0_YARLI, tr|Q6CFJ6|Q6CFJ6_YARLI, tr|Q6CG30|Q6CG30_YARLI
OG0000002	P38141, P39001, P40971	tr|A0A1E3PTX4|A0A1E3PTX4_LIPST, tr|A0A1E3PTY0|A0A1E3PTY0_LIPST, tr|A0A1E3PUN6|A0A1E3PUN6_LIPST, tr|A0A1E3PUR0|A0A1E3PUR0_LIPST, tr|A0A1E3PVK4|A0A1E3PVK4_LIPST, tr|A0A1E3PWA9|A0A1E3PWA9_LIPST, tr|A0A1E3PX07|A0A1E3PX07_LIPST, tr|A0A1E3PYK4|A0A1E3PYK4_LIPST, tr|A0A1E3PYT7|A0A1E3PYT7_LIPST, tr|A0A1E3Q082|A0A1E3Q082_LIPST, tr|A0A1E3Q2S3|A0A1E3Q2S3_LIPST, tr|A0A1E3Q308|A0A1E3Q308_LIPST, tr|A0A1E3Q3L1|A0A1E3Q3L1_LIPST, tr|A0A1E3Q4U3|A0A1E3Q4U3_LIPST, tr|A0A1E3Q8Z0|A0A1E3Q8Z0_LIPST, tr|A0A1E3QAQ7|A0A1E3QAQ7_LIPST, tr|A0A1E3QEB0|A0A1E3QEB0_LIPST, tr|A0A1E3QED7|A0A1E3QED7_LIPST, tr|A0A1E3QG54|A0A1E3QG54_LIPST	Tortispora_caseinolytica@Seq_1282, Tortispora_caseinolytica@Seq_1738, Tortispora_caseinolytica@Seq_2534, Tortispora_caseinolytica@Seq_2737, Tortispora_caseinolytica@Seq_64	tr|Q6C837|Q6C837_YARLI, tr|Q6CAN0|Q6CAN0_YARLI, tr|Q6CC72|Q6CC72_YARLI, tr|Q6CFP6|Q6CFP6_YARLI, tr|Q6CFR4|Q6CFR4_YARLI
OG0000003	P53322	tr|A0A1E3PX01|A0A1E3PX01_LIPST, tr|A0A1E3PZD5|A0A1E3PZD5_LIPST, tr|A0A1E3Q1S1|A0A1E3Q1S1_LIPST, tr|A0A1E3Q1X2|A0A1E3Q1X2_LIPST, tr|A0A1E3QAB0|A0A1E3QAB0_LIPST	Tortispora_caseinolytica@Seq_1294, Tortispora_caseinolytica@Seq_1439, Tortispora_caseinolytica@Seq_3232, Tortispora_caseinolytica@Seq_507, Tortispora_caseinolytica@Seq_551, Tortispora_caseinolytica@Seq_570, Tortispora_caseinolytica@Seq_793	tr|Q6C025|Q6C025_YARLI, tr|Q6C031|Q6C031_YARLI, tr|Q6C0W8|Q6C0W8_YARLI, tr|Q6C137|Q6C137_YARLI, tr|Q6C2Q4|Q6C2Q4_YARLI, tr|Q6C4F3|Q6C4F3_YARLI, tr|Q6C574|Q6C574_YARLI, tr|Q6C581|Q6C581_YARLI, tr|Q6C9D4|Q6C9D4_YARLI, tr|Q6C9M0|Q6C9M0_YARLI, tr|Q6CB29|Q6CB29_YARLI, tr|Q6CCK8|Q6CCK8_YARLI, tr|Q6CD90|Q6CD90_YARLI
OG0000004		tr|A0A1E3PTE3|A0A1E3PTE3_LIPST, tr|A0A1E3PTF0|A0A1E3PTF0_LIPST, tr|A0A1E3PTF9|A0A1E3PTF9_LIPST, tr|A0A1E3PTG9|A0A1E3PTG9_LIPST, tr|A0A1E3PTL4|A0A1E3PTL4_LIPST, tr|A0A1E3PU05|A0A1E3PU05_LIPST, tr|A0A1E3PUC3|A0A1E3PUC3_LIPST, tr|A0A1E3PUY7|A0A1E3PUY7_LIPST, tr|A0A1E3PV38|A0A1E3PV38_LIPST, tr|A0A1E3PV98|A0A1E3PV98_LIPST, tr|A0A1E3PVC1|A0A1E3PVC1_LIPST, tr|A0A1E3PVP2|A0A1E3PVP2_LIPST, tr|A0A1E3PVU6|A0A1E3PVU6_LIPST, tr|A0A1E3PY09|A0A1E3PY09_LIPST, tr|A0A1E3PZY1|A0A1E3PZY1_LIPST, tr|A0A1E3Q185|A0A1E3Q185_LIPST, tr|A0A1E3Q1F5|A0A1E3Q1F5_LIPST, tr|A0A1E3Q1F9|A0A1E3Q1F9_LIPST, tr|A0A1E3Q1G9|A0A1E3Q1G9_LIPST, tr|A0A1E3Q280|A0A1E3Q280_LIPST, tr|A0A1E3Q439|A0A1E3Q439_LIPST, tr|A0A1E3Q771|A0A1E3Q771_LIPST, tr|A0A1E3QE82|A0A1E3QE82_LIPST, tr|A0A1E3QE91|A0A1E3QE91_LIPST, tr|A0A1E3QFI8|A0A1E3QFI8_LIPST	Tortispora_caseinolytica@Seq_4184	
OG0000005	Q08651	tr|A0A1E3PU57|A0A1E3PU57_LIPST, tr|A0A1E3PUT2|A0A1E3PUT2_LIPST, tr|A0A1E3PVQ8|A0A1E3PVQ8_LIPST, tr|A0A1E3PVR7|A0A1E3PVR7_LIPST, tr|A0A1E3PW28|A0A1E3PW28_LIPST, tr|A0A1E3PWR1|A0A1E3PWR1_LIPST, tr|A0A1E3PWR2|A0A1E3PWR2_LIPST, tr|A0A1E3PXW3|A0A1E3PXW3_LIPST, tr|A0A1E3PYN3|A0A1E3PYN3_LIPST, tr|A0A1E3Q1Y2|A0A1E3Q1Y2_LIPST, tr|A0A1E3Q1Z0|A0A1E3Q1Z0_LIPST, tr|A0A1E3Q417|A0A1E3Q417_LIPST, tr|A0A1E3Q4K2|A0A1E3Q4K2_LIPST, tr|A0A1E3Q7G6|A0A1E3Q7G6_LIPST, tr|A0A1E3QBF9|A0A1E3QBF9_LIPST, tr|A0A1E3QFI9|A0A1E3QFI9_LIPST	Tortispora_caseinolytica@Seq_459	tr|Q6BZY9|Q6BZY9_YARLI, tr|Q6C4P8|Q6C4P8_YARLI, tr|Q6C6G2|Q6C6G2_YARLI, tr|Q6C930|Q6C930_YARLI, tr|Q6C9P4|Q6C9P4_YARLI, tr|Q6CAB9|Q6CAB9_YARLI, tr|Q6CH70|Q6CH70_YARLI
OG0000006		tr|A0A1E3PTD2|A0A1E3PTD2_LIPST, tr|A0A1E3PTX2|A0A1E3PTX2_LIPST, tr|A0A1E3PTX9|A0A1E3PTX9_LIPST, tr|A0A1E3PUM4|A0A1E3PUM4_LIPST, tr|A0A1E3PUN8|A0A1E3PUN8_LIPST, tr|A0A1E3PUX6|A0A1E3PUX6_LIPST, tr|A0A1E3PV24|A0A1E3PV24_LIPST, tr|A0A1E3PVG3|A0A1E3PVG3_LIPST, tr|A0A1E3PVH3|A0A1E3PVH3_LIPST, tr|A0A1E3PVK9|A0A1E3PVK9_LIPST, tr|A0A1E3PWA1|A0A1E3PWA1_LIPST, tr|A0A1E3PX55|A0A1E3PX55_LIPST, tr|A0A1E3PXY1|A0A1E3PXY1_LIPST, tr|A0A1E3PY39|A0A1E3PY39_LIPST, tr|A0A1E3PZY6|A0A1E3PZY6_LIPST, tr|A0A1E3Q0L8|A0A1E3Q0L8_LIPST, tr|A0A1E3Q148|A0A1E3Q148_LIPST, tr|A0A1E3Q1M7|A0A1E3Q1M7_LIPST, tr|A0A1E3Q2H6|A0A1E3Q2H6_LIPST, tr|A0A1E3Q6G0|A0A1E3Q6G0_LIPST, tr|A0A1E3Q8I8|A0A1E3Q8I8_LIPST, tr|A0A1E3QB90|A0A1E3QB90_LIPST, tr|A0A1E3QBT9|A0A1E3QBT9_LIPST, tr|A0A1E3QCC2|A0A1E3QCC2_LIPST		tr|Q6C7B4|Q6C7B4_YARLI
OG0000007	P53389	tr|A0A1E3PWK1|A0A1E3PWK1_LIPST, tr|A0A1E3Q6G5|A0A1E3Q6G5_LIPST	Tortispora_caseinolytica@Seq_1204, Tortispora_caseinolytica@Seq_2051, Tortispora_caseinolytica@Seq_4460, Tortispora_caseinolytica@Seq_81	tr|Q6BZZ0|Q6BZZ0_YARLI, tr|Q6C1S0|Q6C1S0_YARLI, tr|Q6C2Z8|Q6C2Z8_YARLI, tr|Q6C3D0|Q6C3D0_YARLI, tr|Q6C4F7|Q6C4F7_YARLI, tr|Q6C7X0|Q6C7X0_YARLI, tr|Q6C8C4|Q6C8C4_YARLI, tr|Q6C8P9|Q6C8P9_YARLI, tr|Q6CBM9|Q6CBM9_YARLI, tr|Q6CCC4|Q6CCC4_YARLI, tr|Q6CE82|Q6CE82_YARLI, tr|Q6CFC0|Q6CFC0_YARLI, tr|Q6CGP4|Q6CGP4_YARLI, tr|Q6CH77|Q6CH77_YARLI, tr|Q6CHM0|Q6CHM0_YARLI, tr|Q6CI92|Q6CI92_YARLI
OG0000008		tr|A0A1E3PU62|A0A1E3PU62_LIPST, tr|A0A1E3PUH4|A0A1E3PUH4_LIPST, tr|A0A1E3PVK5|A0A1E3PVK5_LIPST, tr|A0A1E3PWV2|A0A1E3PWV2_LIPST, tr|A0A1E3PYG1|A0A1E3PYG1_LIPST, tr|A0A1E3Q0E8|A0A1E3Q0E8_LIPST, tr|A0A1E3Q0R7|A0A1E3Q0R7_LIPST, tr|A0A1E3Q2G7|A0A1E3Q2G7_LIPST, tr|A0A1E3Q306|A0A1E3Q306_LIPST, tr|A0A1E3Q367|A0A1E3Q367_LIPST, tr|A0A1E3Q3B9|A0A1E3Q3B9_LIPST, tr|A0A1E3Q917|A0A1E3Q917_LIPST, tr|A0A1E3QAH5|A0A1E3QAH5_LIPST, tr|A0A1E3QCB5|A0A1E3QCB5_LIPST, tr|A0A1E3QCD2|A0A1E3QCD2_LIPST, tr|A0A1E3QCF6|A0A1E3QCF6_LIPST, tr|A0A1E3QD35|A0A1E3QD35_LIPST	Tortispora_caseinolytica@Seq_1836, Tortispora_caseinolytica@Seq_3957, Tortispora_caseinolytica@Seq_3994	tr|Q6C111|Q6C111_YARLI, tr|Q6CEX3|Q6CEX3_YARLI, tr|Q6CH81|Q6CH81_YARLI
OG0000009	P25596, P36173, P38724, P38731, P39980, Q08299	tr|A0A1E3Q832|A0A1E3Q832_LIPST	Tortispora_caseinolytica@Seq_1665, Tortispora_caseinolytica@Seq_1671	tr|Q6C053|Q6C053_YARLI, tr|Q6C0X7|Q6C0X7_YARLI, tr|Q6C155|Q6C155_YARLI, tr|Q6C8E3|Q6C8E3_YARLI, tr|Q6C8Y0|Q6C8Y0_YARLI, tr|Q6CA69|Q6CA69_YARLI, tr|Q6CBR6|Q6CBR6_YARLI, tr|Q6CCV9|Q6CCV9_YARLI, tr|Q6CD98|Q6CD98_YARLI, tr|Q6CE20|Q6CE20_YARLI, tr|Q6CGR1|Q6CGR1_YARLI, tr|Q6CGY6|Q6CGY6_YARLI, tr|Q6CHB2|Q6CHB2_YARLI
