Orthogroup	A.gossypii	K.marxianus	L.fermentati	s288c
OG0000000	tr|Q74Z84|Q74Z84_ASHGO, tr|Q750B7|Q750B7_ASHGO, tr|Q750B8|Q750B8_ASHGO, tr|Q750B9|Q750B9_ASHGO, tr|Q751X7|Q751X7_ASHGO, tr|Q753U5|Q753U5_ASHGO, tr|Q757P2|Q757P2_ASHGO, tr|Q75B49|Q75B49_ASHGO	KMXK_0A03090, KMXK_0A04670, KMXK_0A07810, KMXK_0D01460, KMXK_0E00460, KMXK_0G00640	tr|A0A1G4M725|A0A1G4M725_LACFM, tr|A0A1G4M8R7|A0A1G4M8R7_LACFM, tr|A0A1G4MGJ2|A0A1G4MGJ2_LACFM, tr|A0A1G4MGP2|A0A1G4MGP2_LACFM, tr|A0A1G4MHA5|A0A1G4MHA5_LACFM, tr|A0A1G4MHF7|A0A1G4MHF7_LACFM	sp|P06775|HIP1_YEAST, sp|P19145|GAP1_YEAST, sp|P25376|AGP1_YEAST, sp|P38084|BAP2_YEAST, sp|P38085|TAT1_YEAST, sp|P38967|TAT2_YEAST, sp|P41815|BAP3_YEAST, sp|P48813|GNP1_YEAST
OG0000001	tr|Q752H1|Q752H1_ASHGO, tr|Q755L8|Q755L8_ASHGO, tr|Q755L9|Q755L9_ASHGO, tr|Q755M1|Q755M1_ASHGO	KMXK_0C07370, KMXK_0E03650, KMXK_0E03660, KMXK_0E03670, KMXK_0E03680, KMXK_0E03690, KMXK_0G03930	tr|A0A1G4MBE8|A0A1G4MBE8_LACFM, tr|A0A1G4MBI6|A0A1G4MBI6_LACFM, tr|A0A1G4MBT2|A0A1G4MBT2_LACFM, tr|A0A1G4MC24|A0A1G4MC24_LACFM, tr|A0A1G4MC38|A0A1G4MC38_LACFM, tr|A0A1G4MCT9|A0A1G4MCT9_LACFM, tr|A0A1G4MFR5|A0A1G4MFR5_LACFM	sp|P13181|GAL2_YEAST, sp|P32465|HXT1_YEAST, sp|P32466|HXT3_YEAST, sp|P32467|HXT4_YEAST, sp|P38695|HXT5_YEAST, sp|P39003|HXT6_YEAST, sp|P39004|HXT7_YEAST, sp|P40886|HXT8_YEAST, sp|P42833|HXT14_YEAST
OG0000002		KMXK_0C05550		sp|O13535|YH11B_YEAST, sp|P0C2I2|YD14B_YEAST, sp|P0C2I3|YD15B_YEAST, sp|P0C2I5|YL12B_YEAST, sp|P0C2I6|YL13B_YEAST, sp|P0C2I9|YP12B_YEAST, sp|P0C2J0|YP13B_YEAST, sp|P0C2J1|YP14B_YEAST, sp|P47098|YJ11B_YEAST, sp|P47100|YJ12B_YEAST, sp|Q03434|YM12B_YEAST, sp|Q03612|YE11B_YEAST, sp|Q03619|YE12B_YEAST, sp|Q03855|YD11B_YEAST, sp|Q04670|YM14B_YEAST, sp|Q04711|YM11B_YEAST, sp|Q12088|YL11B_YEAST, sp|Q12141|YG11B_YEAST, sp|Q12269|YG12B_YEAST, sp|Q12273|YO11B_YEAST, sp|Q12316|YG13B_YEAST, sp|Q12414|YP11B_YEAST, sp|Q92393|YO12B_YEAST, sp|Q99231|YD12B_YEAST, sp|Q99337|YN12B_YEAST
OG0000003			tr|A0A1G4M8W0|A0A1G4M8W0_LACFM, tr|A0A1G4M972|A0A1G4M972_LACFM	sp|O13559|YRF14_YEAST, sp|P0CX14|YRF13_YEAST, sp|P0CX15|YRF17_YEAST, sp|P0CX20|YRF11_YEAST, sp|P0CX21|YRF15_YEAST, sp|P0CX22|YRF18_YEAST, sp|P38721|YHF0_YEAST, sp|P38899|YH18_YEAST, sp|P38900|YH19_YEAST, sp|P40105|YRF12_YEAST, sp|P40434|YIR7_YEAST, sp|P40889|YJW5_YEAST, sp|P43538|YFG6_YEAST, sp|P53819|YRF16_YEAST, sp|Q03099|YMN3_YEAST, sp|Q07888|YL067_YEAST, sp|Q08995|YP204_YEAST, sp|Q3E7X8|YE077_YEAST, sp|Q3E7Y4|YB112_YEAST, sp|Q3E7Y5|YB111_YEAST, sp|Q7M4S9|YB113_YEAST, sp|Q99208|YL066_YEAST
OG0000004	tr|Q750T1|Q750T1_ASHGO, tr|Q753I6|Q753I6_ASHGO, tr|Q75D98|Q75D98_ASHGO, tr|Q75D99|Q75D99_ASHGO	KMXK_0A01850, KMXK_0A01870, KMXK_0C03560, KMXK_0D02670, KMXK_0D02680, KMXK_0D02690	tr|A0A1G4MBT1|A0A1G4MBT1_LACFM, tr|A0A1G4MHX2|A0A1G4MHX2_LACFM, tr|A0A1G4MI58|A0A1G4MI58_LACFM, tr|A0A1G4ML85|A0A1G4ML85_LACFM	sp|P32568|SNQ2_YEAST, sp|P33302|PDR5_YEAST, sp|P40550|PDR11_YEAST, sp|P51533|PDR10_YEAST, sp|P53756|PDR18_YEAST, sp|Q02785|PDR12_YEAST, sp|Q04182|PDR15_YEAST, sp|Q08409|AUS1_YEAST
OG0000005	sp|Q75C78|BIP_ASHGO, sp|Q75E44|SSB1_ASHGO, tr|Q754F6|Q754F6_ASHGO, tr|Q756R7|Q756R7_ASHGO	KMXK_0B04700, KMXK_0B07070, KMXK_0E05880, KMXK_0G03730	tr|A0A1G4M772|A0A1G4M772_LACFM, tr|A0A1G4M7C5|A0A1G4M7C5_LACFM, tr|A0A1G4MJJ2|A0A1G4MJJ2_LACFM, tr|A0A1G4MKE1|A0A1G4MKE1_LACFM	sp|P09435|HSP73_YEAST, sp|P10591|HSP71_YEAST, sp|P10592|HSP72_YEAST, sp|P11484|SSB1_YEAST, sp|P16474|BIP_YEAST, sp|P22202|HSP74_YEAST, sp|P40150|SSB2_YEAST
OG0000006	tr|D8FGC0|D8FGC0_ASHGO, tr|Q74ZL2|Q74ZL2_ASHGO, tr|Q750Z4|Q750Z4_ASHGO, tr|Q757T9|Q757T9_ASHGO, tr|Q759G8|Q759G8_ASHGO, tr|Q75AF8|Q75AF8_ASHGO, tr|Q75AG0|Q75AG0_ASHGO, tr|Q75AH7|Q75AH7_ASHGO, tr|Q75AH8|Q75AH8_ASHGO	KMXK_0A01640, KMXK_0B01990, KMXK_0D02260, KMXK_0D02950, KMXK_0E01450	tr|A0A1G4MCT8|A0A1G4MCT8_LACFM, tr|A0A1G4MKH7|A0A1G4MKH7_LACFM, tr|A0A1G4MKW4|A0A1G4MKW4_LACFM	sp|Q12145|YP013_YEAST, sp|Q12531|YP015_YEAST
OG0000007				sp|P0C2I8|YL14A_YEAST, sp|P0CX59|YO12A_YEAST, sp|P0CX60|YP13A_YEAST, sp|P0CX65|YD14A_YEAST, sp|P0CX66|YE12A_YEAST, sp|P0CX67|YG13A_YEAST, sp|P0CX68|YL11A_YEAST, sp|P0CX69|YM14A_YEAST, sp|P0CX74|YJ11A_YEAST, sp|P0CX75|YL13A_YEAST, sp|P0CX76|YM12A_YEAST, sp|Q03856|YD11A_YEAST, sp|Q04706|YM11A_YEAST, sp|Q12217|YB12A_YEAST, sp|Q12441|YD12A_YEAST, sp|Q12485|YG12A_YEAST, sp|Q6Q5H1|YP14A_YEAST, sp|Q92392|YO11A_YEAST
OG0000008	tr|D8FGB8|D8FGB8_ASHGO, tr|Q751H3|Q751H3_ASHGO, tr|Q758K5|Q758K5_ASHGO	KMXK_0A01000, KMXK_0C03430, KMXK_0G02330	tr|A0A1G4ME67|A0A1G4ME67_LACFM, tr|A0A1G4MI28|A0A1G4MI28_LACFM, tr|A0A1G4MI57|A0A1G4MI57_LACFM, tr|A0A1G4MI61|A0A1G4MI61_LACFM, tr|A0A1G4MI79|A0A1G4MI79_LACFM	sp|P27809|KRE2_YEAST, sp|P27810|KTR1_YEAST, sp|P38130|KTR3_YEAST, sp|P38131|KTR4_YEAST
OG0000009			tr|A0A1G4MFD9|A0A1G4MFD9_LACFM, tr|A0A1G4MFS4|A0A1G4MFS4_LACFM	sp|P0CX12|COS2_YEAST, sp|P0CX13|COS3_YEAST, sp|P36034|COS9_YEAST, sp|P38723|COS8_YEAST, sp|P38728|ECM34_YEAST, sp|P38729|YHE2_YEAST, sp|P43542|COS4_YEAST, sp|P47187|COS5_YEAST, sp|P52924|COS10_YEAST, sp|P53053|COS12_YEAST, sp|P53344|COS6_YEAST, sp|P53822|COS1_YEAST, sp|Q07788|COS7_YEAST
