genes	logFC	logCPM	PValue	FDR	Portein_names
KLMA_10805	-1.288630828	8.768210402	4.41569E-11	2.57759E-09	uncharacterized protein KLMA_10805
KLMA_30331	-1.120724678	5.996042873	7.53265E-25	2.80736E-22	hypothetical protein KLMA_30331
KLMA_30729	-1.08079591	5.974709952	3.03329E-20	7.34816E-18	uncharacterized protein KLMA_30729
KLMA_20693	-1.038949701	5.095597574	1.938E-05	0.000253456	ATP-dependent RNA helicase DBP4
KLMA_60140	-1.032034722	4.90061043	3.59654E-07	8.66927E-06	RNA exonuclease 4
KLMA_40084	-1.023766463	5.235290658	3.81123E-12	2.79779E-10	multidrug resistance protein fnx1
KLMA_40012	-1.00360492	5.749602455	6.19404E-06	9.74354E-05	nucleolar GTP-binding protein 2
KLMA_20296	-0.997164015	3.78584244	1.07475E-10	5.78571E-09	glyceraldehyde-3-phosphate dehydrogenase 2
KLMA_20683	-0.96204866	5.604278305	4.67992E-07	1.09011E-05	nucleolar complex-associated protein 3
KLMA_70235	-0.957690549	5.502332562	1.12607E-07	3.16476E-06	probable nucleolar complex protein 14
KLMA_70023	-0.934842474	7.12736764	1.60968E-12	1.32184E-10	pheromone-regulated membrane protein 4
KLMA_50208	-0.929774172	5.931919452	1.8355E-10	9.49968E-09	MIF4G domain family protein
KLMA_20139	-0.906971258	4.594414559	1.03952E-06	2.11617E-05	ATP-dependent RNA helicase DBP7
KLMA_30177	-0.882516308	4.893036777	2.08802E-06	3.89095E-05	pseudouridylate synthase 6
KLMA_30393	-0.879433503	5.985128301	4.27336E-08	1.36213E-06	ATP-dependent RNA helicase MAK5
KLMA_60277	-0.867567635	5.638731163	1.74742E-12	1.36552E-10	ATP-dependent RNA helicase DBP10
KLMA_20315	-0.85493043	5.718351974	6.42856E-12	4.46212E-10	hypothetical protein KLMA_20315
KLMA_80075	-0.848680555	5.14222788	8.97911E-08	2.60502E-06	protein CMS1
KLMA_50487	-0.845799672	5.690841929	4.97086E-08	1.5538E-06	U3 small nucleolar RNA-associated protein 12
KLMA_10405	-0.844508048	5.459206635	1.60143E-05	0.000215525	bud site selection protein 21
KLMA_20662	-0.841210402	6.355181233	1.51917E-09	6.08296E-08	U3 small nucleolar RNA-associated protein 14
KLMA_60179	-0.835537613	4.060197235	6.55792E-05	0.00071373	probable ATP-dependent RNA helicase DHR2
KLMA_80126	-0.822690246	5.297693443	2.59472E-07	6.66527E-06	uncharacterized protein KLMA_80126
KLMA_20151	-0.821552613	7.325437287	3.17882E-14	3.34813E-12	vacuolar basic amino acid transporter 1
KLMA_70238	-0.819816044	6.333311861	2.95248E-06	5.29806E-05	something about silencing protein 10
KLMA_60172	-0.807266371	6.403153055	5.69766E-07	1.26629E-05	ribosomal RNA-processing protein 14
KLMA_20682	-0.790392146	5.860257676	0.000127166	0.001247202	U3 small nucleolar RNA-associated protein MPP10
KLMA_80272	-0.787332554	5.725351309	4.4537E-07	1.04748E-05	uncharacterized protein KLMA_80272
KLMA_80194	-0.786594158	5.305449324	8.2364E-06	0.00012393	protein PXR1
KLMA_40546	-0.78310642	5.151421643	3.17258E-06	5.63046E-05	60S ribosome subunit biogenesis protein NIP7
KLMA_50045	-0.781173956	6.102395147	7.26332E-06	0.000111363	nucleolar complex protein 2
KLMA_50356	-0.779182301	5.9663808	8.57566E-09	3.03278E-07	U3 small nucleolar RNA-associated protein 4
KLMA_50119	-0.7767917	5.840567763	1.27621E-05	0.00017768	protein MAK16
KLMA_40328	-0.7741437	6.018231942	3.18513E-10	1.50771E-08	ribosomal RNA-processing protein 12
KLMA_60396	-0.773926556	6.147285756	7.67654E-08	2.28032E-06	nucleolar protein 4
KLMA_10209	-0.770125475	5.669953847	3.40022E-05	0.000402789	ATP-dependent RNA helicase DBP9
KLMA_50321	-0.769576294	6.701140794	9.63278E-09	3.38194E-07	heme-binding protein HMX1
KLMA_10715	-0.765686919	7.893242205	2.31079E-24	7.46384E-22	uncharacterized protein KLMA_10715
KLMA_80170	-0.765499301	6.493403899	9.31346E-07	1.91562E-05	putative ribosomal RNA methyltransferase Nop2
KLMA_40628	-0.763307021	6.926476177	4.68018E-26	2.26755E-23	NADPH-dependent methylglyoxal reductase GRE2
KLMA_40430	-0.758154808	4.308263675	0.001633728	0.010044938	ATP-dependent RNA helicase DBP8
KLMA_20508	-0.748459999	5.494981869	2.98832E-05	0.000361057	U3 small nucleolar RNA-associated protein 8
KLMA_60418	-0.746313922	5.354395051	4.5919E-06	7.64528E-05	bud site selection protein 22
KLMA_10543	-0.745328881	5.150005147	0.000159713	0.001508398	uncharacterized protein KLMA_10543
KLMA_50140	-0.743988493	5.318474524	0.000179858	0.001659833	ribosome biogenesis protein ENP2
KLMA_20747	-0.741922239	6.099384784	4.76265E-08	1.49838E-06	nucleolar protein 13
KLMA_40404	-0.739903178	9.548195909	3.92486E-30	3.16932E-27	aldehyde dehydrogenase 5
KLMA_30229	-0.734479124	6.056971414	7.68538E-06	0.000117093	ATP-dependent RNA helicase DRS1
KLMA_30549	-0.731549566	6.35391531	0.0001558	0.001480465	ribosome biogenesis protein SSF2
KLMA_10362	-0.729971942	4.88501033	1.27457E-07	3.48886E-06	protein LAS1
KLMA_30479	-0.726072865	5.265289466	9.78786E-06	0.000143115	U3 small nucleolar RNA-associated protein 7
KLMA_60204	-0.726053768	5.864216214	7.0458E-05	0.000753573	ribosomal RNA-processing protein 8
KLMA_60146	-0.724614569	4.185754439	0.000296596	0.002481875	tyrosine-protein phosphatase YVH1
KLMA_60375	-0.722241747	5.646507332	3.21663E-08	1.05882E-06	delta6-FADS-like protein
KLMA_20807	-0.721938382	5.659386896	7.71872E-08	2.28032E-06	protein TBF1
KLMA_70197	-0.714354168	5.110887638	2.58431E-11	1.5458E-09	uncharacterized protein KLMA_70197
