genes	logFC	logCPM	PValue	FDR	Portein_names
YALI0_F19822g	-7.046674079	6.403168344	2.33064E-07	3.52916E-05	some similarities with uniprot|O13337 Magnaporthegrisea Putative transcriptional regulator
YALI0_E31108g	-6.638430706	7.083960307	3.31341E-07	4.30999E-05	similar to uniprot|Q8TFK5 Yarrowia lipolytica Cellwall protein
YALI0_F07535g	-5.540940207	6.224341086	8.68985E-06	0.000442306	weakly similar to uniprot|P40552 Saccharomycescerevisiae YIL011w
YALI0_A20438g	-5.17013569	4.460766859	7.43653E-05	0.002047411	similar to uniprot|P36091 Saccharomyces cerevisiaeYKL046C Hypothetical 49.6 kDa protein in ELM1-PRI2intergenic region
YALI0_D04851g	-5.119480336	7.675216992	2.86993E-06	0.000204508	similar to uniprot|Q08193 Saccharomyces cerevisiaeYOL030w strongly similar to glycoprotein Gas1P
YALI0_F08129g	-5.086562816	4.745546445	1.36456E-05	0.000616803	weakly similar to uniprot|AAO79986 Enterococcusfaecalis EF0111 gene Oxidoreductase zinc-binding anduniprot|P28625 Saccharomyces cerevisiae YMR152w YIM1mitochondrial inner membrane protease
YALI0_B16522g	-4.938192999	5.604568268	3.519E-05	0.001157942	similar to uniprot|P19145 Saccharomyces cerevisiaeYKR039w GAP1 general amino acid permease
YALI0_C16951g	-4.875079147	4.959975471	7.64821E-06	0.000402828	similar to uniprot|Q96X51 Pholiota nameko Probablemetabolite transporter
YALI0_B20064g	-4.681362076	4.017579705	0.000131521	0.002950815	weakly similar to uniprot|P53388 Saccharomycescerevisiae YPL265w DIP5 dicarboxylic amino acid permeaseP23.1.f18.1
YALI0_C05236g	-4.603149246	2.997658531	1.9009E-06	0.000145744	similar to uniprot|Q6CC46 Yarrowia lipolyticaYALI0C12551g
YALI0_D01111g	-4.600803887	6.38894369	1.83926E-05	0.000718735	similar to uniprot|P39932 Saccharomyces cerevisiaeYDR536w STL1 member of the sugar permease family
YALI0_E31130g	-4.417643191	3.846533017	2.35315E-09	1.42531E-06	some similarities with CA2947|IPF6298 Candidaalbicans
YALI0_F25113g	-4.386763233	7.355063815	3.35141E-05	0.001127748	weakly similar to uniprot|Q98A31 Rhizobium lotitranscriptional regulator
YALI0_E01210g	-4.377370803	6.035811678	6.75976E-05	0.001915468	similar to uniprot|Q6C2I9 Yarrowia lipolyticaYALI0F07535g
YALI0_F17446g	-4.306650103	5.096009197	7.16658E-05	0.00199195	weakly similar to uniprot|Q08777 Saccharomycescerevisiae Chromosome XV reading frame ORF YOR306C oruniprot|Q08268 Saccharomyces cerevisiae Chromosome XVreading frame ORF YOL119C
YALI0_E23474g	-4.144139171	5.666891169	6.74E-05	0.001915468	uniprot|O74129 Yarrowia lipolytica alkaneutilisation CYP52 family member
YALI0_F22825g	-4.13086264	6.944455533	2.5735E-07	3.71135E-05	similar to uniprot|Q12358 Saccharomyces cerevisiaeYLL057c
YALI0_D17622g	-4.12240231	5.916394583	3.34439E-07	4.30999E-05	weakly similar to uniprot|P37610 Escherichia coliAlpha- ketoglutarate-dependent taurine dioxygenase
YALI0_A02783g	-4.078011147	5.543473674	1.03614E-06	9.80613E-05	highly similar to uniprot|Q6CB79 Yarrowialipolytica YALI0C21252g
YALI0_F26983g	-4.046531287	7.377044505	8.43153E-06	0.000432795	similar to CA0775|CaIFK2 Candida albicans CaIFK2probable monoxygenase
YALI0_F11429g	-4.028518382	2.451959852	3.54531E-06	0.000235977	weakly similar to uniprot|Q9P8F7 Yarrowialipolytica Triacylglycerol lipase precursor (EC 3.1.1.3)and uniprot|P47145 Saccharomyces cerevisiae YJR107w
YALI0_B21472g	-4.024505441	6.657992676	6.36568E-05	0.001844828	similar to DEHA0D20493g Debaryomyces hansenii IPF2653.1
YALI0_D05401g	-3.997275603	3.594116096	6.60332E-05	0.00189556	weakly similar to uniprot|P38724 Saccharomycescerevisiae YHL047c TAF1 siderophore transporter fortriacetylfusarinine C
YALI0_F21857g	-3.812123054	6.117386626	7.10937E-05	0.00199195	similar to uniprot|P36091 Saccharomyces cerevisiaeYKL046c
YALI0_F03685g	-3.691258615	1.364238433	1.11344E-06	0.000102184	no similarity
YALI0_E19943g	-3.6375349	3.378630271	3.90422E-07	4.82609E-05	similar to KLLA0C00286g Kluyveromyces lactis
YALI0_D20306g	-3.625963029	4.641480172	7.51899E-06	0.000402828	similar to uniprot|P47818 Saccharomyces cerevisiaeYLR220w CCC1 involved in calcium regulation singleton
YALI0_A19580g	-3.460472566	5.969424795	2.00781E-05	0.00076486	weakly similar to uniprot|P39109 Saccharomycescerevisiae YDR135c YCF1 glutathione S-conjugatetransporter (vacuolar)
YALI0_F11825g	-3.393748329	5.246025571	5.94008E-07	6.54165E-05	weakly similar to uniprot|P36033 Saccharomycescerevisiae YKL220c and DEHA0C07007g Debaryomyces hansenii
YALI0_A20350g	-3.349833426	9.151547953	7.59469E-08	1.39397E-05	uniprot|Q9P8F7 Yarrowia lipolytica Triacylglycerollipase precursor
YALI0_E31603g	-3.277852272	4.080184791	0.000123656	0.002869677	similar to KLLA0B14839g Kluyveromyces lactis IPF6866.1
YALI0_D01738g	-3.276220869	4.24767109	3.58793E-05	0.001168391	weakly similar to uniprot|P54007 Saccharomycescerevisiae YLR460c putative dehydrogenase
