Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
YALI0_A00110g,87,54,6,4,4,12
YALI0_A00132g,46849,43914,23266,10528,20640,21792
YALI0_A00154g,396,591,1361,3600,3980,4244
YALI0_A00176g,344,542,899,273,478,503
YALI0_A00198g,61,69,167,242,227,207
YALI0_A00212g,3009,2073,830,444,605,788
YALI0_A00264g,29827,30780,18896,9359,14616,15020
YALI0_A00286g,7888,8061,7801,8393,8062,7144
YALI0_A00330g,588,530,373,465,472,326
YALI0_A00352g,105768,103690,49985,22316,47167,51912
YALI0_A00369g,76,92,70,126,110,130
YALI0_A00374g,69,58,25,11,39,31
YALI0_A00396g,3918,3679,3870,5750,4950,5827
YALI0_A00418g,296,270,568,565,1051,1009
YALI0_A00440g,1976,2349,4028,3864,4380,3510
YALI0_A00506g,5545,5322,3543,854,1396,1396
YALI0_A00528g,22,30,6,2,8,10
YALI0_A00550g,391,382,172,52,95,89
YALI0_A00572g,155,137,55,10,64,82
YALI0_A00594g,15387,15006,9297,7610,8256,7399
YALI0_A00616g,3567,3740,2560,2633,1657,1257
YALI0_A00638g,1891,1683,1464,2307,1722,1386
YALI0_A00660g,1429,1394,2440,1980,3428,4832
YALI0_A00682g,2574,2663,4666,2006,5173,6338
YALI0_A00759g,1906,2204,2334,1031,1809,1897
YALI0_A00781g,568,828,824,842,858,817
YALI0_A00803g,15402,15414,9788,4438,8235,9322
YALI0_A00825g,503,501,427,249,288,281
YALI0_A00847g,2413,2727,3750,2031,3898,4407
YALI0_A00869g,35,34,63,22,70,83
YALI0_A00891g,8142,10145,11070,6869,11085,11956
YALI0_A00913g,3687,4072,2314,1538,1960,1813
YALI0_A00935g,50,54,65,53,72,82
YALI0_A00957g,170,335,544,754,674,483
YALI0_A00979g,2506,3112,2643,2487,3390,3594
YALI0_A01001g,1453,1879,2488,2473,3115,2914
YALI0_A01023g,5317,5273,1165,194,494,780
YALI0_A01045g,3066,3745,4471,6271,4973,4335
YALI0_A01067g,4471,5926,5746,4946,7368,9015
YALI0_A01089g,14742,15783,3142,3467,3803,6529
YALI0_A01111g,670,810,909,973,854,714
YALI0_A01133g,2430,2125,850,469,550,405
