# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "gene" "-g" "GENE" "-a" "Users/doughty/Desktop/Omics_Paper/CenPKGFF/Cen.PK113_7D.gff3" "-o" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/Cen.PKpairedStranded_STAR.txt" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam
CENPK1137D_4927	ENA|CM001522|CM001522.1	31625	32998	+	1374	555	560	541	2795	3040	2904	383	469	344	1038	1066	1096	829	1045	797	1232	1101	1207
CENPK1137D_4938	ENA|CM001522|CM001522.1	33506	34759	+	1254	738	645	611	4183	5429	5450	1896	1639	1744	2268	2210	1851	3630	3994	4086	1539	2252	2365
CENPK1137D_4949	ENA|CM001522|CM001522.1	35211	36359	+	1149	2301	2028	2087	5666	6626	7039	1902	2563	2282	1747	1790	2333	6482	7483	6422	1801	1340	1569
CENPK1137D_4960	ENA|CM001522|CM001522.1	36565	37203	+	639	452	429	450	1154	743	870	540	404	326	481	472	315	903	939	783	407	345	398
CENPK1137D_4971	ENA|CM001522|CM001522.1	37520	39028	+	1509	327	301	282	761	772	834	313	326	294	323	319	271	690	781	690	283	254	265
CENPK1137D_4982	ENA|CM001522|CM001522.1	39315	41957	+	2643	631	659	640	1925	2271	2100	817	861	835	786	950	839	1950	2098	2030	685	597	646
CENPK1137D_4993	ENA|CM001522|CM001522.1	42233	42775	+	543	121	132	136	385	402	411	408	206	208	421	351	226	412	418	380	199	301	315
CENPK1137D_4997	ENA|CM001522|CM001522.1	42935	45076	-	2142	14599	14351	13964	35244	51284	42280	16668	20543	22228	22176	25447	25955	44704	48438	50080	14282	15613	13785
CENPK1137D_4998	ENA|CM001522|CM001522.1	45955	48306	+	2352	1642	1514	1488	6111	5996	5905	2989	2505	2564	2843	2919	2458	6644	6513	6496	2165	2226	2129
CENPK1137D_4928	ENA|CM001522|CM001522.1	48620	51763	+	3144	736	713	732	1382	1408	1471	731	634	578	866	822	660	1374	1590	1404	501	592	602
CENPK1137D_4929	ENA|CM001522|CM001522.1	51911	52651	-	741	448	446	402	2583	2980	2917	1077	995	992	1279	1175	1133	2533	2608	2496	895	924	900
CENPK1137D_4930	ENA|CM001522|CM001522.1	52857	54845	-	1989	392	335	386	1083	1242	1183	614	470	498	716	558	494	1248	1370	1343	394	461	450
CENPK1137D_4931	ENA|CM001522|CM001522.1	55045	56913	-	1869	280	239	238	591	633	598	286	274	271	348	341	296	609	622	566	253	240	233
CENPK1137D_4932	ENA|CM001522|CM001522.1	57085	57441	-	357	428	414	390	695	679	700	212	304	268	269	241	324	706	702	721	266	178	202
CENPK1137D_4933	ENA|CM001522|CM001522.1	57574	57906	+	333	458	378	433	1191	1352	1185	522	423	410	546	488	417	1206	1177	1169	384	478	434
CENPK1137D_4934	ENA|CM001522|CM001522.1	58006	58518	-	513	1601	1321	1279	4903	4430	4527	2768	2024	2066	2116	1986	1544	5000	4983	4925	1886	1796	2069
CENPK1137D_4935	ENA|CM001522|CM001522.1	58751	61108	-	2358	787	811	837	1195	1267	1117	894	695	683	1009	909	755	1258	1292	1222	662	766	745
CENPK1137D_4936	ENA|CM001522|CM001522.1	61372	62619	+	1248	1886	1702	1640	3932	4025	3906	1993	1670	1669	1820	1686	1340	4009	3852	3805	1536	1641	1653
CENPK1137D_4937	ENA|CM001522|CM001522.1	62896	65460	+	2565	873	929	890	1830	1803	1901	1045	801	749	1247	1231	808	1834	2018	1786	727	834	859
CENPK1137D_4939	ENA|CM001522|CM001522.1	65840	67582	-	1743	811	770	717	1342	1319	1344	853	475	547	861	781	577	1016	1152	1123	587	791	851
CENPK1137D_4940	ENA|CM001522|CM001522.1	68777	69586	-	810	539	473	500	1590	1791	1567	896	746	730	1367	1299	950	1463	1466	1424	765	868	898
CENPK1137D_4941	ENA|CM001522|CM001522.1	71876	73378	+	1503	12420	11710	10865	38705	48913	38789	22800	18339	18356	20717	18479	16264	44620	43105	43580	15428	21117	18808
CENPK1137D_4942	ENA|CM001522|CM001522.1	74110	74913	+	804	71	80	65	265	264	295	108	80	77	157	153	112	200	213	222	95	110	115
