genes,direction
YBR001C,up
YJR094C,mixed
YLL055W,down
YHR092C,down
YCL025C,up
YDR248C,down
YOR100C,up
RDN5-1,down
YAR035W,up
YLR213C,up
YMR189W,down
YBR019C,up
YLR053C,up
YGL001C,down
YNL270C,up
YML008C,down
YER091C,down
YNL196C,up
YLR136C,up
YNL074C,up
YPR192W,down
YFR020W,down
YHR183W,down
YPL187W,mixed
YGR060W,down
YOR178C,up
YOL064C,down
YGR225W,mixed
YMR202W,down
YJR115W,up
YLR354C,down
YEL033W,down
YHR163W,down
YBR069C,mixed
YPR025C,up
YNL111C,down
YHR015W,up
YER043C,down
YJL088W,down
YNL112W,down
YER081W,down
YDR273W,up
YLR355C,down
YPL058C,down
YGR059W,up
YDR042C,up
YOR328W,up
YMR062C,down
YML126C,down
YGL170C,mixed
YHR007C,down
YHR071W,down
YBR076W,mixed
YGR175C,down
YJL119C,up
YMR015C,down
YGR294W,down
snR76,up
YER069W,down
YKR015C,up
YPL274W,down
YGR174W-A,up
YOR378W,up
snR83,up
YKR097W,up
YAR020C,down
YOR130C,down
YOR064C,up
YKL221W,mixed
YNL280C,down
YKL182W,down
YOR008W-B,up
YPL056C,up
YLR058C,down
YOL038C-A,up
YGL263W,mixed
snR19,up
YER044C,down
snR67,up
YGL072C,up
YLR081W,mixed
YLR249W,down
YFL011W,mixed
YDL248W,down
YGL032C,up
YNR050C,down
YBR106W,down
YLR167W,down
YOL140W,down
YLL046C,up
YPL171C,down
YNL328C,up
YPL272C,down
YER188C-A,up
YPL265W,up
YDL081C,down
YOR120W,down
YDR502C,down
YIL165C,down
YDR345C,down
YMR101C,mixed
NME1,up
YGR295C,down
YML131W,mixed
YDL182W,down
YOL132W,up
SRG1,up
YCR021C,down
YLL005C,up
YFL020C,down
YFL013W-A,down
YOR381W-A,up
YDR382W,down
YHR007C-A,up
YFR023W,mixed
YIL018W,down
YHL050C,up
YLR101C,up
YEL041W,down
YKR106W,up
YCL001W-B,up
YHR048W,up
YDL130W,down
YMR169C,mixed
YBR072W,down
YNL336W,down
YFL062W,down
YNL309W,up
YPL033C,up
YMR320W,down
YHR021C,down
YJL189W,down
YGL147C,down
YIL060W,up
YNL042W,up
YPR132W,down
YHR094C,mixed
tD(GUC)N,up
YJL190C,down
YDR523C,mixed
YGR088W,mixed
YER044C-A,up
snR51,up
YGL030W,down
YIL121W,down
YGR035C,up
YER102W,down
YBR258C,up
YCR010C,mixed
YIL037C,mixed
YOR214C,up
YJL038C,up
YGR177C,down
YLR040C,up
YNL178W,down
YDR450W,down
YDL133C-A,down
YLL053C,down
snR10,up
YBR224W,up
YOR028C,up
YBL092W,down
YPL211W,down
YML024W,down
YOR063W,down
YER074W,down
YKL070W,up
YPL276W,mixed
YMR116C,down
YLL050C,down
YHL028W,up
YGL076C,down
YOR369C,down
YGR192C,down
YNR064C,mixed
YPR102C,down
YOL077W-A,up
YEL049W,down
YHR139C,down
YGR169C-A,up
YGL249W,up
snR42,up
YGL262W,mixed
YPR159C-A,up
YDL184C,down
YOR375C,down
YNL162W,down
YGL259W,mixed
YDR536W,mixed
YDL022C-A,up
YHR050W-A,up
YKR057W,down
YLL052C,down
YGL188C,down
YCR012W,down
YOR096W,down
YKL066W,up
YML122C,down
YER085C,up
YPL218W,down
YDR038C,up
YKR034W,up
YHL044W,up
YCR102C,down
tV(AAC)G3,up
YJR120W,down
YMR011W,mixed
YGL230C,up
YOR309C,down
YIL011W,down
YAR019W-A,up
YAR029W,up
YEL008C-A,up
YBL003C,down
YOR302W,up
YPL027W,up
YLL017W,up
YCL044C,up
YMR182C,up
YKL068W-A,down
YDL169C,up
YLR337C,up
YML056C,down
YPL163C,up
YGR137W,down
YER088C-A,mixed
YIL069C,down
YLL014W,down
YMR081C,up
YNL190W,up
YOR181W,up
YNL024C-A,down
YOR329C,up
YHR122W,down
YBL051C,up
YDR428C,down
YDR363W-A,up
YDL061C,down
YOR215C,mixed
YKL151C,up
YLR206W,up
YDL192W,down
YKL043W,mixed
YBR021W,mixed
YBR191W-A,up
YNL302C,down
YHR191C,up
YGR215W,up
YMR136W,mixed
YDR163W,up
YPL230W,mixed
YLR052W,up
YLR200W,up
YMR174C,up
YFL056C,down
YCL056C,up
YLR438C-A,up
YMR194W,down
YDR077W,up
YDL204W,up
YGL077C,down
YIL053W,mixed
YGR174C,up
YAL033W,up
YBR233W-A,up
YGL226W,up
YGL044C,up
YPL090C,down
YNL300W,up
YDL012C,up
YCR034W,down
YNR021W,down
YNL010W,down
YKL077W,down
YIL052C,down
YIR019C,up
YLR390W,up
YIL136W,up
YGL025C,up
YER159C,up
YNL179C,up
YER150W,up
YMR311C,up
YNL180C,up
YIR009W,up
YMR035W,down
YKL122C,up
YNL286W,up
YDR045C,down
YDR002W,down
YMR173W,up
YHR064C,down
YIL101C,mixed
YOR310C,down
YAL013W,up
YJL144W,mixed
YDL161W,up
YML026C,down
YGL128C,up
YPR065W,up
YDL075W,down
YML078W,down
YJL078C,up
YPR080W,down
YNL148C,up
YMR043W,up
YFL045C,down
YDR226W,down
YLR264W,down
YLR075W,down
YCR031C,down
YHR177W,up
YNL067W,down
YOR089C,up
YGR282C,down
YLR262C-A,down
YKL202W,up
YCR024C-B,down
YBR016W,up
YEL045C,up
YKL008C,down
YDR064W,down
YKL056C,down
YLR333C,down
YML001W,down
YOR133W,down
YDL083C,down
YGL008C,down
YDL084W,down
YMR142C,down
YDR385W,down
YDR286C,down
YEL038W,down
YGR085C,down
YLR041W,up
YER009W,down
snR33,down
YHR175W-A,up
YGL033W,mixed
YLR441C,down
YLR359W,down
YCL038C,down
YHR051W,down
YMR070W,up
YJL104W,up
YLR301W,down
YLR038C,down
YJR123W,down
YLR050C,down
YLL020C,down
YOR304C-A,down
YDR124W,up
YDR225W,down
YKL053C-A,down
YHR141C,down
YDR447C,down
YIL100C-A,mixed
YGL123W,down
YKR077W,up
YDR468C,up
YPL079W,down
YKL082C,up
YJR077C,down
YIL029C,down
YIL148W,down
YJR141W,down
YOR376W-A,up
YOR234C,down
YBR206W,up
YMR173W-A,up
YNL209W,down
YNL259C,down
YHR174W,down
YCR075W-A,down
YFL039C,down
YHL001W,down
YLR415C,up
YDR050C,down
YOL093W,up
YJR135W-A,down
YLR311C,down
YDL157C,down
YCR023C,down
YGR249W,up
YJL023C,down
YOR194C,up
YMR256C,down
YOR182C,down
YMR292W,down
YML113W,up
YDR078C,down
YDL232W,down
YKL162C-A,down
YGR209C,down
YBR099C,down
YFL041W-A,down
YBR013C,down
YIL167W,down
YAR023C,down
YPR170W-B,down
YIL124W,down
YDR513W,down
YBL081W,up
YHR136C,down
YDR249C,down
YER071C,down
YBR292C,up
YGR254W,down
YMR322C,up
YDR281C,up
YBL048W,down
YDR133C,down
YHR126C,down
YLL025W,down
YNL097C-B,down
YLL049W,down
YJR005C-A,mixed
YMR095C,down
YLR202C,up
YDR374C,down
YFR052C-A,down
