"genes","direction"
"YALI1_E41251g","down"
"YALI1_C24891g","down"
"YALI1_B11960g","down"
"YALI1_E07899g","down"
"YALI1_E02906g","down"
"YALI1_D32153g","down"
"YALI1_B18572g","mixed"
"YALI1_E09329g","down"
"YALI1_E08211g","up"
"YALI1_B11983g","up"
"YALI1_C31408g","mixed"
"YALI1_D03412g","down"
"YALI1_E35023g","down"
"YALI1_E09924g","down"
"YALI1_F23922g","mixed"
"YALI1_B20802g","up"
"YALI1_E02007g","up"
"YALI1_D02041g","mixed"
"YALI1_B29419g","up"
"YALI1_B21250g","down"
"YALI1_F14688g","down"
"YALI1_E32033g","down"
"YALI1_D11256g","mixed"
"YALI1_F21174g","up"
"YALI1_D05705g","up"
"YALI1_E38706g","up"
"YALI1_A12437g","mixed"
"YALI1_B25553g","down"
"YALI1_A17957g","mixed"
"YALI1_E36437g","mixed"
"YALI1_B14441g","down"
"YALI1_E40305g","down"
"YALI1_F37916g","up"
"YALI1_F02481g","up"
"YALI1_B14236g","up"
"YALI1_B12742g","up"
"YALI1_B14238g","up"
"YALI1_E16433g","up"
"YALI1_D20050g","up"
"YALI1_F03407g","down"
"YALI1_D24109g","down"
"YALI1_D15848g","down"
"YALI1_D36215g","down"
"YALI1_C25576g","down"
"YALI1_D08285g","down"
"YALI1_E12067g","mixed"
"YALI1_F14136g","down"
"YALI1_E38113g","down"
"YALI1_D20304g","down"
"YALI1_E14350g","mixed"
"YALI1_E40282g","down"
"YALI1_C20646g","down"
"YALI1_C26890g","down"
"YALI1_E06712g","down"
"YALI1_D17854g","down"
"YALI1_E08351g","down"
"YALI1_D24836g","down"
"YALI1_E37392g","up"
"YALI1_C02639g","down"
"YALI1_C29584g","up"
"YALI1_A22073g","down"
"YALI1_B14959g","up"
"YALI1_D15744g","down"
"YALI1_B20108g","up"
"YALI1_D06302g","up"
"YALI1_D06859g","up"
"YALI1_D11937g","down"
"YALI1_E25018g","down"
"YALI1_D17493g","up"
"YALI1_E19371g","down"
"YALI1_D02206g","up"
"YALI1_B08193g","down"
"YALI1_C18258g","down"
"YALI1_F38116g","down"
"YALI1_C12941g","up"
"YALI1_D12723g","down"
"YALI1_A01468g","up"
"YALI1_F38317g","up"
"YALI1_C10492g","down"
"YALI1_E02162g","mixed"
"YALI1_F19899g","up"
"YALI1_F16656g","up"
"YALI1_A09939g","down"
"YALI1_E07571g","down"
"YALI1_E17355g","up"
"YALI1_F09177g","down"
"YALI1_C13410g","up"
"YALI1_E41276g","down"
"YALI1_B27254g","up"
"YALI1_E26021g","down"
"YALI1_B22533g","down"
"YALI1_E33150g","down"
"YALI1_D09000g","up"
"YALI1_D14489g","up"
"YALI1_B06847g","up"
"YALI1_B26763g","up"
"YALI1_F03136g","down"
"YALI1_D16144g","down"
"YALI1_D35965g","up"
"YALI1_D26051g","down"
"YALI1_F29395g","down"
"YALI1_F01078g","down"
"YALI1_F01981g","down"
"YALI1_B12409g","down"
"YALI1_A09064g","down"
"YALI1_E02481g","down"
"YALI1_C26377g","up"
"YALI1_A10857g","down"
"YALI1_B12489g","down"
"YALI1_F02545g","down"
"YALI1_C29506g","up"
"YALI1_E26229g","down"
"YALI1_B15092g","up"
"YALI1_E14988g","down"
"YALI1_D31155g","down"
"YALI1_F13875g","up"
"YALI1_C32886g","down"
"YALI1_A18847g","down"
"YALI1_F37463g","down"
"YALI1_D13510g","down"
"YALI1_E27441g","up"
"YALI1_D24626g","down"
"YALI1_A20995g","down"
"YALI1_C12788g","up"
"YALI1_D06131g","down"
"YALI1_F35868g","down"
"YALI1_C10203g","down"
"YALI1_A16095g","down"
"YALI1_E13428g","down"
"YALI1_E14505g","down"
"YALI1_F23664g","up"
"YALI1_F09017g","down"
"YALI1_D09566g","up"
"YALI1_F12138g","up"
"YALI1_A16292g","down"
"YALI1_F37320g","up"
"YALI1_F10115g","down"
"YALI1_A17085g","down"
"YALI1_D12050g","down"
"YALI1_F06351g","down"
"YALI1_E09241g","down"
"YALI1_D02444g","down"
"YALI1_F25908g","down"
"YALI1_F25924g","down"
"YALI1_C27543g","down"
"YALI1_F37714g","up"
"YALI1_C20396g","down"
"YALI1_E00760g","up"
"YALI1_F11689g","up"
"YALI1_F03842g","down"
"YALI1_D09785g","down"
"YALI1_B05798g","up"
"YALI1_B22266g","up"
"YALI1_E20596g","down"
"YALI1_B11853g","up"
"YALI1_B14121g","down"
"YALI1_F30877g","down"
"YALI1_C09200g","down"
"YALI1_B19290g","down"
"YALI1_E21097g","up"
"YALI1_E15398g","down"
"YALI1_D18037g","up"
"YALI1_F04110g","up"
"YALI1_E33056g","down"
"YALI1_E17643g","down"
"YALI1_A06099g","down"
"YALI1_C24262g","down"
"YALI1_C00841g","down"
"YALI1_F11199g","down"
"YALI1_F24864g","down"
"YALI1_E31865g","down"
"YALI1_F39022g","down"
"YALI1_B02194g","down"
"YALI1_A01628g","down"
"YALI1_C29676g","up"
"YALI1_D12832g","down"
"YALI1_F34324g","up"
"YALI1_D07788g","down"
"YALI1_B14492g","down"
"YALI1_F17988g","up"
"YALI1_A02461g","down"
"YALI1_F10990g","up"
"YALI1_E33400g","up"
"YALI1_B14194g","down"
"YALI1_E23961g","up"
"YALI1_B17927g","down"
"YALI1_E02626g","down"
"YALI1_F29139g","down"
"YALI1_B12451g","up"
"YALI1_E35280g","down"
"YALI1_C30706g","down"
"YALI1_B29310g","up"
"YALI1_C06394g","down"
"YALI1_C29762g","down"
"YALI1_F35938g","down"
"YALI1_B20378g","up"
"YALI1_F36742g","down"
"YALI1_D18408g","down"
"YALI1_C25093g","down"
"YALI1_D13545g","up"
"YALI1_D35787g","down"
"YALI1_C04328g","down"
"YALI1_F26186g","down"
"YALI1_B24335g","down"
"YALI1_E27649g","down"
"YALI1_A18622g","down"
"YALI1_D22834g","down"
"YALI1_D21458g","up"
"YALI1_D23067g","down"
"YALI1_D00888g","down"
"YALI1_F25556g","down"
"YALI1_D05270g","down"
"YALI1_D17770g","down"
"YALI1_E07347g","up"
"YALI1_D35945g","down"
"YALI1_B03644g","down"
"YALI1_F29652g","down"
"YALI1_B08321g","up"
"YALI1_B26984g","down"
"YALI1_E04613g","up"
"YALI1_E10587g","down"
"YALI1_F35061g","down"
"YALI1_D08884g","down"
"YALI1_E26205g","up"
"YALI1_B21798g","up"
"YALI1_E20995g","down"
"YALI1_A05459g","down"
"YALI1_F16478g","down"
"YALI1_F23399g","up"
"YALI1_C13000g","up"
"YALI1_B22883g","up"
"YALI1_D04128g","down"
"YALI1_B00578g","up"
"YALI1_F38191g","up"
"YALI1_B09894g","down"
"YALI1_B19576g","down"
"YALI1_B30039g","down"
"YALI1_E03762g","down"
"YALI1_E20923g","up"
"YALI1_E17037g","down"
"YALI1_E03439g","up"
"YALI1_E40502g","down"
"YALI1_F24031g","down"
"YALI1_F06035g","up"
"YALI1_F06956g","down"
"YALI1_A00789g","down"
"YALI1_C17566g","up"
"YALI1_F03389g","up"
"YALI1_F11635g","up"
"YALI1_A09593g","down"
"YALI1_A20063g","down"
"YALI1_B21562g","down"
"YALI1_C23902g","up"
"YALI1_F21396g","down"
"YALI1_C16204g","down"
"YALI1_E29617g","up"
"YALI1_C05125g","down"
"YALI1_E34072g","down"
"YALI1_A00746g","up"
"YALI1_F13202g","down"
"YALI1_A07649g","down"
"YALI1_A10619g","up"
"YALI1_E31827g","up"
"YALI1_C14884g","down"
"YALI1_B03404g","up"
"YALI1_D10693g","down"
"YALI1_C09467g","down"
"YALI1_E07535g","up"
"YALI1_B26235g","up"
"YALI1_F34202g","down"
"YALI1_F12422g","up"
"YALI1_F01020g","up"
"YALI1_A06958g","up"
