genes,HiT,LpH
YALI1_E41251g,-2.48837337682349,-3.47030744306755
YALI1_C24891g,-2.25255359089434,-2.23866273951121
YALI1_E24343g,-1.52917290005635,-1.96793090911719
YALI1_B25553g,-1.0322607832851,-1.59316689408511
YALI1_D00474g,-0.786915162943697,-1.94857066269118
YALI1_F09747g,-0.687281094547392,-1.12453597690597
YALI1_E31389g,-0.712720517482367,-1.04148933854426
YALI1_D36215g,-1.23475011592045,-0.974912304802063
YALI1_D13510g,-0.739335746735868,-0.852912209107059
YALI1_C15964g,-0.584552071567931,-0.766699256311336
YALI1_B12409g,-0.90888750099184,-1.34030655404181
YALI1_D23067g,-0.598179957901486,-0.662925063477935
YALI1_B20289g,-0.527317087234143,-0.911603840682351
YALI1_F38776g,-0.873563545151921,-0.865995881649121
YALI1_A12284g,-0.892769112007837,-0.750965833964233
YALI1_A20484g,-0.679594673505743,-0.693741292367478
YALI1_E41276g,-0.511161405295088,-0.874048627297937
YALI1_A08729g,-0.983989659882381,-0.641599264628201
YALI1_C16333g,-0.641489018833186,-0.530881118099339
YALI1_D26586g,-0.538754555395258,-0.755453832347535
YALI1_E13428g,-0.685560520869128,-0.829689240474504
