genes,HiT,LpH
YALI1_D34933g,-4.34524858715883,-3.42174430869637
YALI1_C21789g,-1.16467401358981,-2.16315989379761
YALI1_E21983g,-1.10544042526683,-2.34034608240895
YALI1_F17988g,-1.20568222775909,-3.10814761306125
YALI1_F03120g,-1.15453453624389,-1.83413997130721
YALI1_B05832g,-1.07847193214377,-4.01270555096684
YALI1_D16206g,-1.16499278425556,-1.77945021134986
YALI1_E09568g,-1.04802849721243,-1.70825261983551
YALI1_E32664g,-1.17072033305408,-1.59531049499055
YALI1_F15641g,-1.03034060740779,-3.29904107433697
YALI1_C10385g,-1.1361483435556,-4.79125190123573
YALI1_E41251g,-1.34720786070926,-1.41823365865337
YALI1_E21256g,-1.24357401528064,-5.12895714808362
YALI1_A17239g,-1.27585093910201,-3.29593395673155
YALI1_C07152g,-1.02069498745243,-2.91652762472811
YALI1_E36494g,-1.56248422857391,-6.72447322092138
YALI1_A01537g,-1.20279274289433,-1.62534587824969
YALI1_D00422g,-1.1417117995853,-2.26218472261151
YALI1_B25258g,-1.20082210404956,-1.49374191615059
YALI1_B03910g,-1.49795131733797,-1.08896905259471
YALI1_B29364g,-1.137242054651,-1.36466658560742
YALI1_B24836g,-1.38854011873639,-1.31657849140954
