"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"LowpH_D"	"standard_A"	"standard_B"	"standard_C"	"standard_D"	"Top.Protein.Description"	"Chassy_ID"	"W29_NCBI"	"CLIB122_NCBI"	"CLIB122_UNIPROT"	"Protein_name"	"ec_number"
"a1.a1.a1"	954.585153653394	982.745236568417	918.573652480134	778.348106130333	791.058706071211	797.447867558187	774.963912691451	829.521626154693	1042.77209054781	892.72830714004	781.995694219089	"Chassy_YL_F_1264;YALI1_F32597g;YALI0F25289g1_1;Q6C0E9;uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	"Chassy_YL_F_1264"	"YALI1_F32597g"	"YALI0F25289g1_1"	"Q6C0E9"	"uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	""
"a1.a2.a1"	820.870789920702	817.027401134147	759.690698893256	564.317502688882	571.326984232031	577.850181339075	567.115524981088	749.940701773814	892.984074276077	763.16390692249	702.188083305456	"Chassy_YL_D_405;YALI1_D10458g;YALI0D08184g1_1;Q6C9V0;uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	"Chassy_YL_D_405"	"YALI1_D10458g"	"YALI0D08184g1_1"	"Q6C9V0"	"uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	""
"a1.a3.a1"	740.066989225037	809.787497336944	771.238696387389	533.003653400549	604.533562275101	549.697078063736	559.127627186365	742.633421240784	812.887426265761	776.305094978101	674.720161945728	"Chassy_YL_D_1098;YALI1_D28273g;YALI0D22352g1_1;Q6C864;uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	"Chassy_YL_D_1098"	"YALI1_D28273g"	"YALI0D22352g1_1"	"Q6C864"	"uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	""
"a1.a4.a1"	711.745370032361	710.78213757975	684.293320544565	718.195762475171	572.223993080354	578.757431897813	667.860666437671	634.357571270192	631.716692105779	570.670699016751	610.781417329549	"Chassy_YL_C_888;YALI1_C24707g;YALI0C17347g1_1;Q6CBM2;uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	"Chassy_YL_C_888"	"YALI1_C24707g"	"YALI0C17347g1_1"	"Q6CBM2"	"uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	""
"a1.a5.a1"	559.973726796561	532.551684638274	442.39066242081	605.521138943687	534.078710884854	627.906074322348	624.673164595099	535.979745613334	697.311999988547	506.366099568273	521.637086078802	"Chassy_YL_A_5;YALI1_A00102g;YALI0A00132g1_1;Q6CIA7;uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	"Chassy_YL_A_5"	"YALI1_A00102g"	"YALI0A00132g1_1"	"Q6CIA7"	"uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	""
"a1.a6.a1"	543.953240894875	559.435427182584	566.864614300332	391.015349694663	445.3384760166	390.353416571298	400.005860007034	496.589274268109	556.716309851676	538.285448851078	468.809089488294	"Chassy_YL_A_906;YALI1_A22539g;W29 specific;No Uniprot ID;No description in CLIB122"	"Chassy_YL_A_906"	"YALI1_A22539g"	""	""	"No description in CLIB122"	""
"a1.a7.a1"	451.112779257087	456.321328911751	384.530041260931	474.835289260051	413.969959180613	440.032379495454	445.24148491042	376.145409847574	445.761007243729	323.697659844287	342.003967863887	"Chassy_YL_E_648;YALI1_E16731g;YALI0E13706g1_1;Q99170;uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	"Chassy_YL_E_648"	"YALI1_E16731g"	"YALI0E13706g1_1"	"Q99170"	"uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	""
"a2.a1.a1"	2304.76607412053	2127.45501200042	1830.39012972906	3829.99107355659	3297.38330046668	3928.43385148894	3409.2847618998	2636.72619828369	4038.76402029832	1938.0707444852	2659.70937698774	"Chassy_YL_C_302;YALI1_C08262g;YALI0C06369g1_1;Q6CCU7;uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"Chassy_YL_C_302"	"YALI1_C08262g"	"YALI0C06369g1_1"	"Q6CCU7"	"uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"1.2.1.12"
"a4.a1.a1"	1560.35520072208	1554.6896137884	1425.7729600734	1753.72245735723	1463.1528374064	1462.38053008996	1664.25467030962	1528.99810621586	2648.38500796829	1543.14251205528	1746.38791491709	"Chassy_YL_F_865;YALI1_F22436g;YALI0F16819g1_1;Q6C1F3;uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"Chassy_YL_F_865"	"YALI1_F22436g"	"YALI0F16819g1_1"	"Q6C1F3"	"uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"4.2.1.11"
"a4.a2.a1"	101.87229031096	49.0460464287839	70.3232949782211	0	0	94.9183724061995	0	84.9428261691723	109.19043297545	119.700705364397	72.9554438436479	"Chassy_YL_E_404;YALI1_E10587g;YALI0E08756g1_1;Q6C6K7;uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	"Chassy_YL_E_404"	"YALI1_E10587g"	"YALI0E08756g1_1"	"Q6C6K7"	"uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	""
"a5.a1.a1"	1523.07683906701	1700.33578156712	1205.7067363516	1475.90218453393	960.227736149304	1172.76735049838	1204.643841883	1432.37459919916	917.374012832346	1089.3130064659	1182.1838778893	"Chassy_YL_F_20;YALI1_F00654g;YALI0F00484g1_1;Q6C3E1;uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase"	"Chassy_YL_F_20"	"YALI1_F00654g"	"YALI0F00484g1_1"	"Q6C3E1"	"uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase"	""
"a6.a1.a1"	633.79137989167	611.900991549284	578.748636785386	1060.08273694482	1011.41163637142	1022.68178778726	1011.26480616997	788.572237889644	1282.90389794509	800.093150872136	775.839281476425	"Chassy_YL_E_604;YALI1_E15659g;YALI0E12683g1_1;Q6C638;uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase"	"Chassy_YL_E_604"	"YALI1_E15659g"	"YALI0E12683g1_1"	"Q6C638"	"uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase"	""
"a7.a1.a1"	635.101636382205	603.438813326217	540.280255801552	747.339221044962	661.261563895186	706.452266785162	630.026383779601	647.500250566306	697.062392678456	680.638048216514	576.930161985289	"Chassy_YL_D_470;YALI1_D11984g;YALI0D09361g1_1;Q6C9P6;uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase"	"Chassy_YL_D_470"	"YALI1_D11984g"	"YALI0D09361g1_1"	"Q6C9P6"	"uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase"	"4.2.1.-"
"a7.a2.a1"	100.62799887405	97.9614002267644	104.866461822546	100.673261786713	140.247566176617	112.835529090588	106.309978997339	130.344271839794	61.0896638205203	123.960182142579	145.71648386514	"Chassy_YL_E_700;YALI1_E17935g;YALI0E14949g1_1;Q6C5V2;uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase"	"Chassy_YL_E_700"	"YALI1_E17935g"	"YALI0E14949g1_1"	"Q6C5V2"	"uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase"	"4.2.1.-"
"a8.a1.a1"	1119.23041155779	1140.28220195642	1039.86265271291	1215.30518289873	1051.47233547887	1148.03311998724	1258.22856108792	1062.17572350239	1637.952623814	1152.10605873731	994.541479953814	"Chassy_YL_C_439;YALI1_C12642g;YALI0C09141g1_1;O59949;uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha)"	"Chassy_YL_C_439"	"YALI1_C12642g"	"YALI0C09141g1_1"	"O59949"	"uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha)"	""
"a9.a1.a1"	923.788565278239	937.384409463463	1036.08475132261	1049.50557567268	1132.9768381419	1062.16744748258	1107.83194059793	934.839667374022	1275.71316734024	1067.08399934173	1091.79467597444	"Chassy_YL_B_208;YALI1_B05364g;YALI0B03982g1_1;Q6CFT7;highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	"Chassy_YL_B_208"	"YALI1_B05364g"	"YALI0B03982g1_1"	"Q6CFT7"	"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	"3.6.3.14"
"b11.a1.a1"	913.649799305068	954.526453876466	874.808478244401	1010.70247445856	842.043277476225	899.729450950336	1007.77616328735	782.869970537453	1098.76360682816	855.812421570563	803.434224776629	"Chassy_YL_F_154;YALI1_F04433g;YALI0F03179g1_1;Q6C326;highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit"	"Chassy_YL_F_154"	"YALI1_F04433g"	"YALI0F03179g1_1"	"Q6C326"	"highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit"	""
"b12.a1.a1"	631.194684214643	550.394046842471	525.283861780052	530.559550932185	487.033294074457	442.74647820222	441.393271994766	518.97796516796	676.537463237784	551.151962739211	549.67643570554	"Chassy_YL_E_720;YALI1_E18441g;YALI0E15378g1_1;F2Z6I5;uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase"	"Chassy_YL_E_720"	"YALI1_E18441g"	"YALI0E15378g1_1"	"F2Z6I5"	"uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase"	""
"b13.a1.a1"	401.143823175574	390.513684563896	391.233861235727	461.468431442069	565.751920660711	589.595281556575	554.539553717777	393.927997025662	370.261612053623	385.796474874372	461.524293255553	"Chassy_YL_B_1074;YALI1_B28659g;YALI0B22066g1_1;Q6CDQ7;highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"	"Chassy_YL_B_1074"	"YALI1_B28659g"	"YALI0B22066g1_1"	"Q6CDQ7"	"highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"	"3.6.3.6"
"b14.a1.a1"	1044.80020202827	899.815058046165	913.083770611197	572.678993000747	776.452586552547	785.001606541183	567.115524981088	951.677383277254	1430.71328924065	822.591375008592	921.2591374103	"Chassy_YL_D_1302;YALI1_D34353g;YALI0D25960g1_1;No Uniprot ID;similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift"	"Chassy_YL_D_1302"	"YALI1_D34353g"	"YALI0D25960g1_1"	""	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift"	""
"b14.a2.a1"	45.226358560813	7.13307360263454	15.4399734619217	0	25.0934132823506	25.0801680312892	8.56936193167492	30.0621779336784	64.9282525787772	17.408823010664	24.1813019484388	"Chassy_YL_C_142;YALI1_C04093g;YALI0C03025g1_1;Q6CD79;similar to uniprot|P46367 Saccharomyces cerevisiae YOR374W ALD4 Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate"	"Chassy_YL_C_142"	"YALI1_C04093g"	"YALI0C03025g1_1"	"Q6CD79"	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374W ALD4 Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate"	""
"b15.a1.a1"	1001.20149949514	1344.04169775333	1191.41635505357	1524.04603031359	1202.9017583225	1162.45316140399	1323.21056033448	1242.41791804396	1479.807120038	1259.83731684485	1248.82292227935	"Chassy_YL_D_800;YALI1_D20676g;YALI0D16753g1_1;Q6C8V3;uniprot|Q6C8V3 Yarrowia lipolytica YALI0D16753g MDH1 Mitochondrial malate dehydrogenase"	"Chassy_YL_D_800"	"YALI1_D20676g"	"YALI0D16753g1_1"	"Q6C8V3"	"uniprot|Q6C8V3 Yarrowia lipolytica YALI0D16753g MDH1 Mitochondrial malate dehydrogenase"	"1.1.1.37"
"b16.a1.a1"	721.918767846581	661.302048120044	796.777367409849	628.50242377522	666.636102630067	457.142332451843	605.540639010998	536.59306070248	920.216161687708	538.672260460192	734.412383938043	"Chassy_YL_E_129;YALI1_E03300g;YALI0E02684g1_1;Q6C793;uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative"	"Chassy_YL_E_129"	"YALI1_E03300g"	"YALI0E02684g1_1"	"Q6C793"	"uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative"	"2.3.3.5; 2.3.3.16"
"b16.a2.a1"	259.463679828944	294.02212498566	226.151033725548	217.108137586588	195.98235097046	205.357418160635	174.688203862894	243.309194592159	268.992122096235	254.988995254191	262.13881717656	"Chassy_YL_E_35;YALI1_E01019g;YALI0E00638g1_1;Q6C7I2;uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase"	"Chassy_YL_E_35"	"YALI1_E01019g"	"YALI0E00638g1_1"	"Q6C7I2"	"uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase"	""
