ChassyID	W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number
Chassy_YL_F_1264	YALI1_F32597g	YALI0F25289g1_1	Q6C0E9	34806.00588	38310.8685	9999	146778.9268	177826.941	99999	34806.00588	23712.73706	38310.8685	21543.3469	11005.94171	uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein I2	
Chassy_YL_D_1098	YALI1_D28273g	YALI0D22352g1_1	Q6C864	13181.56739	10963.78196	9119.108394	39809.71706	75856.7575	36306.80548	14453.39771	4364.158322	5247.074602	2510.886432	2088.296131	uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein I2	
Chassy_YL_C_888	YALI1_C24707g	YALI0C17347g1_1	Q6CBM2	7016.038287	5877.016072	2029.917621	5378.838403	9999	14250.0267	3454.107295	9999	9999	9999	3454.107295	uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein I2	
Chassy_YL_A_5	YALI1_A00102g	YALI0A00132g1_1	Q6CIA7	12114.27659	28728.84833	19572.41781	38310.8685	42168.65034	51088.69775	12114.27659	34806.00588	31621.7766	51088.69775	17781.7941	uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein I2	
Chassy_YL_D_405	YALI1_D10458g	YALI0D08184g1_1	Q6C9V0	11005.94171	14676.99268	9084.175757	34806.00588	99999	90850.75757	23712.73706	2609.157216	3830.18685	2871.984833	2609.157216	uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein I2	
Chassy_YL_E_648	YALI1_E16731g	YALI0E13706g1_1	Q99170	3161.27766	3510.191734	6578.332247	5924.530976	31621.7766	31621.7766	15198.11083	18737.17423	13687.7451	20804.67538	25649.20906	uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins I2	
Chassy_YL_A_906	YALI1_A22539g			420.6965034	509.8969775	260.0157216	999	1777.27941	1210.527659	617.9658189	176.827941	260.0157216	214.443469	160.5598098	No description in CLIB122 I2	
Chassy_YL_C_302	YALI1_C08262g	YALI0C06369g1_1	Q6CCU7	77425.36827	99999	52748.97064	215442.469	316226.766	129153.9665	40841.38653	21544345.9	408422.8653	464157.8834	999999	uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase I2	1.2.1.12
Chassy_YL_D_470	YALI1_D11984g	YALI0D09361g1_1	Q6C9P6	5297.316906	3289.344562	3038.195382	4519.353656	6722.357536	4519.353656	2591.943797	57360.5251	11720.02298	9999	12688.61003	uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase I2	4.2.1.-
Chassy_YL_E_700	YALI1_E17935g	YALI0E14949g1_1	Q6C5V2	19.96179992	15.37893707	18.30697729	23.70911228	7.483428982	9	9.857111194	21.75845926	21.75845926	25.82695795	18.30697729	uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase I2	4.2.1.-
Chassy_YL_F_865	YALI1_F22436g	YALI0F16819g1_1	Q6C1F3	1930696.729	9999999	5179473.679	7196855.73	8483427.982	51794745.79	9999999	316227765	1389494.494	7196855.73	37275936.2	uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase I2	4.2.1.11
Chassy_YL_E_404	YALI1_E10587g	YALI0E08756g1_1	Q6C6K7	2.593813664	1.15443469	1.782559402	1.782559402	3.641588834	3.641588834	2.593813664	0.668100537	1.15443469	0.668100537	0.668100537	uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation I2	
Chassy_YL_E_604	YALI1_E15659g	YALI0E12683g1_1	Q6C638	1323.192792	3073.715081	1480.602518	3848.159022	797.8017808	602.2367686	712.9347752	4554.505605	7138.347752	8448.466108	3637.94599	uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase I2	
Chassy_YL_F_20	YALI1_F00654g	YALI0F00484g1_1	Q6C3E1	8798.225436	6811.920691	1894.735652	7741.636827	18956.35652	16680.00537	5993.842503	21543.3469	5273.997064	18956.35652	8798.225436	uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase I2	
