W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D
YALI1_A16292g	Q6CGT5	YALI0A16379g1_1	7.264194762	7.249797672	7.225805211	7.248837007	7.477998945	7.55276795	7.471144715	6.753422357	6.788705587	6.796557246	6.760113535
YALI1_E36437g	Q6C3Z9	YALI0E30965g1_1	7.32615499	7.263035677	7.324337353	7.276161061	7.667606151	7.696527179	7.666884231	6.889879885	6.933731769	6.894465745	6.860358873
YALI1_C31408g	Q6CB11	YALI0C22748g1_1	7.372566265	7.312104584	7.392600397	7.295810236	7.631889648	7.710530518	7.645085203	6.857567423	6.804944303	6.774589584	6.790248505
YALI1_D00474g	Q6CAS0	YALI0D00451g1_1	7.357925699	7.291954224	7.235325484	7.373706815	7.085055103	7.068859556	7.099012907	6.229884848	6.337987126	6.199471162	6.25442504
YALI1_A06099g	Q6CHQ5	YALI0A06435g1_1	7.21003576	7.199876789	7.208258823	7.21125274	7.207354068	7.245346791	7.212501097	6.484282135	6.592379284	6.54364185	6.426449089
YALI1_B11853g	Q6CFA8	YALI0B08778g1_1	6.944773794	6.940585789	6.883199536	6.918020061	6.97709526	6.969080192	6.897273865	7.214695094	7.172961735	7.1790088	7.204880521
YALI1_D18408g	Q6C916	YALI0D15114g1_1	7.195206409	7.162325581	7.23309281	7.165726925	7.314223506	7.348025246	7.30082394	6.860658307	6.819940594	6.86229331	6.780293019
YALI1_F30877g	Q6C0L9	YALI0F23551g1_1	7.023612665	7.009733877	6.980001711	7.0007304	6.959500556	6.946801801	6.926622414	6.766975768	6.794710365	6.77270695	6.744159836
YALI1_F23664g	Q6C1A9	YALI0F17820g1_1	7.579445146	7.528296171	7.583371293	7.507708669	7.347384695	7.404813836	7.487555908	7.987647821	8.085286914	8.105838139	8.092529148
YALI1_D27884g	Q6C874	YALI0D22088g1_1	6.939836469	6.931040958	6.970655253	6.962285189	6.842229182	6.886336038	6.884602851	7.133493068	7.119129947	7.126565469	7.150552377
YALI1_F12138g	Q6C2D9	YALI0F08701g1_1	7.218656725	7.122467235	7.165371879	7.111719964	6.926747595	6.993567745	6.911610099	7.471161258	7.447449006	7.472041512	7.486435793
YALI1_E09241g	Q6C6P1	YALI0E07744g1_1	7.721069601	7.667078201	7.74380281	7.649339842	7.756627652	7.842089792	7.781154762	6.9985894	7.092675541	7.090339381	6.835852972
YALI1_C29506g	Q6CB74	YALI0C21362g1_1	6.908435095	6.899823131	6.862595242	6.718049933	6.854510742	6.885615548	6.895575234	7.511338058	7.475853045	7.512655334	7.53435308
YALI1_F37320g	Q6BZY9	YALI0F29821g1_1	6.520470825	6.587419055	6.455162254	6.672466084	6.403489278	6.439852089	6.383243705	7.324922741	7.205107854	7.272044136	7.26469154
YALI1_F38191g	Q6BZV7	YALI0F30547g1_1	6.909561743	6.846170153	6.864055099	6.831669877	6.669281669	6.743836629	6.794358384	7.305289258	7.270498765	7.297664044	7.35066034
YALI1_D16151g	Q6C990	YALI0D13024g1_1	6.601495045	6.562532979	6.532352728	6.548698859	6.313624929	6.390194232	6.277354948	6.860182474	6.851180935	6.909052512	6.916632345
YALI1_B18572g	Q6CEP8	YALI0B14014g1_1	7.458647854	7.435937074	7.37716141	7.406853154	7.049123914	7.059917228	6.898141345	7.772042238	7.714126414	7.770296537	7.838544568
