GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
CENPK1137D_1642	Q02785	YPL058C	0	3	4	0	0	0	30	19	15	0	0	0
CENPK1137D_3311	P53051	YGR287C	0	0	1	0	2	2	1	0	0	14	15	12
CENPK1137D_4363	P39932	YDR536W	0	0	0	0	0	0	0	0	0	8	8	8
CENPK1137D_1521			0	0	0	0	0	0	0	0	0	8	3	4
CENPK1137D_4761	P32528	YBR208C	0	0	0	1	0	0	6	4	5	0	0	0
CENPK1137D_307	Q03516	YMR266W	0	0	0	0	0	0	6	7	0	0	0	0
CENPK1137D_1123	P34231	YKL187C	5	7	7	8	7	5	7	4	9	0	0	0
CENPK1137D_1173	P35999	YKL134C	0	0	0	0	0	0	0	0	0	4	5	3
CENPK1137D_3853	Q07629	YDL218W	5	6	6	6	7	7	6	9	5	0	0	0
CENPK1137D_4754	P09435	YBL075C	96	102	95	101	101	81	100	88	102	66	63	63
CENPK1137D_2448	Q08230	YOL071W	0	0	0	0	6	2	5	5	0	0	0	0
CENPK1137D_2944	P53008	YGL027C	2	8	5	3	3	1	6	3	6	0	0	0
CENPK1137D_5429	P38690	YHR033W	0	0	0	0	0	0	0	0	0	1	4	3
CENPK1137D_288	Q04781	YMR247C	0	0	0	0	0	0	0	0	0	2	3	3
CENPK1137D_1480			0	0	0	0	0	0	0	0	0	1	3	4
CENPK1137D_3314			9	10	15	13	11	10	12	15	15	26	25	23
CENPK1137D_5104	P40582	YIR038C	15	18	17	15	15	14	23	19	20	9	6	7
CENPK1137D_104			3	5	3	5	3	5	3	4	3	0	0	0
CENPK1137D_4338	Q04401	YDR511W	3	4	2	6	3	0	0	0	0	0	1	0
CENPK1137D_1797	Q06096	YPR105C	0	0	0	0	0	0	0	0	0	2	1	4
CENPK1137D_3558	P40088	YER145C	0	0	0	0	0	0	3	0	0	2	2	4
CENPK1137D_230	P05745	YMR194W	31	16	17	11	14	12	12	7	8	13	10	13
CENPK1137D_2120	P01119	YOR101W	0	3	3	5	6	5	0	0	2	3	0	0
CENPK1137D_972	Q86ZR7	YKL033W-A	4	4	6	1	2	0	3	1	2	1	0	0
CENPK1137D_3398	P23337	YFR015C	6	8	8	9	4	7	7	6	4	3	1	0
CENPK1137D_982	P36103	YKL023W	0	0	0	2	5	0	0	0	2	0	0	0
CENPK1137D_1490	P14680	YJL141C	2	1	2	3	2	3	0	0	1	0	0	0
CENPK1137D_2068	Q02792	YOR048C	1	3	2	0	0	0	0	0	0	1	1	2
