"protein","Gene","orthogroup"
"A5Z2X5","YPR010C-A","S+KLZ-Single"
"D6VTK4","YFL026W","S+KLZ-Single"
"D6W196","YNL083W","S+KLZ-Single"
"O13297","YPL228W","S+KLZ-Single"
"O13329","YDR110W","S+KLZ-Single"
"O13525","YDR204W","S+KLZ-Single"
"O13539","YHR167W","S+KLZ-Single"
"O13547","YLR390W-A","S+KLZ-Single"
"O13563","YLR421C","S+KLZ-Single"
"O13585","YPR089W","S+KLZ-Single"
"O14464","YPL183W-A","S+KLZ-Single"
"O14467","YOR298C-A","S+KLZ-Single"
"O14468","YOR304C-A","S+KLZ-Single"
"O43137","YBR085C-A","S+KLZ-Single"
"O60200","YKL053C-A","S+KLZ-Single"
"O74700","YEL020W-A","S+KLZ-Single"
"O75012","YDL045W-A","S+KLZ-Single"
"O94742","YDR363W-A","S+KLZ-Single"
"P00044","YJR048W","S+KLZ-Single"
"P00127","YFR033C","S+KLZ-Single"
"P00128","YDR529C","S+KLZ-Single"
"P00175","YML054C","S+KLZ-Single"
"P00424","YNL052W","S+KLZ-Single"
"P00427","YHR051W","S+KLZ-Single"
"P00431","YKR066C","S+KLZ-Single"
"P00445","YJR104C","S+KLZ-Single"
"P00447","YHR008C","S+KLZ-Single"
"P00498","YER055C","S+KLZ-Single"
"P00546","YBR160W","S+KLZ-Single"
"P00549","YAL038W","S+KLZ-Single"
"P00560","YCR012W","S+KLZ-Single"
"P00572","YJR057W","S+KLZ-Single"
"P00724","YIL162W","S+KLZ-Single"
"P00812","YPL111W","S+KLZ-Single"
"P00815","YCL030C","S+KLZ-Single"
"P00817","YBR011C","S+KLZ-Single"
"P00830","YJR121W","S+KLZ-Single"
"P00899","YER090W","S+KLZ-Single"
"P00912","YDR007W","S+KLZ-Single"
"P00927","YER086W","S+KLZ-Single"
"P00931","YGL026C","S+KLZ-Single"
"P00937","YKL211C","S+KLZ-Single"
"P00942","YDR050C","S+KLZ-Single"
"P00950","YKL152C","S+KLZ-Single"
"P00958","YGR264C","S+KLZ-Single"
"P01097","YDL181W","S+KLZ-Single"
"P01123","YFL038C","S+KLZ-Single"
"P02309","YBR009C, YNL030W","S+KLZ-Single"
"P02400","YDR382W","S+KLZ-Single"
"P02406","YGL103W","S+KLZ-Single"
"P02557","YFL037W","S+KLZ-Single"
"P02992","YOR187W","S+KLZ-Single"
"P02994","YPR080W, YBR118W","S+KLZ-Single"
"P03069","YEL009C","S+KLZ-Single"
"P03871","R0020C","S+KLZ-Single"
"P03874","YHL038C","S+KLZ-Single"
"P03962","YEL021W","S+KLZ-Single"
"P04037","YGL187C","S+KLZ-Single"
"P04039","YLR395C","S+KLZ-Single"
"P04046","YMR300C","S+KLZ-Single"
"P04050","YDL140C","S+KLZ-Single"
"P04051","YOR116C","S+KLZ-Single"
"P04076","YHR018C","S+KLZ-Single"
"P04147","YER165W","S+KLZ-Single"
"P04161","YDR408C","S+KLZ-Single"
"P04173","YCL018W","S+KLZ-Single"
"P04386","YPL248C","S+KLZ-Single"
"P04387","YML051W","S+KLZ-Single"
"P04397","YBR019C","S+KLZ-Single"
"P04456","YOL127W","S+KLZ-Single"
"P04650","YJL189W","S+KLZ-Single"
"P04786","YOL006C","S+KLZ-Single"
"P04801","YIL078W","S+KLZ-Single"
"P04802","YLL018C","S+KLZ-Single"
"P04803","YDR268W","S+KLZ-Single"
"P04819","YDL164C","S+KLZ-Single"
"P04821","YLR310C","S+KLZ-Single"
"P04840","YNL055C","S+KLZ-Single"
"P05066","YOR386W","S+KLZ-Single"
"P05085","YML099C","S+KLZ-Single"
"P05150","YJL088W","S+KLZ-Single"
"P05317","YLR340W","S+KLZ-Single"
"P05318","YDL081C","S+KLZ-Single"
"P05319","YOL039W","S+KLZ-Single"
"P05373","YGL040C","S+KLZ-Single"
"P05374","YGR157W","S+KLZ-Single"
"P05375","YJR073C","S+KLZ-Single"
"P05453","YDR172W","S+KLZ-Single"
"P05626","YPL078C","S+KLZ-Single"
"P05694","YER091C","S+KLZ-Single"
"P05747","YFR032C-A","S+KLZ-Single"
"P05749","YLR061W","S+KLZ-Single"
"P05750","YNL178W","S+KLZ-Single"
"P05756","YDR064W","S+KLZ-Single"
"P05759","YLR167W","S+KLZ-Single"
"P06100","YDL165W","S+KLZ-Single"
"P06101","YDR168W","S+KLZ-Single"
"P06102","YIL038C","S+KLZ-Single"
"P06103","YOR361C","S+KLZ-Single"
"P06104","YGL058W","S+KLZ-Single"
"P06105","YJL080C","S+KLZ-Single"
"P06106","YLR303W","S+KLZ-Single"
"P06115","YGR088W","S+KLZ-Single"
"P06168","YLR355C","S+KLZ-Single"
"P06174","YOR278W","S+KLZ-Single"
"P06182","YAL039C","S+KLZ-Single"
"P06197","YPR113W","S+KLZ-Single"
"P06242","YDL108W","S+KLZ-Single"
"P06243","YDL017W","S+KLZ-Single"
"P06633","YOR202W","S+KLZ-Single"
"P06704","YOR257W","S+KLZ-Single"
"P06738","YPR160W","S+KLZ-Single"
"P06773","YHR144C","S+KLZ-Single"
"P06774","YGL237C","S+KLZ-Single"
"P06776","YOR360C","S+KLZ-Single"
"P06777","YPL022W","S+KLZ-Single"
"P06778","YML032C","S+KLZ-Single"
"P06779","YJR052W","S+KLZ-Single"
"P06780","YPR165W","S+KLZ-Single"
"P06781","YNL090W","S+KLZ-Single"
"P06782","YDR477W","S+KLZ-Single"
