"protein","Gene","Group"
"O13516","YPL081W","Genus-Duplicates-SCE"
"O14455","YPL249C-A","Genus-Duplicates-SCE"
"P00358","YJR009C","Genus-Duplicates-SCE"
"P00359","YGR192C","Genus-Duplicates-SCE"
"P00360","YJL052W","Genus-Duplicates-SCE"
"P00890","YNR001C","Genus-Duplicates-SCE"
"P00924","YGR254W","Genus-Duplicates-SCE"
"P00925","YHR174W","Genus-Duplicates-SCE"
"P02293","YDR224C","Genus-Duplicates-SCE"
"P02294","YBL002W","Genus-Duplicates-SCE"
"P02407","YML024W","Genus-Duplicates-SCE"
"P04449","YGL031C","Genus-Duplicates-SCE"
"P04806","YFR053C","Genus-Duplicates-SCE"
"P04807","YGL253W","Genus-Duplicates-SCE"
"P04911","YDR225W","Genus-Duplicates-SCE"
"P04912","YBL003C","Genus-Duplicates-SCE"
"P05030","YGL008C","Genus-Duplicates-SCE"
"P05737","YGL076C","Genus-Duplicates-SCE"
"P05738","YGL147C","Genus-Duplicates-SCE"
"P05740","YKL180W","Genus-Duplicates-SCE"
"P05743","YLR344W","Genus-Duplicates-SCE"
"P05744","YPL143W","Genus-Duplicates-SCE"
"P05745","YMR194W","Genus-Duplicates-SCE"
"P05748","YLR029C","Genus-Duplicates-SCE"
"P05755","YBR189W","Genus-Duplicates-SCE"
"P06169","YLR044C","Genus-Duplicates-SCE"
"P06208","YNL104C","Genus-Duplicates-SCE"
"P06367","YCR031C","Genus-Duplicates-SCE"
"P07262","YOR375C","Genus-Duplicates-SCE"
"P08679","YCR005C","Genus-Duplicates-SCE"
"P0C0T4","YLR333C","Genus-Duplicates-SCE"
"P0C0W1","YJL190C","Genus-Duplicates-SCE"
"P0C0W9","YPR102C","Genus-Duplicates-SCE"
"P0C2H8","YDL075W","Genus-Duplicates-SCE"
"P0C2H9","YLR406C","Genus-Duplicates-SCE"
"P0CS90","YJR045C","Genus-Duplicates-SCE"
"P0CX08","YEL070W","Genus-Duplicates-SCE"
"P0CX09","YNR073C","Genus-Duplicates-SCE"
"P0CX23","YMR242C","Genus-Duplicates-SCE"
"P0CX24","YOR312C","Genus-Duplicates-SCE"
"P0CX27","YNL162W","Genus-Duplicates-SCE"
"P0CX28","YHR141C","Genus-Duplicates-SCE"
"P0CX29","YGR118W","Genus-Duplicates-SCE"
"P0CX30","YPR132W","Genus-Duplicates-SCE"
"P0CX35","YJR145C","Genus-Duplicates-SCE"
"P0CX36","YHR203C","Genus-Duplicates-SCE"
"P0CX37","YPL090C","Genus-Duplicates-SCE"
"P0CX38","YBR181C","Genus-Duplicates-SCE"
"P0CX39","YBL072C","Genus-Duplicates-SCE"
"P0CX40","YER102W","Genus-Duplicates-SCE"
"P0CX41","YBL087C","Genus-Duplicates-SCE"
"P0CX42","YER117W","Genus-Duplicates-SCE"
"P0CX43","YPL220W","Genus-Duplicates-SCE"
"P0CX44","YGL135W","Genus-Duplicates-SCE"
"P0CX45","YFR031C-A","Genus-Duplicates-SCE"
"P0CX46","YIL018W","Genus-Duplicates-SCE"
"P0CX47","YDR025W","Genus-Duplicates-SCE"
"P0CX48","YBR048W","Genus-Duplicates-SCE"
"P0CX49","YOL120C","Genus-Duplicates-SCE"
"P0CX50","YNL301C","Genus-Duplicates-SCE"
"P0CX51","YMR143W","Genus-Duplicates-SCE"
"P0CX52","YDL083C","Genus-Duplicates-SCE"
"P0CX53","YEL054C","Genus-Duplicates-SCE"
"P0CX54","YDR418W","Genus-Duplicates-SCE"
"P0CX55","YDR450W","Genus-Duplicates-SCE"
"P0CX56","YML026C","Genus-Duplicates-SCE"
"P0CX82","YBR084C-A","Genus-Duplicates-SCE"
"P0CX83","YBL027W","Genus-Duplicates-SCE"
"P0CX84","YDL191W","Genus-Duplicates-SCE"
"P0CX85","YDL136W","Genus-Duplicates-SCE"
"P0CY06","YCR040W","Genus-Duplicates-SCE"
"P0CY07","YCL066W","Genus-Duplicates-SCE"
"P10659","YLR180W","Genus-Duplicates-SCE"
"P10664","YBR031W","Genus-Duplicates-SCE"
"P11154","YGL062W","Genus-Duplicates-SCE"
"P11484","YDL229W","Genus-Duplicates-SCE"
"P14127","YDR447C","Genus-Duplicates-SCE"
"P16467","YLR134W","Genus-Duplicates-SCE"
"P16521","YLR249W","Genus-Duplicates-SCE"
"P17064","YER056C","Genus-Duplicates-SCE"
"P17076","YHL033C","Genus-Duplicates-SCE"
"P18238","YBR085W","Genus-Duplicates-SCE"
"P18239","YBL030C","Genus-Duplicates-SCE"
"P19358","YDR502C","Genus-Duplicates-SCE"
"P19657","YPL036W","Genus-Duplicates-SCE"
"P21524","YER070W","Genus-Duplicates-SCE"
"P21672","YIL066C","Genus-Duplicates-SCE"
"P21826","YIR031C","Genus-Duplicates-SCE"
"P23248","YML063W","Genus-Duplicates-SCE"
"P23291","YHR135C","Genus-Duplicates-SCE"
"P23292","YNL154C","Genus-Duplicates-SCE"
"P23337","YFR015C","Genus-Duplicates-SCE"
"P23594","YDL134C","Genus-Duplicates-SCE"
"P23595","YDL188C","Genus-Duplicates-SCE"
"P24000","YGR148C","Genus-Duplicates-SCE"
"P25594","YCL069W","Genus-Duplicates-SCE"
"P25596","YCL073C","Genus-Duplicates-SCE"
"P26263","YGR087C","Genus-Duplicates-SCE"
"P27472","YLR258W","Genus-Duplicates-SCE"
"P28274","YBL039C","Genus-Duplicates-SCE"
"P29311","YER177W","Genus-Duplicates-SCE"
"P29453","YLL045C","Genus-Duplicates-SCE"
"P29509","YDR353W","Genus-Duplicates-SCE"
"P30952","YNL117W","Genus-Duplicates-SCE"
"P32327","YBR218C","Genus-Duplicates-SCE"
"P32356","YDR001C","Genus-Duplicates-SCE"
"P32589","YPL106C","Genus-Duplicates-SCE"
"P32590","YBR169C","Genus-Duplicates-SCE"
"P32600","YKL203C","Genus-Duplicates-SCE"
"P32660","YER166W","Genus-Duplicates-SCE"
"P32802","YLR083C","Genus-Duplicates-SCE"
"P32835","YLR293C","Genus-Duplicates-SCE"
"P32836","YOR185C","Genus-Duplicates-SCE"
"P32905","YGR214W","Genus-Duplicates-SCE"
"P33302","YOR153W","Genus-Duplicates-SCE"
"P33401","YKL127W","Genus-Duplicates-SCE"
"P33442","YLR441C","Genus-Duplicates-SCE"
"P34730","YDR099W","Genus-Duplicates-SCE"
"P35169","YJR066W","Genus-Duplicates-SCE"
"P35172","YBR001C","Genus-Duplicates-SCE"
"P36006","YKL129C","Genus-Duplicates-SCE"
"P36105","YKL006W","Genus-Duplicates-SCE"
"P36172","YKR105C","Genus-Duplicates-SCE"
"P36173","YKR106W","Genus-Duplicates-SCE"
"P37012","YMR105C","Genus-Duplicates-SCE"
"P38009","YMR120C","Genus-Duplicates-SCE"
"P38063","YBL068W","Genus-Duplicates-SCE"
"P38620","YER099C","Genus-Duplicates-SCE"
"P38627","YJR103W","Genus-Duplicates-SCE"
"P38720","YHR183W","Genus-Duplicates-SCE"
"P38754","YHL001W","Genus-Duplicates-SCE"
"P38816","YHR106W","Genus-Duplicates-SCE"
"P39516","YJL191W","Genus-Duplicates-SCE"
"P39708","YAL062W","Genus-Duplicates-SCE"
"P39987","YEL030W","Genus-Duplicates-SCE"
"P40054","YER081W","Genus-Duplicates-SCE"
"P40150","YNL209W","Genus-Duplicates-SCE"
"P40212","YMR142C","Genus-Duplicates-SCE"
"P40260","YGR121C","Genus-Duplicates-SCE"
"P40472","YIL123W","Genus-Duplicates-SCE"
"P40510","YIL074C","Genus-Duplicates-SCE"
"P41056","YOR234C","Genus-Duplicates-SCE"
"P41816","YPL171C","Genus-Duplicates-SCE"
"P42883","YNL332W","Genus-Duplicates-SCE"
"P43534","YFL058W","Genus-Duplicates-SCE"
"P43545","YFL059W","Genus-Duplicates-SCE"
"P46654","YLR048W","Genus-Duplicates-SCE"
"P46990","YJL177W","Genus-Duplicates-SCE"
"P47052","YJL045W","Genus-Duplicates-SCE"
"P47183","YJR156C","Genus-Duplicates-SCE"
"P48570","YDL182W","Genus-Duplicates-SCE"
"P49089","YPR145W","Genus-Duplicates-SCE"
"P49090","YGR124W","Genus-Duplicates-SCE"
"P49626","YDR012W","Genus-Duplicates-SCE"
"P51401","YNL067W","Genus-Duplicates-SCE"
"P51533","YOR328W","Genus-Duplicates-SCE"
"P53058","YGL258W","Genus-Duplicates-SCE"
"P53204","YGR010W","Genus-Duplicates-SCE"
"P53221","YGR034W","Genus-Duplicates-SCE"
"P53283","YGR138C","Genus-Duplicates-SCE"
"P53319","YGR256W","Genus-Duplicates-SCE"
"P53390","YPR138C","Genus-Duplicates-SCE"
"P53616","YNL066W","Genus-Duplicates-SCE"
"P53824","YNL333W","Genus-Duplicates-SCE"
"P53978","YNL014W","Genus-Duplicates-SCE"
"P54113","YLR028C","Genus-Duplicates-SCE"
"P54780","YMR121C","Genus-Duplicates-SCE"
"Q00711","YKL148C","Genus-Duplicates-SCE"
"Q03558","YHR179W","Genus-Duplicates-SCE"
"Q04182","YDR406W","Genus-Duplicates-SCE"
"Q04439","YMR109W","Genus-Duplicates-SCE"
"Q04562","YDR107C","Genus-Duplicates-SCE"
"Q05998","YLR237W","Genus-Duplicates-SCE"
"Q06178","YLR328W","Genus-Duplicates-SCE"
"Q06451","YPR156C","Genus-Duplicates-SCE"
"Q06490","YPR121W","Genus-Duplicates-SCE"
"Q07748","YDL244W","Genus-Duplicates-SCE"
"Q08224","YOL055C","Genus-Duplicates-SCE"
"Q08485","YOR071C","Genus-Duplicates-SCE"
"Q08579","YOR192C","Genus-Duplicates-SCE"
"Q08910","YOR387C","Genus-Duplicates-SCE"
"Q08975","YPL258C","Genus-Duplicates-SCE"
"Q12119","YER060W-A","Genus-Duplicates-SCE"
"Q12122","YDL131W","Genus-Duplicates-SCE"
"Q12166","YOR108W","Genus-Duplicates-SCE"
"Q12213","YPL198W","Genus-Duplicates-SCE"
"Q12675","YDR093W","Genus-Duplicates-SCE"
"Q12690","YDL082W","Genus-Duplicates-SCE"
"Q3E757","YGR085C","Genus-Duplicates-SCE"
"Q3E792","YGR027C","Genus-Duplicates-SCE"
