"protein","Gene","Group"
"P00358","YJR009C","Clade-Duplicates-SCE"
"P00359","YGR192C","Clade-Duplicates-SCE"
"P00360","YJL052W","Clade-Duplicates-SCE"
"P02293","YDR224C","Clade-Duplicates-SCE"
"P02294","YBL002W","Clade-Duplicates-SCE"
"P04911","YDR225W","Clade-Duplicates-SCE"
"P04912","YBL003C","Clade-Duplicates-SCE"
"P05738","YGL147C","Clade-Duplicates-SCE"
"P06208","YNL104C","Clade-Duplicates-SCE"
"P0CX08","YEL070W","Clade-Duplicates-SCE"
"P0CX09","YNR073C","Clade-Duplicates-SCE"
"P11076","YDL192W","Clade-Duplicates-SCE"
"P19146","YDL137W","Clade-Duplicates-SCE"
"P21524","YER070W","Clade-Duplicates-SCE"
"P21672","YIL066C","Clade-Duplicates-SCE"
"P32835","YLR293C","Clade-Duplicates-SCE"
"P32836","YOR185C","Clade-Duplicates-SCE"
"P41816","YPL171C","Clade-Duplicates-SCE"
"P47771","YMR170C","Clade-Duplicates-SCE"
"P48570","YDL182W","Clade-Duplicates-SCE"
"P51401","YNL067W","Clade-Duplicates-SCE"
"P54114","YMR169C","Clade-Duplicates-SCE"
"Q03558","YHR179W","Clade-Duplicates-SCE"
"Q12122","YDL131W","Clade-Duplicates-SCE"
"Q12166","YOR108W","Clade-Duplicates-SCE"
