"protein","Gene","orthogroup"
"A5Z2X5","YPR010C-A","S+YLT-Single"
"D6VTK4","YFL026W","S+YLT-Single"
"D6W196","YNL083W","S+YLT-Single"
"O13297","YPL228W","S+YLT-Single"
"O13525","YDR204W","S+YLT-Single"
"O13547","YLR390W-A","S+YLT-Single"
"O13563","YLR421C","S+YLT-Single"
"O13585","YPR089W","S+YLT-Single"
"O14464","YPL183W-A","S+YLT-Single"
"O14467","YOR298C-A","S+YLT-Single"
"O60200","YKL053C-A","S+YLT-Single"
"O74700","YEL020W-A","S+YLT-Single"
"O75012","YDL045W-A","S+YLT-Single"
"O94742","YDR363W-A","S+YLT-Single"
"P00127","YFR033C","S+YLT-Single"
"P00128","YDR529C","S+YLT-Single"
"P00163","Q0105","S+YLT-Single"
"P00175","YML054C","S+YLT-Single"
"P00401","Q0045","S+YLT-Single"
"P00410","Q0250","S+YLT-Single"
"P00420","Q0275","S+YLT-Single"
"P00427","YHR051W","S+YLT-Single"
"P00431","YKR066C","S+YLT-Single"
"P00445","YJR104C","S+YLT-Single"
"P00447","YHR008C","S+YLT-Single"
"P00546","YBR160W","S+YLT-Single"
"P00549","YAL038W","S+YLT-Single"
"P00560","YCR012W","S+YLT-Single"
"P00572","YJR057W","S+YLT-Single"
"P00724","YIL162W","S+YLT-Single"
"P00729","YMR297W","S+YLT-Single"
"P00812","YPL111W","S+YLT-Single"
"P00815","YCL030C","S+YLT-Single"
"P00817","YBR011C","S+YLT-Single"
"P00830","YJR121W","S+YLT-Single"
"P00854","Q0085","S+YLT-Single"
"P00856","Q0080","S+YLT-Single"
"P00899","YER090W","S+YLT-Single"
"P00912","YDR007W","S+YLT-Single"
"P00927","YER086W","S+YLT-Single"
"P00931","YGL026C","S+YLT-Single"
"P00937","YKL211C","S+YLT-Single"
"P00942","YDR050C","S+YLT-Single"
"P00950","YKL152C","S+YLT-Single"
"P00958","YGR264C","S+YLT-Single"
"P01097","YDL181W","S+YLT-Single"
"P01123","YFL038C","S+YLT-Single"
"P02309","YBR009C, YNL030W","S+YLT-Single"
"P02406","YGL103W","S+YLT-Single"
"P02557","YFL037W","S+YLT-Single"
"P02992","YOR187W","S+YLT-Single"
"P02994","YPR080W, YBR118W","S+YLT-Single"
"P03069","YEL009C","S+YLT-Single"
"P03873","Q0110","S+YLT-Single"
"P03877","Q0060","S+YLT-Single"
"P03962","YEL021W","S+YLT-Single"
"P03965","YJR109C","S+YLT-Single"
"P04037","YGL187C","S+YLT-Single"
"P04039","YLR395C","S+YLT-Single"
"P04046","YMR300C","S+YLT-Single"
"P04050","YDL140C","S+YLT-Single"
"P04051","YOR116C","S+YLT-Single"
"P04076","YHR018C","S+YLT-Single"
"P04147","YER165W","S+YLT-Single"
"P04161","YDR408C","S+YLT-Single"
"P04173","YCL018W","S+YLT-Single"
"P04386","YPL248C","S+YLT-Single"
"P04397","YBR019C","S+YLT-Single"
"P04456","YOL127W","S+YLT-Single"
"P04650","YJL189W","S+YLT-Single"
"P04786","YOL006C","S+YLT-Single"
"P04801","YIL078W","S+YLT-Single"
"P04802","YLL018C","S+YLT-Single"
"P04803","YDR268W","S+YLT-Single"
"P04819","YDL164C","S+YLT-Single"
"P04821","YLR310C","S+YLT-Single"
"P05085","YML099C","S+YLT-Single"
"P05150","YJL088W","S+YLT-Single"
"P05317","YLR340W","S+YLT-Single"
"P05373","YGL040C","S+YLT-Single"
"P05374","YGR157W","S+YLT-Single"
"P05375","YJR073C","S+YLT-Single"
"P05453","YDR172W","S+YLT-Single"
"P05626","YPL078C","S+YLT-Single"
"P05694","YER091C","S+YLT-Single"
"P05747","YFR032C-A","S+YLT-Single"
"P05750","YNL178W","S+YLT-Single"
"P05756","YDR064W","S+YLT-Single"
"P05759","YLR167W","S+YLT-Single"
"P06100","YDL165W","S+YLT-Single"
"P06101","YDR168W","S+YLT-Single"
"P06103","YOR361C","S+YLT-Single"
"P06104","YGL058W","S+YLT-Single"
"P06105","YJL080C","S+YLT-Single"
"P06106","YLR303W","S+YLT-Single"
"P06115","YGR088W","S+YLT-Single"
"P06168","YLR355C","S+YLT-Single"
"P06174","YOR278W","S+YLT-Single"
"P06182","YAL039C","S+YLT-Single"
"P06197","YPR113W","S+YLT-Single"
"P06242","YDL108W","S+YLT-Single"
"P06243","YDL017W","S+YLT-Single"
"P06245","YPL203W","S+YLT-Single"
"P06633","YOR202W","S+YLT-Single"
"P06704","YOR257W","S+YLT-Single"
"P06738","YPR160W","S+YLT-Single"
"P06773","YHR144C","S+YLT-Single"
"P06774","YGL237C","S+YLT-Single"
"P06776","YOR360C","S+YLT-Single"
"P06777","YPL022W","S+YLT-Single"
"P06778","YML032C","S+YLT-Single"
"P06779","YJR052W","S+YLT-Single"
"P06780","YPR165W","S+YLT-Single"
"P06781","YNL090W","S+YLT-Single"
"P06782","YDR477W","S+YLT-Single"
"P06783","YKL178C","S+YLT-Single"
"P06784","YDL159W","S+YLT-Single"
"P06785","YOR074C","S+YLT-Single"
"P06786","YNL088W","S+YLT-Single"
"P06787","YBR109C","S+YLT-Single"
"P06839","YER171W","S+YLT-Single"
"P06843","YER161C","S+YLT-Single"
"P06844","YDR392W","S+YLT-Single"
"P07143","YOR065W","S+YLT-Single"
"P07149","YKL182W","S+YLT-Single"
"P07170","YDR226W","S+YLT-Single"
"P07172","YIL116W","S+YLT-Single"
"P07236","YKL194C","S+YLT-Single"
"P07244","YGL234W","S+YLT-Single"
"P07250","YDR173C","S+YLT-Single"
"P07251","YBL099W","S+YLT-Single"
"P07255","YDL067C","S+YLT-Single"
"P07257","YPR191W","S+YLT-Single"
"P07258","YOR303W","S+YLT-Single"
"P07259","YJL130C","S+YLT-Single"
"P07260","YOL139C","S+YLT-Single"
"P07263","YPR033C","S+YLT-Single"
"P07264","YGL009C","S+YLT-Single"
"P07267","YPL154C","S+YLT-Single"
"P07269","YDL106C","S+YLT-Single"
