"protein","Gene","Group"
"P41816","YPL171C","GroupI"
"Q03558","YHR179W","GroupI"
"P00358","YJR009C","GroupIII"
"P00359","YGR192C","GroupIII"
"P00360","YJL052W","GroupIII"
"P02293","YDR224C","GroupIII"
"P02294","YBL002W","GroupIII"
"P04911","YDR225W","GroupIII"
"P04912","YBL003C","GroupIII"
"P05738","YGL147C","GroupIII"
"P0CX08","YEL070W","GroupIII"
"P0CX09","YNR073C","GroupIII"
"P51401","YNL067W","GroupIII"
"P40574","YIR018W","WGD"
"O13577","YLR437C","WGD"
"Q12411","YOL091W","WGD"
"P25653","YCR089W","WGD"
"P54791","YPR162C","WGD"
"P38195","YBL043W","WGD"
"P36167","YKR091W","WGD"
"P47107","YJR039W","WGD"
"Q02969","YPL112C","WGD"
"P47050","YJL047C","WGD"
"P47011","YJL137C","WGD"
"P33304","YDR085C","WGD"
"P40463","YIL135C","WGD"
"P40168","YNL195C","WGD"
"Q05610","YDR273W","WGD"
"P36158","YKR078W","WGD"
"P50091","YGR239C","WGD"
"P23493","YKL093W","WGD"
"Q03373","YDR480W","WGD"
"Q03029","YPL130W","WGD"
"Q07732","YDL239C","WGD"
"Q06149","YLR266C","WGD"
"P43611","YFR039C","WGD"
"P38889","YHR206W","WGD"
"P36157","YKR077W","WGD"
"Q06639","YDR303C","WGD"
"P40023","YER035W","WGD"
"P39970","YER045C","WGD"
"P34224","YBL059W","WGD"
"Q01649","YMR198W","WGD"
"Q08673","YOR247W","WGD"
"P07266","YIR021W","WGD"
"P34250","YKL105C","WGD"
"P46987","YJL181W","WGD"
"P40476","YIL117C","WGD"
"P32769","YKR084C","WGD"
"Q00816","YDR028C","WGD"
"P25371","YCR011C","WGD"
"Q08206","YOL036W","WGD"
"P39728","YAL037W","WGD"
"Q12121","YDL211C","WGD"
"P47035","YJL076W","WGD"
"Q99314","YOR213C","WGD"
"Q03220","YMR180C","WGD"
"P53222","YGR035C","WGD"
"P39943","YER028C","WGD"
"P39734","YAL028W","WGD"
"P52919","YLR457C","WGD"
"P43595","YFR012W","WGD"
"P38845","YHR146W","WGD"
"Q3E841","YNR034W-A","WGD"
"P53286","YGR142W","WGD"
"P50084","YGR230W","WGD"
"P25567","YCL037C","WGD"
"P38349","YBR273C","WGD"
"P38128","YBR182C","WGD"
"Q12048","YPL250C","WGD"
"Q03935","YDR259C","WGD"
"Q04930","YDR223W","WGD"
"P43598","YFR017C","WGD"
"P35736","YKL050C","WGD"
"P53226","YGR041W","WGD"
"P34219","YBL054W","WGD"
"Q03466","YDR206W","WGD"
"P47030","YJL083W","WGD"
"P31379","YAL018C","WGD"
"P54074","YMR119W","WGD"
"P23201","YLL021W","WGD"
"P43596","YFR013W","WGD"
"P40457","YIL149C","WGD"
"P53246","YGR071C","WGD"
"P10080","YHL034C","WGD"
"Q06216","YLR273C","WGD"
"P38306","YBR197C","WGD"
"P40549","YIL014W","WGD"
"Q03419","YDR492W","WGD"
"P41695","YGR188C","WGD"
"P38428","YMR264W","WGD"
"P38114","YBR150C","WGD"
"P06701","YLR442C","WGD"
"P42845","YNL309W","WGD"
"P53125","YGL133W","WGD"
"P27344","YBR278W","WGD"
"P32564","YGR049W","WGD"
"P33749","YKL062W","WGD"
"P08153","YDR146C","WGD"
"P50078","YGR221C","WGD"
"P38837","YHR133C","WGD"
"P25632","YCR052W","WGD"
"P35197","YDL226C","WGD"
"P43560","YFL042C","WGD"
"P53147","YGL096W","WGD"
"Q06648","YDR309C","WGD"
"P32789","YBL009W","WGD"
"Q12443","YDL204W","WGD"
"Q03695","YMR206W","WGD"
"Q04322","YMR192W","WGD"
"Q06407","YDR379W","WGD"
"P42948","YJL105W","WGD"
"P36066","YKL133C","WGD"
"P40002","YEL007W","WGD"
"P54786","YML109W","WGD"
"Q07655","YDL224C","WGD"
"Q07978","YLR031W","WGD"
"Q05166","YDL088C","WGD"
"Q03281","YDR458C","WGD"
"P38835","YHR131C","WGD"
"P25579","YCL051W","WGD"
"Q04383","YDR501W","WGD"
"P19880","YML007W","WGD"
"Q03231","YMR181C","WGD"
"Q06315","YLR187W","WGD"
"P53047","YGR213C","WGD"
"Q02629","YKL068W","WGD"
"P53336","YGR283C","WGD"
"P38167","YBL101C","WGD"
"P25334","YCR069W","WGD"
"P33417","YKL032C","WGD"
"Q04195","YDR409W","WGD"
"P38315","YBR216C","WGD"
"P22149","YGL071W","WGD"
"P47025","YJL112W","WGD"
"Q00453","YMR182C","WGD"
"P33200","YBL005W","WGD"
"P53124","YGL134W","WGD"
"P53032","YGL162W","WGD"
"P32909","YBR172C","WGD"
"Q04116","YDR451C","WGD"
"Q12378","YDR066C","WGD"
"Q12473","YLL051C","WGD"
"Q03361","YDR475C","WGD"
"Q05024","YMR233W","WGD"
"P38851","YHR155W","WGD"
"Q04083","YDR438W","WGD"
"Q03764","YDR147W","WGD"
"Q6Q595","YBL091C-A","WGD"
"P15315","YGL166W","WGD"
"P37304","YDR251W","WGD"
"P39717","YAL056W","WGD"
"P53214","YGR023W","WGD"
"Q00947","YDR463W","WGD"
"P38041","YBL085W","WGD"
"P34226","YBL061C","WGD"
"Q12206","YOR229W","WGD"
"P38068","YBR014C","WGD"
"P40036","YER054C","WGD"
"P33421","YKL141W","WGD"
"P50263","YMR175W","WGD"
"P39010","YDR264C","WGD"
NA,"YLL016W","WGD"
"P53943","YNL065W","WGD"
"Q07442","YDL070W","WGD"
"P09624","YFL018C","WGD"
"Q12310","YDL214C","WGD"
"P43602","YFR022W","WGD"
"Q06224","YLR277C","WGD"
"P38709","YHL012W","WGD"
"P36155","YKR075C","WGD"
"P36093","YKL043W","WGD"
"Q03407","YDR490C","WGD"
"P38970","YJL165C","WGD"
"P39720","YAL051W","WGD"
"Q06681","YDR326C","WGD"
"P17121","YDR389W","WGD"
"P40451","YIL158W","WGD"
"P31378","YAL015C","WGD"
"P42944","YJL110C","WGD"
"P40041","YER064C","WGD"
"P40578","YIR033W","WGD"
"P27809","YDR483W","WGD"
"P32330","YKL121W","WGD"
"P53832","YNL283C","WGD"
"P10863","YER011W","WGD"
"P53167","YGL063W","WGD"
"P21965","YNL307C","WGD"
"P47029","YJL084C","WGD"
"P25365","YCR067C","WGD"
"P25370","YCL036W","WGD"
"P46974","YJR127C","WGD"
"Q03900","YDR132C","WGD"
"P47976","YDR151C","WGD"
"Q03833","YDR096W","WGD"
"P28003","YAL034C","WGD"
"P36001","YKL132C","WGD"
"P47114","YJR054W","WGD"
"P38990","YER129W","WGD"
"P48361","YGR097W","WGD"
"P38226","YBR042C","WGD"
"P39684","YFR023W","WGD"
"P25353","YCR026C","WGD"
"P42223","YDR351W","WGD"
"P38082","YBR066C","WGD"
"P38181","YBL079W","WGD"
"P50090","YGR238C","WGD"
"P17967","YCL043C","WGD"
"P40355","YJR061W","WGD"
"P38150","YBR284W","WGD"
"P32571","YDR069C","WGD"
"P33309","YNL001W","WGD"
"P40856","YJL098W","WGD"
"P13130","YHR139C","WGD"
"Q12041","YDR253C","WGD"
"P25380","YCL048W","WGD"
"Q03944","YDR200C","WGD"
"P53155","YGL082W","WGD"
"P34231","YKL187C","WGD"
"P21538","YBR049C","WGD"
"P40955","YJL099W","WGD"
"P40507","YIL079C","WGD"
"P40479","YIL113W","WGD"
"P38622","YGL158W","WGD"
"P32634","YER132C","WGD"
"P38142","YBR241C","WGD"
"P53329","YGR273C","WGD"
"Q05871","YLR284C","WGD"
"Q03210","YML118W","WGD"
"P38346","YBR270C","WGD"
"Q01919","YOR233W","WGD"
"P38187","YBL067C","WGD"
"Q08693","YOR256C","WGD"
"Q04623","YDR125C","WGD"
"P53203","YGR004W","WGD"
"Q06199","YLR456W","WGD"
"Q12276","YOR227W","WGD"
"P46950","YGR197C","WGD"
"P40453","YIL156W","WGD"
"P39719","YAL053W","WGD"
"P38212","YBR005W","WGD"
"P43555","YFL048C","WGD"
"P40456","YIL151C","WGD"
"P18963","YBR140C","WGD"
"P38330","YBR238C","WGD"
"Q12746","YML125C","WGD"
"P25555","YCL011C","WGD"
"P36085","YKL072W","WGD"
"Q12103","YDL109C","WGD"
"P53379","YDR144C","WGD"
"Q05518","YDR348C","WGD"
"P40025","YER037W","WGD"
"Q03785","YDR247W","WGD"
"P40466","YIL131C","WGD"
"Q05015","YMR222C","WGD"
"P47135","YJR091C","WGD"
"P36165","YKR089C","WGD"
"Q12151","YDR213W","WGD"
"P47116","YJR059W","WGD"
"P43612","YFR040W","WGD"
"P53309","YGR241C","WGD"
"P38756","YHR003C","WGD"
"P25628","YCR048W","WGD"
"P25389","YCL024W","WGD"
"P32622","YEL041W","WGD"
"P40494","YIL095W","WGD"
"P48566","YNL293W","WGD"
"Q12477","YDL179W","WGD"
"Q07351","YDL048C","WGD"
"P53315","YGR248W","WGD"
"P36024","YKR072C","WGD"
"P24870","YDL155W","WGD"
"P40314","YDR252W","WGD"
"Q03218","YMR177W","WGD"
"P32492","YAL029C","WGD"
"P37298","YDR178W","WGD"
"P32943","YGR109C","WGD"
"P38745","YHL017W","WGD"
"Q04739","YER027C","WGD"
"Q07651","YDL222C","WGD"
"Q06336","YDR358W","WGD"
"P53236","YGR056W","WGD"
"P53046","YGR070W","WGD"
"P38735","YHL035C","WGD"
"P47013","YJL134W","WGD"
"P40478","YIL114C","WGD"
"P01097","YDL181W","WGD"
"P35723","YKL065C","WGD"
"P12685","YJL129C","WGD"
"Q07800","YLL010C","WGD"
"P40038","YER059W","WGD"
"P50896","YDR505C","WGD"
"P38176","YBL089W","WGD"
"P39993","YEL022W","WGD"
"P38825","YHR117W","WGD"
"Q12086","YDR263C","WGD"
"Q04925","YDR222W","WGD"
"Q03758","YML111W","WGD"
"P40504","YIL085C","WGD"
"P40485","YIL105C","WGD"
"Q00772","YHR030C","WGD"
"P25390","YCR073C","WGD"
"Q12451","YDL019C","WGD"
"P38298","YBR183W","WGD"
"P39936","YGL049C","WGD"
"P48562","YNL298W","WGD"
"P38248","YBR078W","WGD"
"P09232","YEL060C","WGD"
"P47032","YJL079C","WGD"
"Q07804","YLL012W","WGD"
"P48231","YNL087W","WGD"
"Q01589","YDR077W","WGD"
"P38312","YBR210W","WGD"
"Q06147","YLR260W","WGD"
"P22140","YHR123W","WGD"
"Q04006","YDR185C","WGD"
"P49723","YGR180C","WGD"
"P38427","YML100W","WGD"
"P38234","YBR052C","WGD"
"P25358","YCR034W","WGD"
"P38163","YBL106C","WGD"
"P40581","YIR037W","WGD"
"P46999","YJL160C","WGD"
"P35176","YDR304C","WGD"
"P32874","YMR207C","WGD"
"P25341","YCR091W","WGD"
"P13185","YDR122W","WGD"
"P20107","YMR243C","WGD"
"P25656","YCR094W","WGD"
"Q9P305","YHR132W-A","WGD"
"P48561","YNL299W","WGD"
"P38295","YBR177C","WGD"
"P27466","YFR014C","WGD"
"P31374","YAL017W","WGD"
"P53154","YGL084C","WGD"
"P10870","YDL194W","WGD"
"P47164","YJR130C","WGD"
"P53279","YGR131W","WGD"
"P39953","YEL006W","WGD"
"P36973","YDR441C","WGD"
"Q07500","YDL085W","WGD"
"P13090","YML116W","WGD"
"P36019","YNL093W","WGD"
"P01120","YNL098C","WGD"
"P53285","YGR141W","WGD"
"P38072","YBR024W","WGD"
"Q05029","YMR237W","WGD"
"Q05506","YDR341C","WGD"
"P24868","YGR108W","WGD"
"Q3E772","YGR169C-A","WGD"
"P53929","YNL108C","WGD"
"P38279","YBR147W","WGD"
"Q08905","YOR381W","WGD"
"P33329","YDR436W","WGD"
"Q05584","YDR272W","WGD"
"P20437","YMR199W","WGD"
"Q05359","YAR002C-A","WGD"
"P43585","YFL004W","WGD"
"P35198","YDR277C","WGD"
"P16550","YCL050C","WGD"
"Q12069","YDL036C","WGD"
"P32490","YOR231W","WGD"
"P14742","YKL104C","WGD"
"P50942","YNL106C","WGD"
"P38088","YBR121C","WGD"
"P38823","YHR115C","WGD"
"P12684","YLR450W","WGD"
"P38314","YBR214W","WGD"
"Q06205","YLR449W","WGD"
"P06700","YDL042C","WGD"
"P47912","YMR246W","WGD"
"P53932","YNL095C","WGD"
"P39105","YMR008C","WGD"
"P52892","YDR111C","WGD"
"Q99297","YOR222W","WGD"
"P26725","YJL139C","WGD"
"P34221","YBL056W","WGD"
"Q12489","YDL012C","WGD"
"P53334","YGR279C","WGD"
"P50873","YDL079C","WGD"
"P40482","YIL109C","WGD"
"P33324","YKL091C","WGD"
"P38331","YBR242W","WGD"
"P00424","YNL052W","WGD"
"P32435","YGL089C","WGD"
"P43603","YFR024C-A","WGD"
"P32264","YDR300C","WGD"
"P32614","YEL047C","WGD"
"P25376","YCL025C","WGD"
"Q12518","YDL161W","WGD"
"P23291","YHR135C","WGD"
"P46955","YJL116C","WGD"
"Q08985","YPL273W","WGD"
"P38971","YNL270C","WGD"
"P53281","YGR136W","WGD"
"P53121","YGL139W","WGD"
"P23287","YLR433C","WGD"
"P31382","YAL023C","WGD"
"P23776","YLR300W","WGD"
"Q12008","YDL021W","WGD"
"P25373","YCL035C","WGD"
"P35169","YJR066W","WGD"
"Q03835","YDR098C","WGD"
"P12688","YKL126W","WGD"
"P38287","YBR161W","WGD"
"P35183","YBL069W","WGD"
"P47031","YJL082W","WGD"
"P25360","YCR037C","WGD"
"Q12458","YDR368W","WGD"
"P38087","YBR104W","WGD"
"Q06151","YLR270W","WGD"
"P40043","YER067W","WGD"
"P35843","YOR237W","WGD"
"P38079","YBR054W","WGD"
"P40472","YIL123W","WGD"
"Q12450","YOR016C","WGD"
"P40414","YIL138C","WGD"
"P16965","YGR008C","WGD"
"P38703","YHL003C","WGD"
"P53224","YGR038W","WGD"
"P06634","YOR204W","WGD"
"P53228","YGR043C","WGD"
"Q12675","YDR093W","WGD"
"P33336","YGR143W","WGD"
"P33315","YBR117C","WGD"
"P17709","YCL040W","WGD"
"P06244","YJL164C","WGD"
"P10566","YJL133W","WGD"
"P53311","YGR243W","WGD"
