"protein","Gene","orthogroup"
"A0A023PZB3","YER038W-A","S+Genus-Single"
"A0A023PZE8","YDR157W","S+Genus-Single"
"A5Z2X5","YPR010C-A","S+Genus-Single"
"D6VPM8","YAR023C","S+Genus-Single"
"D6VTK4","YFL026W","S+Genus-Single"
"D6W196","YNL083W","S+Genus-Single"
"O13297","YPL228W","S+Genus-Single"
"O13329","YDR110W","S+Genus-Single"
"O13525","YDR204W","S+Genus-Single"
"O13555","YLR331C","S+Genus-Single"
"O13563","YLR421C","S+Genus-Single"
"O13585","YPR089W","S+Genus-Single"
"O14467","YOR298C-A","S+Genus-Single"
"O14468","YOR304C-A","S+Genus-Single"
"O43137","YBR085C-A","S+Genus-Single"
"O60200","YKL053C-A","S+Genus-Single"
"O75012","YDL045W-A","S+Genus-Single"
"O94742","YDR363W-A","S+Genus-Single"
"P00044","YJR048W","S+Genus-Single"
"P00045","YEL039C","S+Genus-Single"
"P00128","YDR529C","S+Genus-Single"
"P00175","YML054C","S+Genus-Single"
"P00424","YNL052W","S+Genus-Single"
"P00427","YHR051W","S+Genus-Single"
"P00431","YKR066C","S+Genus-Single"
"P00445","YJR104C","S+Genus-Single"
"P00447","YHR008C","S+Genus-Single"
"P00498","YER055C","S+Genus-Single"
"P00546","YBR160W","S+Genus-Single"
"P00560","YCR012W","S+Genus-Single"
"P00572","YJR057W","S+Genus-Single"
"P00724","YIL162W","S+Genus-Single"
"P00729","YMR297W","S+Genus-Single"
"P00812","YPL111W","S+Genus-Single"
"P00815","YCL030C","S+Genus-Single"
"P00817","YBR011C","S+Genus-Single"
"P00830","YJR121W","S+Genus-Single"
"P00899","YER090W","S+Genus-Single"
"P00912","YDR007W","S+Genus-Single"
"P00927","YER086W","S+Genus-Single"
"P00931","YGL026C","S+Genus-Single"
"P00937","YKL211C","S+Genus-Single"
"P00942","YDR050C","S+Genus-Single"
"P00950","YKL152C","S+Genus-Single"
"P00958","YGR264C","S+Genus-Single"
"P01094","YMR174C","S+Genus-Single"
"P01097","YDL181W","S+Genus-Single"
"P01098","YDL130W-A","S+Genus-Single"
"P01119","YOR101W","S+Genus-Single"
"P01123","YFL038C","S+Genus-Single"
"P01149","YPL187W","S+Genus-Single"
"P02309","YBR009C, YNL030W","S+Genus-Single"
"P02400","YDR382W","S+Genus-Single"
"P02406","YGL103W","S+Genus-Single"
"P02557","YFL037W","S+Genus-Single"
"P02992","YOR187W","S+Genus-Single"
"P02994","YPR080W, YBR118W","S+Genus-Single"
"P03069","YEL009C","S+Genus-Single"
"P03874","YHL038C","S+Genus-Single"
"P03965","YJR109C","S+Genus-Single"
"P04037","YGL187C","S+Genus-Single"
"P04039","YLR395C","S+Genus-Single"
"P04046","YMR300C","S+Genus-Single"
"P04050","YDL140C","S+Genus-Single"
"P04051","YOR116C","S+Genus-Single"
"P04076","YHR018C","S+Genus-Single"
"P04147","YER165W","S+Genus-Single"
"P04173","YCL018W","S+Genus-Single"
"P04387","YML051W","S+Genus-Single"
"P04397","YBR019C","S+Genus-Single"
