protein,Gene
P40574,YIR018W
O13577,YLR437C
Q12411,YOL091W
P25653,YCR089W
P54791,YPR162C
P38195,YBL043W
P36167,YKR091W
P47107,YJR039W
Q02969,YPL112C
P47050,YJL047C
P47011,YJL137C
P33304,YDR085C
P40463,YIL135C
P40168,YNL195C
Q05610,YDR273W
P36158,YKR078W
P50091,YGR239C
P23493,YKL093W
Q03373,YDR480W
Q03029,YPL130W
Q07732,YDL239C
Q06149,YLR266C
P43611,YFR039C
P38889,YHR206W
P36157,YKR077W
Q06639,YDR303C
P40023,YER035W
P39970,YER045C
P34224,YBL059W
Q01649,YMR198W
Q08673,YOR247W
P07266,YIR021W
P34250,YKL105C
P46987,YJL181W
P40476,YIL117C
P32769,YKR084C
Q00816,YDR028C
P25371,YCR011C
Q08206,YOL036W
P39728,YAL037W
Q12121,YDL211C
P47035,YJL076W
Q99314,YOR213C
Q03220,YMR180C
P53222,YGR035C
P39943,YER028C
P39734,YAL028W
P52919,YLR457C
P43595,YFR012W
P38845,YHR146W
Q3E841,YNR034W-A
P53286,YGR142W
P50084,YGR230W
P25567,YCL037C
P38349,YBR273C
P38128,YBR182C
Q12048,YPL250C
Q03935,YDR259C
Q04930,YDR223W
P43598,YFR017C
P35736,YKL050C
P53226,YGR041W
P34219,YBL054W
Q03466,YDR206W
P47030,YJL083W
P31379,YAL018C
P54074,YMR119W
P23201,YLL021W
P43596,YFR013W
P40457,YIL149C
P53246,YGR071C
P10080,YHL034C
Q06216,YLR273C
P38306,YBR197C
P40549,YIL014W
Q03419,YDR492W
P41695,YGR188C
P38428,YMR264W
P38114,YBR150C
P06701,YLR442C
P42845,YNL309W
P53125,YGL133W
P27344,YBR278W
P32564,YGR049W
P33749,YKL062W
P08153,YDR146C
P50078,YGR221C
P38837,YHR133C
P25632,YCR052W
P35197,YDL226C
P43560,YFL042C
P53147,YGL096W
Q06648,YDR309C
P32789,YBL009W
Q12443,YDL204W
Q03695,YMR206W
Q04322,YMR192W
Q06407,YDR379W
P42948,YJL105W
P36066,YKL133C
P40002,YEL007W
P54786,YML109W
Q07655,YDL224C
Q07978,YLR031W
Q05166,YDL088C
Q03281,YDR458C
P38835,YHR131C
P25579,YCL051W
Q04383,YDR501W
P19880,YML007W
Q03231,YMR181C
Q06315,YLR187W
P53047,YGR213C
Q02629,YKL068W
P53336,YGR283C
P38167,YBL101C
P25334,YCR069W
P33417,YKL032C
Q04195,YDR409W
P38315,YBR216C
P22149,YGL071W
P47025,YJL112W
Q00453,YMR182C
P33200,YBL005W
P53124,YGL134W
P53032,YGL162W
P32909,YBR172C
Q04116,YDR451C
Q12378,YDR066C
Q12473,YLL051C
Q03361,YDR475C
Q05024,YMR233W
P38851,YHR155W
Q04083,YDR438W
Q03764,YDR147W
Q6Q595,YBL091C-A
P15315,YGL166W
P37304,YDR251W
P39717,YAL056W
P53214,YGR023W
Q00947,YDR463W
P38041,YBL085W
P34226,YBL061C
Q12206,YOR229W
P38068,YBR014C
P40036,YER054C
P33421,YKL141W
P50263,YMR175W
P39010,YDR264C
#N/A,YLL016W
P53943,YNL065W
Q07442,YDL070W
P09624,YFL018C
Q12310,YDL214C
P43602,YFR022W
Q06224,YLR277C
P38709,YHL012W
P36155,YKR075C
P36093,YKL043W
Q03407,YDR490C
P38970,YJL165C
P39720,YAL051W
Q06681,YDR326C
P17121,YDR389W
P40451,YIL158W
P31378,YAL015C
P42944,YJL110C
P40041,YER064C
P40578,YIR033W
P27809,YDR483W
P32330,YKL121W
P53832,YNL283C
P10863,YER011W
P53167,YGL063W
P21965,YNL307C
P47029,YJL084C
P25365,YCR067C
P25370,YCL036W
P46974,YJR127C
Q03900,YDR132C
P47976,YDR151C
Q03833,YDR096W
P28003,YAL034C
P36001,YKL132C
P47114,YJR054W
P38990,YER129W
P48361,YGR097W
P38226,YBR042C
P39684,YFR023W
P25353,YCR026C
P42223,YDR351W
P38082,YBR066C
P38181,YBL079W
P50090,YGR238C
P17967,YCL043C
P40355,YJR061W
P38150,YBR284W
P32571,YDR069C
P33309,YNL001W
P40856,YJL098W
P13130,YHR139C
Q12041,YDR253C
P25380,YCL048W
Q03944,YDR200C
P53155,YGL082W
P34231,YKL187C
P21538,YBR049C
P40955,YJL099W
P40507,YIL079C
P40479,YIL113W
P38622,YGL158W
P32634,YER132C
P38142,YBR241C
P53329,YGR273C
Q05871,YLR284C
Q03210,YML118W
P38346,YBR270C
Q01919,YOR233W
P38187,YBL067C
Q08693,YOR256C
Q04623,YDR125C
P53203,YGR004W
Q06199,YLR456W
Q12276,YOR227W
P46950,YGR197C
P40453,YIL156W
P39719,YAL053W
P38212,YBR005W
P43555,YFL048C
P40456,YIL151C
P18963,YBR140C
P38330,YBR238C
Q12746,YML125C
P25555,YCL011C
P36085,YKL072W
Q12103,YDL109C
P53379,YDR144C
Q05518,YDR348C
P40025,YER037W
Q03785,YDR247W
P40466,YIL131C
Q05015,YMR222C
P47135,YJR091C
P36165,YKR089C
Q12151,YDR213W
P47116,YJR059W
P43612,YFR040W
P53309,YGR241C
P38756,YHR003C
P25628,YCR048W
P25389,YCL024W
P32622,YEL041W
P40494,YIL095W
P48566,YNL293W
Q12477,YDL179W
Q07351,YDL048C
P53315,YGR248W
P36024,YKR072C
P24870,YDL155W
P40314,YDR252W
Q03218,YMR177W
P32492,YAL029C
P37298,YDR178W
