"protein","Gene","Group"
"P20051","YLR420W","GroupI"
"P14126","YOR063W","GroupI"
"P28519","YMR201C","GroupI"
"P48567","YNL292W","GroupI"
"P31244","YBR114W","GroupI"
"P10862","YCR066W","GroupI"
"P12753","YNL250W","GroupI"
"P32849","YLR032W","GroupI"
"P06778","YML032C","GroupI"
"P25301","YDR004W","GroupI"
"P32864","YOR370C","GroupI"
"P25332","YCR036W","GroupI"
"P53721","YNR018W","GroupI"
"P38086","YBR073W","GroupI"
"P19541","YPL133C","GroupI"
"Q12021","YDR030C","GroupI"
"P14736","YER162C","GroupI"
"P39729","YAL036C","GroupI"
"P21827","YGL097W","GroupI"
"P12689","YOR346W","GroupI"
"P30775","YGL143C","GroupI"
"P06839","YER171W","GroupI"
"Q12495","YPR018W","GroupI"
"Q08237","YOL080C","GroupI"
"P26754","YNL312W","GroupI"
"Q08003","YLR073C","GroupI"
"P36517","YLR439W","GroupI"
"P22353","YJL063C","GroupI"
"P31334","YGR220C","GroupI"
"P53875","YNL185C","GroupI"
"P53881","YNL177C","GroupI"
"P14063","YKL138C","GroupI"
"P32387","YDR405W","GroupI"
"P19956","YMR225C","GroupI"
"P32388","YKL167C","GroupI"
"P28272","YKL216W","GroupI"
"P06779","YJR052W","GroupI"
"Q04418","YDR527W","GroupI"
"Q12270","YPL246C","GroupI"
"Q04779","YMR075W","GroupI"
"Q03713","YML030W","GroupI"
"Q06835","YPR094W","GroupI"
"P25560","YCL001W","GroupI"
"P38630","YOR217W","GroupI"
"P40348","YJR068W","GroupI"
"P38206","YBL020W","GroupI"
"P00128","YDR529C","GroupI"
"Q08904","YOR380W","GroupI"
"P53331","YGR276C","GroupI"
"P36516","YMR024W","GroupI"
"P32904","YHR147C","GroupI"
"P36519","YDR237W","GroupI"
"P38064","YBL038W","GroupI"
"P22354","YKR085C","GroupI"
"Q08760","YOR301W","GroupI"
"P35196","YBR002C","GroupI"
"P38629","YNL290W","GroupI"
"P40339","YOL094C","GroupI"
"P38251","YBR087W","GroupI"
"P48743","YLR176C","GroupI"
"P16664","YDR137W","GroupI"
"Q00245","YIL118W","GroupI"
"P32445","YCR028C-A","GroupI"
"Q05672","YDL189W","GroupI"
"Q03530","YMR274C","GroupI"
"Q99258","YDR487C","GroupI"
"P33312","YBR153W","GroupI"
"P38127","YBR192W","GroupI"
"Q08273","YOL133W","GroupI"
"P53972","YNL022C","GroupI"
"P39531","YJL204C","GroupI"
"Q12090","YLR107W","GroupI"
"P36520","YNL284C","GroupI"
"P36523","YLR312W-A","GroupI"
"P36528","YNL252C","GroupI"
"Q06624","YPR180W","GroupI"
"Q12487","YOR150W","GroupI"
"P25378","YCR027C","GroupI"
"P36525","YMR193W","GroupI"
"P23369","YGR076C","GroupI"
"P36526","YBR282W","GroupI"
"P36527","YDR462W","GroupI"
"Q03778","YDR236C","GroupI"
"Q12196","YOR119C","GroupI"
"P39677","YJL102W","GroupI"
"P14120","YGL030W","GroupI"
"P22336","YAR007C","GroupI"
"P38339","YBR260C","GroupI"
"P43556","YFL047W","GroupI"
"Q04599","YDR116C","GroupI"
"Q12504","YDR257C","GroupI"
"Q12367","YLR137W","GroupI"
"P04650","YJL189W","GroupI"
"Q05468","YDR333C","GroupI"
"P02406","YGL103W","GroupI"
"P51534","YOR035C","GroupI"
"P38705","YHR011W","GroupI"
"P38989","YFR031C","GroupI"
"Q04174","YOR149C","GroupI"
"Q12306","YDR510W","GroupI"
"P39990","YEL026W","GroupI"
"P53127","YGL131C","GroupI"
"Q08826","YOR357C","GroupI"
"Q04477","YMR117C","GroupI"
