genes,HiT,LpH,Osm
YOR312C YMR242C,-1.31108777488359,-1.40917594404169,-1.35725171112773
YMR116C,-1.05577966282974,-1.23891852569221,-1.10067590181274
YOL127W,-1.11014253618177,-1.15239543564486,-0.91876445746525
YCL030C,-0.88299477099964,-1.25231806170866,-0.800508152041382
YCL009C,-0.954629293314069,-0.683975192157146,-1.4799490642744
YOL140W,-1.05882977034775,-1.60417850749102,-0.824600991356724
YDR047W,-1.54459483780401,-1.26190570264696,-0.670364431230136
YDR470C,-1.13280362676731,-1.4629589910453,-1.37780363607844
YER086W,-0.812892552460054,-1.08784959361499,-1.06762355337976
YLR325C,-1.15878111134758,-1.1532424244284,-0.73276517442222
CENPK1137D_877,-1.16379699672303,-0.750005598113061,-1.24730339271922
YDR035W,-0.723050895156236,-0.852637832571158,-0.742396927633292
YOL120C YNL301C,-1.3106213213806,-0.661662928023035,-1.18969878867645
YDR251W,-0.933442731376306,-1.32633334723816,-0.613344031034607
YOL123W,-0.927188023791922,-0.92757386089078,-0.836077137167007
YGL147C,-1.83583127733577,-1.38799797034488,-0.738369433343691
YOL084W,-1.05036530729244,-1.0295411762337,-1.25366439927539
CENPK1137D_4774,-0.806960919179632,-1.17454846002133,-1.24849944441466
YDR502C,-0.869766774399375,-0.922811519556853,-0.741113220496668
YGR155W,-0.719153199762166,-0.83391162087741,-0.880202937890463
YDR231C,-0.623145557428439,-0.745658547983291,-0.81896226608162
YJL052W,-1.04146455975842,-1.53210727479143,-0.837514490004684
YHR190W,-1.10042427028575,-0.58801039627292,-1.0929433142425
YLR056W,-1.15625756766591,-1.25248142632484,-0.695865113965714
YOR261C,-0.802240568664495,-1.04006839339797,-1.03273962882147
YBR048W YDR025W,-1.10267374469013,-0.734666906561862,-0.730744811918362
YIL018W YFR031C-A,-1.02709983783922,-0.858677323557718,-0.735281926865332
YJL125C,-1.58785216735892,-0.614106987055453,-1.42299146722237
YBR009C YNL030W,-0.697688919644269,-1.12379420049239,-1.2329157873586
YNL067W,-1.27578491236575,-1.37866174871617,-1.22874687574137
YNL005C,-1.02973533844002,-1.33153908150703,-1.35836960916923
YLR203C,-0.567723957230314,-0.709448854956353,-1.30997893624482
YIL116W,-1.12955534496732,-0.65523018116963,-0.877893444262178
YBL091C,-0.638139072156705,-0.838969689139969,-0.669487538451357
YGR231C,-0.984902208334133,-1.49670656870989,-1.11379347412485
YHR047C,-0.533129403701074,-1.94001553588563,-1.10104748566125
YHL033C,-0.788930228340374,-0.723510529599079,-0.576727824664379
YHR010W,-0.932073053368824,-0.646326496915221,-0.55778499137864
YHR135C,-0.500769081308686,-1.1717294779624,-0.647101246995119
YBL007C,-0.532310405142364,-0.825805007883362,-1.20626042676203
YMR220W,-0.776440052714965,-0.933471402609748,-0.840196819587404
YBL002W,-0.944907054047642,-1.14947022698862,-0.55176536533335
YDR171W,-0.569551943260628,-0.563279812395172,-0.841776239422532
YPL117C,-0.965958456464343,-0.858447382816461,-0.768797371727464
YDR224C,-0.64030869894684,-1.13690381222223,-0.545362855739203
YDR032C,-0.607424327080926,-0.972684117922951,-0.739242696332971
YNL247W,-0.584498941600569,-0.78700344916996,-0.669855181681844
YBR230C,-1.30950736591643,-0.714323233479033,-0.603832659555593
YMR012W,-0.841278963190739,-1.09211185875553,-0.512858248837952
YNL117W,-0.968659012096525,-0.512713927835602,-1.13400518196171
YDR158W,-0.842721403266689,-1.35997658267552,-0.58737135048902
YNL284C,-0.633291714723696,-0.932644191741838,-1.20148331921795
YGL148W,-0.576465596493203,-1.30831192342573,-0.689287335357314
YDR229W,-0.870241086288806,-0.868452935765768,-0.947724762494423
YGL056C,-0.638643361089208,-0.990665813478794,-0.697205255262259
YHR198C,-0.664648732296653,-0.69713125116431,-0.83442905090837
YER117W YBL087C,-0.781545395906584,-0.848666909351685,-0.615011017172039
YMR203W,-1.09962034877903,-1.08934364129197,-0.661489838474689
YJR111C,-0.609737662557688,-0.744250432665045,-0.601805348376693
YMR194W,-0.907152726256097,-0.590137630062649,-0.898096643968547
YOR122C,-0.706719462064396,-0.583574423615195,-0.617234009635084
YLR075W,-0.614851146682521,-0.628998877544356,-0.772748016738059
YMR193W,-0.795527705352142,-0.644758511217195,-0.556418534663878
YKL003C,-0.778472030606093,-0.849983946892666,-0.624515920629637
