genes,HiT,LpH
YALI1_D34933g,-4.3222546049112,-7.64511338443355
YALI1_C21789g,-1.15523916318215,-6.60794426212513
YALI1_E30677g,-0.929379438822963,-3.42352057170845
YALI1_B15587g,-0.959673970631119,-3.02079751577573
YALI1_A05254g,-0.892997245308266,-2.07338531074822
YALI1_B11759g,-0.812031888743367,-2.30140835047865
YALI1_D17666g,-0.98004436087963,-1.47023055208772
YALI1_E21983g,-1.11344865552031,-2.58495980643294
YALI1_F03120g,-1.15782169297468,-3.07214280871786
YALI1_F17988g,-1.20977348219278,-1.8269080817079
YALI1_D13126g,-0.87469796195501,-1.53609546281408
YALI1_B05832g,-1.08027545298249,-1.73459238460971
YALI1_E19483g,-0.816766278128344,-1.45869523966461
YALI1_E32792g,-2.23203538667189,-1.53833025857249
YALI1_E02317g,-0.776338362311281,-1.48907522143026
YALI1_F39001g,-0.773313538863676,-1.80489375096258
YALI1_D18770g,-0.755271223473658,-1.62096793981604
YALI1_C32461g,-0.761708075226882,-3.81573376328572
YALI1_E09817g,-0.977567753845568,-2.82233630441766
YALI1_D11151g,-0.880834869958084,-1.86914100729337
YALI1_F19106g,-0.765094102860169,-1.65201583334625
YALI1_D14893g,-0.967518241531021,-1.7396671623837
YALI1_C07137g,-0.824292290431893,-1.2697497382926
YALI1_D11722g,-0.804582019858694,-1.57735726263997
YALI1_F07699g,-0.83631607557044,-1.4463371445161
YALI1_E09568g,-1.05171908940022,-1.6677157722472
YALI1_E01133g,-1.1567149451173,-1.21238555575548
YALI1_D16206g,-1.16217128338633,-3.97236567503586
YALI1_B12409g,-0.776909882975226,-1.70111569792421
YALI1_B01698g,-0.785649550098337,-1.21689822876679
YALI1_B30214g,-0.780411974559844,-1.190770277262
YALI1_D26438g,-0.826745265007226,-2.76096804087988
YALI1_B28053g,-0.862761281975617,-2.68411311461698
YALI1_D32424g,-0.794725969622887,-4.32222349240646
YALI1_F12330g,-0.907650751957966,-1.42512162585464
YALI1_B14236g,-0.771867225611329,-1.34069325430767
YALI1_E32664g,-1.17570694488407,-3.53624760636513
YALI1_E29939g,-0.759047630014186,-1.15876117777369
YALI1_D13124g,-0.852462638035928,-2.87361157428909
YALI1_D10284r,-1.77895794102424,-1.81096662790611
YALI1_D27808g,-1.34254491198889,-1.88991395906547
YALI1_F25444g,-0.84087671217265,-3.9431725253147
YALI1_A01537g,-1.14308428907221,-2.80951974026817
YALI1_D08564g,-1.09500442227266,-4.74160719488226
YALI1_E01530g,-0.803557431266312,-1.57462592149979
YALI1_D08174g,-1.01677704063087,-5.07562909459218
YALI1_C10385g,-1.05286351042445,-3.67026850204546
YALI1_F31587g,-0.81507184146494,-1.3840149287131
YALI1_B24901g,-1.65926787835492,-0.912937722930101
YALI1_B25258g,-1.19178921593754,-3.00348759205366
YALI1_F15286g,-0.886381503300029,-1.17611931781297
YALI1_F15047g,-0.785334460203161,-2.52212945002786
YALI1_E41251g,-1.35127872455246,-2.97936211906819
YALI1_E33094g,-1.93321088629563,-1.1023480434273
YALI1_A17239g,-1.12349283476533,-1.02855925708018
YALI1_F30086g,-1.03756550454908,-1.35558341253304
YALI1_E16249g,-1.13102166620925,-2.85114331268648
YALI1_F25924g,-0.797183451883198,-3.05820930069216
YALI1_D23785g,-0.804558446415672,-1.066368842052
YALI1_E36494g,-1.5751622692293,-3.97810663294072
YALI1_B24564g,-0.979510218277964,-4.56595355498126
YALI1_F15641g,-1.03755660382164,-3.79009117460932
YALI1_E21256g,-1.24059071116421,-6.71113015841755
YALI1_E22840g,-0.858084226357837,-4.96818421877932
YALI1_D00422g,-1.11946681487037,-6.30224981366837
YALI1_F06489g,-2.19636791473777,-4.06809474874436
YALI1_F02008g,-1.13181177978856,-3.16515444833653
YALI1_F21504g,-0.971717903051973,-0.79389078463918
YALI1_C18431g,-1.33029705972156,-1.98113384093381
YALI1_F13452g,-0.758642381252872,-2.93318077248719
YALI1_B03910g,-1.50011490087267,-2.79888781901259
YALI1_F32910g,-1.02149704897833,-3.72924029297125
YALI1_E28052g,-0.759960767465717,-0.861447283185622
YALI1_C21083g,-1.54734781782665,-2.02754638333179
YALI1_B27929g,-0.879097643476732,-1.29159695228011
YALI1_D17299g,-1.43419905117897,-2.21331920562087
YALI1_D20968g,-1.04465416374043,-4.05134207159464
