"genes","direction"
"YALI1_D34933g","down"
"YALI1_A22496g","up"
"YALI1_E09329g","down"
"YALI1_F15357g","up"
"YALI1_E14350g","mixed"
"YALI1_B17292g","mixed"
"YALI1_B21155g","up"
"YALI1_E12561g","up"
"YALI1_A17749g","up"
"YALI1_A12772g","mixed"
"YALI1_F14136g","down"
"YALI1_A15105g","up"
"YALI1_E10295g","mixed"
"YALI1_E17849g","down"
"YALI1_C21789g","down"
"YALI1_E20794g","up"
"YALI1_E30677g","down"
"YALI1_B12966g","up"
"YALI1_C31408g","mixed"
"YALI1_A12356g","mixed"
"YALI1_B13328g","mixed"
"YALI1_E34842g","down"
"YALI1_C24850g","mixed"
"YALI1_C25391g","up"
"YALI1_B15587g","down"
"YALI1_D31482g","mixed"
"YALI1_C15454g","up"
"YALI1_A05254g","down"
"YALI1_B02047g","up"
"YALI1_B11759g","down"
"YALI1_A16681g","up"
"YALI1_D17666g","down"
"YALI1_A19070g","up"
"YALI1_F37171g","up"
"YALI1_E21983g","down"
"YALI1_F03120g","down"
"YALI1_A06594g","up"
"YALI1_F17988g","down"
"YALI1_F12649g","up"
"YALI1_F29798g","up"
"YALI1_D13126g","down"
"YALI1_C04925g","up"
"YALI1_A12540g","up"
"YALI1_C15465g","up"
"YALI1_C30454g","mixed"
"YALI1_E01649g","down"
"YALI1_B05832g","down"
"YALI1_E26492g","up"
"YALI1_E40251g","down"
"YALI1_B10231g","up"
"YALI1_C04720g","up"
"YALI1_B05313g","up"
"YALI1_F26427g","up"
"YALI1_E19483g","down"
"YALI1_F09433g","up"
"YALI1_F04848g","up"
"YALI1_F07318g","down"
"YALI1_E02317g","down"
"YALI1_F07042g","mixed"
"YALI1_D10565g","up"
"YALI1_F39001g","down"
"YALI1_D16144g","mixed"
"YALI1_F32287g","mixed"
"YALI1_A21594g","up"
"YALI1_F03215g","up"
"YALI1_D18770g","down"
"YALI1_A19398g","mixed"
"YALI1_A04164g","up"
"YALI1_A19025g","mixed"
"YALI1_C04553g","mixed"
"YALI1_C32461g","down"
"YALI1_D14915g","down"
"YALI1_D00703g","up"
"YALI1_E09817g","down"
"YALI1_F08885g","mixed"
"YALI1_F18835g","mixed"
"YALI1_E07409g","mixed"
"YALI1_C20793g","down"
"YALI1_D01234g","mixed"
"YALI1_C01043g","up"
