genes,HiT,LpH,Osm
RDN5-1,-3.99081036211569,-1.86568035604628,-2.05436517213237
YGR060W,-1.42956707278767,-1.0745391687882,-1.97619368524729
YHR007C,-1.46288182754993,-1.00370469254734,-2.16340810193541
YOL140W,-1.15449954243947,-1.06222243124856,-1.40019873921517
YMR015C,-1.39132221027632,-0.904365868814125,-1.43632597675345
YPL274W,-1.19950104513118,-1.01890833273084,-1.84648112504659
YNL280C,-1.31169105872772,-0.766041302896014,-1.26340119444161
YER044C,-1.21774339536431,-0.983224222440968,-1.15612492592344
YDR158W,-0.976061388570481,-0.758449026039406,-2.45292085659488
YNL104C,-0.883091932646104,-0.853018742577733,-1.06510318091315
YJL026W,-0.768169104497773,-0.778329358887663,-0.758015951658692
YDR225W,-0.909932969656662,-0.753811038362818,-0.839545127413709
