genes,direction
YBR001C,up
YJR094C,mixed
YLL055W,down
YHR092C,down
YBR076W,mixed
YNL196C,mixed
YOR100C,up
YCL025C,up
YAR035W,up
YNL270C,up
YKL221W,mixed
YFR020W,mixed
YNL134C,down
YLR213C,up
TLC1,up
YMR189W,down
YLR053C,up
YGL001C,down
YML008C,down
YKR102W,up
YER091C,down
YOR214C,up
YNL074C,up
YHR183W,down
YMR133W,up
YPL187W,mixed
YGR060W,down
YLR136C,up
YMR279C,up
YJR115W,up
YFR029W,up
YOR178C,up
YHR190W,down
YOL064C,down
YPR128C,down
YMR202W,down
YML116W,down
YDR248C,down
YNL111C,down
YDR042C,up
YLR354C,down
YHR163W,down
YAL018C,mixed
YLR056W,down
YGL170C,up
YBR019C,up
YPR025C,up
YBR050C,up
YER081W,down
YDR273W,up
YLR303W,down
YGL263W,mixed
YER043C,down
YIR016W,down
YJL088W,down
YJR016C,down
YHR015W,up
YER188C-A,up
YML066C,up
YOL047C,up
YPL058C,down
YJL137C,up
YNL112W,down
YGR059W,up
YLR367W,down
YGL071W,up
YLR355C,down
YOR328W,up
YLR176C,up
YJR048W,down
YMR062C,down
YNL103W-A,down
YML126C,down
YGR294W,down
YHR007C,down
YDR173C,up
YHR071W,down
YMR015C,down
YGR023W,up
YBR201C-A,up
YGR175C,down
YPL274W,down
YDR403W,up
YBR034C,down
YBR249C,down
YGR225W,mixed
YER069W,down
YKL006W,down
YAR020C,down
YPR138C,mixed
YML022W,down
YJL167W,down
YIL165C,down
YOR177C,up
YPL231W,down
YKL182W,down
YKR097W,up
YER054C,mixed
YNL280C,down
YGR174W-A,up
YDL085W,mixed
YOR130C,down
YLL045C,down
YOR066W,up
YOR064C,up
YLR058C,down
YNL130C-A,up
YOR381W-A,up
YBL082C,down
YOL038C-A,up
YIL016W,down
YNR043W,down
YMR318C,mixed
YBR108W,up
YCR021C,down
YNL133C,up
snR83,up
YER033C,up
YLR249W,down
YGL225W,down
YNL328C,up
YER086W,down
YDL248W,down
YER044C,down
YNR064C,mixed
YER073W,down
YKL180W,down
YFL020C,down
YMR221C,down
YLR167W,down
YOR008W-B,up
YBR189W,down
YIR027C,up
YPL055C,up
YNR050C,down
YDR508C,up
YPL265W,up
YBR162C,down
YBR106W,down
YMR101C,mixed
snR84,up
YLR029C,down
YBR131W,up
YOL140W,down
YPL171C,down
YGR234W,down
YPL272C,down
YJR150C,down
YOR372C,up
YDL081C,down
YCL044C,up
YGL032C,up
YDR502C,down
YGR222W,up
YLR372W,down
YGL012W,down
YPR013C,up
YNL302C,down
YDL229W,down
YNL104C,down
YOL037C,up
YOR167C,down
YLR175W,down
YDR471W,down
YFL011W,mixed
YGL026C,down
YER056C,down
YKL129C,up
YBL030C,down
YIL164C,down
YIR038C,down
YGR295C,down
YMR120C,down
YMR017W,up
YAR035C-A,up
YDL071C,down
YBR118W,down
YML131W,mixed
YGL103W,down
YEL057C,up
YJR145C,down
YGR034W,down
YHR007C-A,up
YGR118W,down
YJR078W,up
YOL092W,down
YLR109W,down
YFR032C-A,down
YMR320W,down
YDL182W,down
YCR018C,up
YDR212W,down
YER035W,up
YOR308C,up
YGR159C,down
YBL012C,up
YDR029W,up
YIL161W,up
YPR074C,down
YLR326W,up
YEL053W-A,down
YFR023W,mixed
YIL037C,up
YMR242C,down
YDR382W,down
YDR169C,up
YFR017C,up
YPL273W,down
YIL018W,down
YDR158W,down
YER044C-A,up
YDR541C,down
YEL041W,down
YFR036W,up
YCL019W,up
SRG1,up
YLR180W,down
YOR120W,down
YDR531W,down
YDL022C-A,up
YKL219W,down
YKL060C,down
YPR154W,up
YML089C,up
YOR276W,down
YIL074C,down
YJR038C,up
YMR156C,up
YMR169C,mixed
YDR233C,down
YDR418W,down
YPL249C-A,down
YOR383C,mixed
YDL061C,down
YIL052C,down
YMR273C,up
YNL175C,down
YOR242C,up
YBL072C,down
YHR035W,up
YLR052W,up
YDR527W,up
YGR135W,down
YLR054C,up
YOL127W,down
YDL130W,down
YNL336W,down
YLR153C,down
YBR072W,down
YLR388W,down
YNL309W,up
YDL242W,up
YGR236C,mixed
YLR337C,up
YDL212W,down
YPL198W,down
YCR053W,down
YJR094W-A,down
YPL220W,down
YNL190W,up
YJR109C,down
YCR005C,up
YDL133C-A,down
YGL055W,down
YPL033C,up
YIL071W-A,up
YOL039W,down
YDR224C,down
YDR226W,down
YOL120C,down
YBR151W,up
YMR107W,mixed
YIL069C,down
YDL169C,up
YFL062W,down
YGL147C,down
YJR077C,down
YGL031C,down
YHR021C,down
YLR340W,down
YGR088W,mixed
YCL030C,down
YJL190C,down
YDL192W,down
YGL224C,down
YJL067W,up
YDR064W,down
YPR132W,down
tD(GUC)N,up
YER102W,down
YLR075W,down
YIL101C,mixed
YGL128C,up
YMR007W,down
RUF21,up
YOR310C,down
YDR045C,down
YNL239W,down
YGL123W,down
YBR054W,down
YOR181W,up
YBL051C,up
YHR216W,mixed
YJR123W,down
YLR441C,down
YDR225W,down
YDL012C,up
YEL054C,down
YMR142C,down
YDL075W,down
YER117W,down
YDR237W,down
YOR312C,down
YBR258C,up
YGR035C,up
YPL090C,down
YNL178W,down
YDR155C,down
YKR077W,up
YGL030W,down
YLR197W,down
YLR229C,down
YDL184C,down
YHR018C,down
YLL053C,down
YPL027W,up
YNL042W,up
YGL262W,mixed
YLR279W,down
YDR450W,down
YOR028C,up
YFL039C,down
YFL045C,down
YHR141C,down
YFL010C,up
YFR035C,down
YLR185W,down
YEL009C,down
YHR087W,down
YMR069W,up
YDR429C,down
YDR523C,mixed
YHR191C,up
YPL079W,down
YJR009C,mixed
YPL211W,down
YDR010C,up
YOR182C,down
YPL056C,up
YBL092W,down
YPL276W,mixed
YMR143W,down
YIR009W,up
YBR191W-A,up
YOR063W,down
YOL160W,up
YGL259W,mixed
YLL052C,down
YMR122W-A,down
YDR257C,down
YMR016C,up
snR51,up
YML024W,down
YMR116C,down
YIL100C-A,mixed
YER074W,down
YHL028W,up
YCR010C,mixed
YLL050C,down
YIL148W,down
YGL076C,down
YJL026W,down
YDR183C-A,up
YDR231C,down
YLR236C,up
YOR369C,down
YNL209W,down
YGR192C,down
YEL020W-A,down
YAL013W,up
YLR061W,down
YEL049W,down
YML090W,up
YGR177C,down
YER137C,up
YML078W,down
YOR382W,up
YHL044W,up
YOL077W-A,up
YLR359W,down
YML026C,down
YMR245W,up
YHR139C,down
YDR468C,up
YDL083C,down
YCR031C,down
YBR256C,down
YPR102C,down
tV(AAC)G3,up
YNR021W,down
YLR206W,up
YDR539W,up
YDL084W,down
YMR232W,mixed
YGL168W,down
YGR169C-A,up
YCR034W,down
YGR201C,down
YOR375C,down
YDR163W,up
YLR050C,down
YIR044C,down
YCR012W,down
snR63,up
snR57,mixed
YAR031W,up
YOR097C,up
YPL237W,down
YMR043W,up
YCL005W-A,down
YJL052W,down
YMR194W,down
YKR057W,down
YNL277W-A,up
