OG,cpk,kma
OG0000675,CENPK1137D_1608,KMXK0A00530
OG0000757,,KMXK0A02050
OG0000762,CENPK1137D_2639,
OG0000774,CENPK1137D_2305,
OG0000808,CENPK1137D_3646,
OG0000824,,KMXK0A03210
OG0000844,,KMXK0A03520
OG0000845,,KMXK0A03540
OG0000858,CENPK1137D_3221,
OG0000870,,KMXK0A03950
OG0000875,CENPK1137D_5411,
OG0000912,CENPK1137D_1133,
OG0000928,CENPK1137D_1490,
OG0000984,CENPK1137D_2915,
OG0000991,CENPK1137D_672,
OG0001014,,KMXK0A06630
OG0001039,CENPK1137D_772,
OG0001087,CENPK1137D_557,
OG0001090,CENPK1137D_4472,
OG0001106,CENPK1137D_4354,
OG0001136,,KMXK0B00530
OG0001198,,KMXK0B01730
OG0001210,CENPK1137D_3867,
OG0001251,,KMXK0B02650
OG0001255,CENPK1137D_1851,KMXK0B02720
OG0001289,CENPK1137D_442,
OG0001294,CENPK1137D_285,
OG0001305,CENPK1137D_4562,
OG0001313,CENPK1137D_4975,
OG0001365,CENPK1137D_3773,
OG0001383,CENPK1137D_4182,
OG0001385,CENPK1137D_4180,
OG0001417,CENPK1137D_3094,
OG0001428,CENPK1137D_3445,
OG0001438,CENPK1137D_5399,
OG0001467,CENPK1137D_4207,
OG0001503,CENPK1137D_334,
OG0001544,CENPK1137D_5342,
OG0001575,CENPK1137D_2537,
OG0001580,CENPK1137D_3368,
OG0001606,CENPK1137D_4845,
OG0001646,CENPK1137D_3021,KMXK0C00790
OG0001652,CENPK1137D_272,
OG0001656,CENPK1137D_131,KMXK0C00960
OG0001658,,KMXK0C00990
OG0001684,CENPK1137D_4488,
OG0001695,CENPK1137D_1214,
OG0001716,CENPK1137D_1274,
OG0001720,CENPK1137D_3141,
OG0001745,CENPK1137D_4099,
OG0001787,CENPK1137D_3282,
OG0001788,CENPK1137D_3279,
OG0001796,CENPK1137D_232,
OG0001803,,KMXK0C03480
OG0001810,CENPK1137D_1819,
OG0001871,CENPK1137D_1528,
OG0001893,CENPK1137D_4413,
OG0001934,CENPK1137D_289,
OG0001947,,KMXK0C05720
OG0001951,,KMXK0C05810
OG0001964,CENPK1137D_4929,
OG0001995,,KMXK0C06530
OG0002008,CENPK1137D_20,
OG0002017,CENPK1137D_3123,
OG0002045,,KMXK0C07290
OG0002047,CENPK1137D_127,
OG0002105,CENPK1137D_651,
OG0002108,CENPK1137D_673,
OG0002109,CENPK1137D_5285,
OG0002113,CENPK1137D_4601,
OG0002114,CENPK1137D_3856,
OG0002118,,KMXK0D01380
OG0002139,,KMXK0D01720
OG0002156,CENPK1137D_498,
OG0002175,CENPK1137D_2482,
OG0002231,CENPK1137D_67,
OG0002234,,KMXK0D03430
OG0002285,,KMXK0D04350
OG0002299,CENPK1137D_5323,
OG0002320,CENPK1137D_1876,
OG0002349,CENPK1137D_1426,
OG0002351,,KMXK0D05380
OG0002363,CENPK1137D_785,KMXK0D05590
OG0002393,CENPK1137D_424,
OG0002420,,KMXK0D06580
OG0002436,CENPK1137D_2219,
OG0002488,,KMXK0E01380
OG0002489,CENPK1137D_665,
OG0002494,CENPK1137D_2925,
OG0002514,CENPK1137D_808,
OG0002533,,KMXK0E02210
OG0002543,CENPK1137D_3841,
OG0002559,,KMXK0E02630
OG0002569,CENPK1137D_3027,
OG0002581,,KMXK0E03090
OG0002661,,KMXK0E04320
OG0002682,CENPK1137D_4815,
OG0002703,CENPK1137D_3979,
OG0002712,CENPK1137D_526,
OG0002722,CENPK1137D_535,
OG0002739,,KMXK0E05580
OG0002775,CENPK1137D_2816,
OG0002812,CENPK1137D_596,
OG0002826,CENPK1137D_3701,
OG0002840,CENPK1137D_746,
OG0002846,,KMXK0F01200
OG0002861,CENPK1137D_5284,
OG0002865,CENPK1137D_44,
OG0002874,CENPK1137D_4079,
OG0002886,,KMXK0F01900
OG0002887,CENPK1137D_4070,
OG0002953,CENPK1137D_2455,
OG0002980,CENPK1137D_2565,
OG0002987,CENPK1137D_2568,KMXK0F03410
OG0003030,,KMXK0F04160
OG0003052,CENPK1137D_4926,
OG0003079,,KMXK0F05010
OG0003092,CENPK1137D_3192,
OG0003121,,KMXK0G00180
OG0003122,,KMXK0G00240
OG0003140,,KMXK0G00550
OG0003144,CENPK1137D_1303,
OG0003180,CENPK1137D_5173,
OG0003198,CENPK1137D_5160,
OG0003199,CENPK1137D_2643,KMXK0G01510
OG0003200,CENPK1137D_5159,
OG0003243,CENPK1137D_2587,
OG0003275,CENPK1137D_955,
OG0003283,CENPK1137D_2760,
OG0003342,CENPK1137D_2104,
OG0003404,CENPK1137D_1398,
OG0003461,CENPK1137D_3477,
OG0003543,,KMXK0H03010
OG0003549,,KMXK0H03090
OG0003552,CENPK1137D_3670,
OG0003578,CENPK1137D_4895,
OG0003581,,KMXK0H03570
OG0003582,,KMXK0H03580
OG0003591,CENPK1137D_5214,
OG0003614,,KMXK0H04040
OG0003617,CENPK1137D_3536,
OG0003629,,KMXK0H04290
OG0003638,,KMXK0H04420
OG0003639,,KMXK0H04430
OG0003645,CENPK1137D_1698,
